index,IV Q 2014,II Q 2015,IV Q 2015,II Q 2016,IV Q 2012,II Q 2013,IV Q 2013,II Q 2014,IV Q 2010,II Q 2011,IV Q 2011,II Q 2012,IV Q 2007,IV Q 2008,IV Q 2009,II Q 2010
Przychody netto ze sprzedaÅ¼y (tys. euro),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zysk (strata) z dzialal. oper. (tys. euro),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zysk (strata) brutto (tys. euro),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zysk (strata) netto (tys. euro),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amortyzacja (tys. euro),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EBITDA (tys. euro),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aktywa (tys. euro),90329,94058,115017,121607,95040,88064,91026,86930,95804,87122,93855,89034,85262,113250,120706,86092
Kapital wlasny (tys. euro),29861,35565,51017,56061,48953,19635,26761,24271,52007,46061,46702,40739,12336,28108,40483,34651
Liczba akcji (tys. szt.),"50000,000","50000,000","50000,000","50000,000","50000,000","50000,000","50000,000","50000,000","50000,000","50000,000","50000,000","50000,000","50000,000","50000,000","50000,000","50000,000"
Zysk na akcje (euro),"0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000"
Wartosc ksiegowa na akcje (euro),"0,597","0,711","1,020","1,121","0,979","0,393","0,535","0,485","1,040","0,921","0,934","0,815","0,247","0,562","0,810","0,693"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
