index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,I Q 2011,II Q 2011,III Q 2011
Przychody z tytulu odsetek (tys. zl),751075,708244,693209,681102,855962,793510,738502,723406,906296,902365,914881,921830,1188283,1034026,961544,914889,1018404,1054098,1064501,1084639,798332,869964,997209
Przychody z tytulu prowizji (tys. zl),114920,82192,72126,76330,155728,144999,138378,131514,183705,175877,161680,160335,58749,149998,145828,164593,281692,305047,281387,227588,336875,295359,307981
Wynik na dzialalnoÅci bankowej (tys. zl),283187,422637,384660,385162,459898,515990,401132,397013,503271,507775,531282,517616,452056,441347,464990,447460,600344,660252,552480,521667,567890,1295909,695428
Zysk (strata) brutto (tys. zl),-195582,-12772,8710,-27955,34043,127600,92432,48507,103518,108469,115043,56713,47424,68592,115262,100623,88996,208897,97303,58849,128243,769635,108119
Zysk (strata) netto (tys. zl),-195404,-18266,1130,-26545,14393,128586,70002,40982,160220,130050,135886,79703,38420,50343,100019,89143,70208,156460,80992,60090,100012,714786,94644
Amortyzacja (tys. zl),18315,20782,20770,20815,13725,18201,17766,18148,19146,20132,15430,18907,16679,17199,17240,19201,15630,15557,15598,15893,15303,14607,16963
Aktywa (tys. zl),70756469,71972242,70091500,68777723,68795557,72759176,70375527,70920023,63617095,67500857,68331994,67225594,58484806,59809981,63279917,64910387,54487999,56306447,57100679,57437944,0,0,0
Kapital wlasny (tys. zl),5163842,5248205,5233908,5177824,5075801,5208243,5277846,5293745,4775105,4917394,5082498,5177185,4355590,4766192,4772128,4787214,4224731,3990451,4330044,4355799,0,0,0
Liczba akcji (tys. szt.),"970748,468","970748,468","883381,106","883381,106","970748,468","970748,468","970748,468","970748,468","970748,468","970748,468","970748,468","970748,468","970748,468","970748,468","970748,468","970748,468","37619,048","822536,861","875510,373","875510,373","37619,048","37619,048","37619,048"
Wartosc ksiegowa na akcje (zl),"5,319","5,406","5,925","5,861","5,229","5,365","5,437","5,453","4,919","5,066","5,236","5,333","4,487","4,910","4,916","4,931","112,303","4,851","4,946","4,975","0,000","0,000","0,000"
Zysk na akcje (zl),"-0,201","-0,019","0,001","-0,030","0,015","0,132","0,072","0,042","0,165","0,134","0,140","0,082","0,040","0,052","0,103","0,092","1,866","0,190","0,093","0,069","2,659","19,001","2,516"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
