index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2010,IV Q 2011,II Q 2012,III Q 2012
Przychody netto ze sprzedaÅ¼y (tys. zl),331525,296268,305527,314062,316076,295993,297561,313320,319238,308559,319969,295063,355311,300624,304963,289535,0,0,0,295830
Zysk (strata) z dzialal. oper. (tys. zl),18132,6766,9961,8483,10877,4456,6276,5580,12686,10210,11335,10532,22547,5736,9794,8114,0,0,0,998
Zysk (strata) brutto (tys. zl),3274,1634,3014,3404,-2816,-783,-4565,-1914,-11806,2518,2665,1927,10689,-991,-2233,-3614,0,0,0,-4945
Zysk (strata) netto (tys. zl),1301,478,1453,2029,-2773,-2163,-4841,-2500,-6871,1002,1987,803,6552,-4332,-3613,-10408,0,0,0,-8724
Amortyzacja (tys. zl),11141,11710,11785,11847,10794,11318,11609,11576,10140,10602,10667,10956,11103,10602,10899,10500,0,0,0,11655
EBITDA (tys. zl),29273,18476,21746,20330,21671,15774,17885,17156,22826,20812,22002,21488,33650,16338,20693,18614,0,0,0,12653
Aktywa (tys. zl),1101274,1110938,1133813,1169099,1102398,1120894,1144049,1161583,1148065,1134482,1167908,1157867,1197324,1206350,1189034,1197990,1317754,1251658,1188908,1194015
Kapital wlasny (tys. zl),364934,363624,366633,368166,377428,362487,357738,360824,377857,377166,375215,387367,387491,384745,377115,365262,390291,395996,389545,379642
Liczba akcji (tys. szt.),"24424,613","24424,613","24424,613","24424,613","24424,613","24424,613","24424,613","24424,613","22104,427","22104,427","22104,427","24424,613","18227,062","18227,062","18227,062","18227,062","18227,062","18227,062","18227,062","18227,062"
Zysk na akcje (zl),"0,053","0,020","0,059","0,083","-0,114","-0,089","-0,198","-0,102","-0,311","0,045","0,090","0,033","0,359","-0,238","-0,198","-0,571","0,000","0,000","0,000","-0,479"
Wartosc ksiegowa na akcje (zl),"14,941","14,888","15,011","15,074","15,453","14,841","14,647","14,773","17,094","17,063","16,975","15,860","21,259","21,108","20,690","20,040","21,413","21,726","21,372","20,828"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
