index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,I Q 2009,I Q 2010,II Q 2010,III Q 2010
Przychody netto ze sprzedaÅ¼y (tys. zl),97768,66607,72917,85271,73528,59736,66669,80978,62611,48769,47425,57306,53601,44243,44890,52650,54140,43950,47063,48179,37144,36314,37932,46105,0,22010,25788,31225
Zysk (strata) z dzialal. oper. (tys. zl),7526,2191,763,1589,4311,2668,888,1702,3159,1327,478,1400,1105,505,426,1416,3236,1622,464,478,3056,1005,835,1584,0,0,478,1277
Zysk (strata) brutto (tys. zl),7288,1927,514,1341,4023,2393,671,1455,2919,1075,185,1080,623,76,76,1078,2850,1150,57,15,2878,779,621,1167,0,-9,314,1188
Zysk (strata) netto (tys. zl),5745,1568,406,1085,3271,1838,535,1170,2265,949,139,856,498,-6,60,849,2294,887,47,10,2356,636,495,929,0,-243,314,870
Amortyzacja (tys. zl),934,838,843,836,1021,982,1065,743,862,840,910,1070,980,910,838,826,0,929,914,990,0,815,0,0,0,278,330,287
EBITDA (tys. zl),8460,3029,1606,2425,5332,3650,1953,2445,4021,2167,1388,2470,2085,1415,1264,2242,3236,2551,1378,1468,3056,1820,835,1584,0,278,808,1564
Aktywa (tys. zl),172781,162313,169196,175088,145496,140807,162312,161631,120068,112443,119257,124380,108862,101082,104893,110076,101066,0,108290,108361,65648,81223,85035,95057,42829,45683,48796,58174
Kapital wlasny (tys. zl),49345,50913,51319,49789,37620,39185,50913,43600,27992,28941,29079,28951,24824,24818,24878,25727,23749,0,24684,24326,13485,20756,20895,21455,9273,9946,10260,11130
Liczba akcji (tys. szt.),"15381,861","15381,861","15381,861","15381,861","12300,000","14181,861","15381,861","15381,861","12300,000","12300,000","12300,000","12300,000","12300,000","12300,000","12300,000","12300,000","12300,000","12300,000","12300,000","12300,000","12300,000","12300,000","12300,000","12300,000","12300,000","12300,000","12300,000","12300,000"
Zysk na akcje (zl),"0,373","0,102","0,026","0,071","0,266","0,130","0,035","0,076","0,184","0,077","0,011","0,070","0,041","-0,001","0,005","0,069","0,187","0,072","0,004","0,001","0,192","0,052","0,040","0,076","0,000","-0,020","0,026","0,071"
Wartosc ksiegowa na akcje (zl),"3,208","3,310","3,336","3,237","3,059","2,763","3,310","2,835","2,276","2,353","2,364","2,354","2,018","2,018","2,023","2,092","1,931","0,000","2,007","1,978","1,096","1,687","1,699","1,744","0,754","0,809","0,834","0,905"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
