index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005
Przychody netto ze sprzedaÅ¼y (tys. zl),52153,36968,30683,28602,40871,29430,15903,17698,51996,20850,18138,12618,45989,27566,12976,13255,48389,26039,12213,12213,44510,16263,14007,12577,42180,22013,8525,10029,36866,20769,7811,7988,33322,17417,5378,6621,20858,13118,5097,6530,0,6362,1818,3864,0,6362,1818
Zysk (strata) z dzialal. oper. (tys. zl),4022,2262,200,1853,3238,1346,-1134,-626,5169,610,-461,-399,4431,2644,-609,-93,4115,871,-224,-224,4160,354,-976,-296,8023,3277,-829,-194,6018,2581,-501,-84,4399,1909,-858,-155,2700,1283,-459,-128,0,880,-259,80,0,880,-259
Zysk (strata) brutto (tys. zl),3628,2000,220,1747,3098,1256,-1377,-727,4977,457,-169,-529,3923,2315,-614,-355,3210,527,-626,-626,4151,315,-1115,-593,7933,3179,-722,-424,5662,2224,-145,-186,4278,1739,-941,-185,2519,1135,-507,-190,0,779,-294,48,0,779,-294
Zysk (strata) netto (tys. zl),3037,1613,119,1405,2575,1077,-1193,-705,4067,366,-169,-505,3262,1892,-515,-338,2668,446,-596,-596,3426,256,-915,-557,6423,2573,-595,-422,4672,1801,-137,-163,3434,1412,-731,-251,2031,891,-416,-180,0,637,-256,38,0,637,-256
Amortyzacja (tys. zl),457,509,504,507,474,470,463,458,473,478,479,480,474,480,481,480,425,428,531,531,160,164,196,416,186,165,181,184,163,180,165,185,141,137,135,145,117,122,121,127,0,77,63,80,0,77,63
EBITDA (tys. zl),4479,2771,704,2360,3712,1816,-671,-168,5642,1088,18,81,4905,3124,-128,387,4540,1299,307,307,4320,518,-780,120,8209,3442,-648,-10,6181,2761,-336,101,4540,2046,-723,-10,2817,1405,-338,-1,0,957,-196,160,0,957,-196
Aktywa (tys. zl),111839,98328,85832,105030,91877,99358,72418,82153,102994,81242,68052,75056,86526,75075,62034,73991,99172,80436,69540,69540,77828,71308,61919,81688,50351,52038,50351,62668,53394,41823,34006,43671,43812,36684,28752,34968,29086,24005,23810,24633,20058,10616,7409,14698,14331,10616,7409
Kapital wlasny (tys. zl),52647,54260,54379,55784,50822,51899,50315,49610,48532,48898,48752,48247,43419,45311,44803,44465,41830,42276,40157,40157,40428,40684,39719,39162,37424,37977,37424,37002,27690,29491,29144,28981,22744,24156,23442,23190,8591,9482,19428,19248,5448,3928,3672,6561,3015,3928,3672
Liczba akcji (tys. szt.),"5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000","3872,000","3872,000","5000,000","5000,000","3872,000","3872,000","3872,000","3872,000","3872,000","3872,000","3872,000"
Zysk na akcje (zl),"0,607","0,323","0,024","0,281","0,515","0,215","-0,239","-0,141","0,813","0,073","-0,034","-0,101","0,652","0,378","-0,103","-0,068","0,534","0,089","-0,119","-0,119","0,685","0,051","-0,183","-0,111","1,285","0,515","-0,119","-0,084","0,934","0,360","-0,027","-0,033","0,687","0,282","-0,146","-0,050","0,525","0,230","-0,083","-0,036","0,000","0,165","-0,066","0,010","0,000","0,165","-0,066"
Wartosc ksiegowa na akcje (zl),"10,529","10,852","10,876","11,157","10,164","10,380","10,063","9,922","9,706","9,780","9,750","9,649","8,684","9,062","8,961","8,893","8,366","8,455","8,031","8,031","8,086","8,137","7,944","7,832","7,485","7,595","7,485","7,400","5,538","5,898","5,829","5,796","4,549","4,831","4,688","4,638","2,219","2,449","3,886","3,850","1,407","1,014","0,948","1,694","0,779","1,014","0,948"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
