index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1998,II Q 1999,IV Q 1999,II Q 2000, Q 0000,II Q 1998
Przychody netto ze sprzedaÅ¼y (tys. zl),19216,22901,24675,22938,18327,23064,24347,23357,18610,23248,24032,23339,16963,21963,23020,22506,20250,24142,24801,22189,15992,21550,22843,22984,11992,17168,18061,20833,15696,19184,16592,16638,18652,24857,24469,22702,16931,21751,21437,24033,15245,18344,20843,19808,11255,14707,16085,19171,10479,13269,15255,15912,9172,9508,11518,14050,8588,10535,11460,13088,0,11800,11677,13921,0,0,0,0,11255,0
Zysk (strata) z dzialal. oper. (tys. zl),1186,2624,3312,2303,1326,2442,3066,3194,828,2355,2712,2746,-333,2188,2551,2263,1227,2697,3269,1982,1161,2347,2367,3725,-942,1076,1765,1584,238,3011,1250,1021,1680,4243,3935,3084,959,3627,3615,3332,899,2767,3684,2440,563,1510,1929,2183,301,1363,1607,1724,270,536,627,718,-561,969,1140,1375,0,928,832,1165,0,0,0,0,563,0
Zysk (strata) brutto (tys. zl),1073,2508,3032,2547,1062,2655,2902,3118,1177,2323,2695,2713,-287,2141,3227,2600,1247,2684,3291,2013,707,2382,2354,3465,-587,1039,1953,1558,602,2879,1666,1014,1612,4278,3794,3215,723,3793,3658,3451,886,2399,3905,2280,151,1533,2121,2100,395,1457,1436,1710,185,464,699,723,-666,811,1169,1190,0,760,834,1102,0,0,0,0,151,0
Zysk (strata) netto (tys. zl),907,1999,2401,1997,828,2204,2222,2539,824,1816,2245,2216,-149,1885,1905,2095,1171,2174,2602,1558,624,1930,1920,2583,-451,892,1618,1216,496,2421,1470,922,1384,3535,3251,2756,515,3106,3099,2848,620,1959,3331,1849,65,1290,1652,1674,291,1185,1145,1366,72,319,416,443,-612,436,801,767,0,589,396,648,0,0,0,0,65,0
Amortyzacja (tys. zl),1437,1490,1549,1550,1361,1333,1344,1422,1172,1224,1268,1316,1307,1191,1186,1181,756,824,795,1003,857,810,782,828,808,685,690,829,941,941,867,814,934,935,979,851,851,811,813,1007,948,898,921,853,585,684,641,829,520,467,665,741,639,602,476,539,685,605,658,641,0,737,725,679,0,0,0,0,9071,0
EBITDA (tys. zl),2623,4114,4861,3853,2687,3775,4410,4616,2000,3579,3980,4062,974,3379,3737,3444,1983,3521,4064,2985,2018,3157,3149,4553,-134,1761,2455,2413,1179,3952,2117,1835,2614,5178,4914,3935,1810,4438,4428,4339,1847,3665,4605,3293,1148,2194,2570,3012,821,1830,2272,2465,909,1138,1103,1257,124,1574,1798,2016,0,1665,1557,1844,0,0,0,0,9634,0
Aktywa (tys. zl),119589,122792,125217,124578,110931,116083,121278,118263,109237,113358,115540,115321,114805,117257,114818,110679,105486,106336,115595,116652,90484,92984,94243,0,82746,86106,89316,0,85315,92149,87962,0,84399,87887,90945,0,64559,69131,71370,0,62987,65665,66692,0,49406,51193,64289,0,38061,47294,48594,49948,37522,38495,39200,40389,39112,38534,38068,39670,44717,47345,39808,40535,44085,44176,40864,41457,43082,49883
Kapital wlasny (tys. zl),83492,85495,83105,85104,80314,82520,79949,82488,77742,79558,76940,79155,76042,77660,74715,77276,73846,76012,75496,76973,67538,69464,71399,0,65683,66580,65257,0,65601,70144,65564,0,60303,63541,62151,0,48401,51519,54808,0,42675,44732,47112,0,39259,40540,40621,0,30070,38370,38555,39880,29560,29879,29336,29779,28165,28601,28802,29570,27635,28967,28130,28778,27119,26270,25549,26667,33911,28454
Liczba akcji (tys. szt.),"2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2398,300","2504,300","2504,300","2504,300","2398,300","2504,300","2504,300","2504,300","2504,300","2504,300","2504,300","2504,300","2504,300","2504,300","2504,300","2504,300","2504,300","2504,300","2504,300","2504,300","2504,300","2398,300","2504,300"
Zysk na akcje (zl),"0,378","0,834","1,001","0,833","0,345","0,919","0,926","1,059","0,344","0,757","0,936","0,924","-0,062","0,786","0,794","0,874","0,488","0,906","1,085","0,650","0,260","0,805","0,801","1,077","-0,188","0,372","0,675","0,507","0,207","1,009","0,613","0,384","0,577","1,474","1,356","1,149","0,215","1,295","1,292","1,188","0,259","0,817","1,389","0,771","0,027","0,538","0,689","0,698","0,116","0,473","0,457","0,570","0,029","0,127","0,166","0,177","-0,244","0,174","0,320","0,306","0,000","0,235","0,158","0,259","0,000","0,000","0,000","0,000","0,027","0,000"
