index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012
Przychody z tytulu odsetek (tys. zl),227465,225787,235906,271524,201399,192111,178230,205629,0,127074,153739,207175,0
Przychody z tytulu prowizji (tys. zl),130471,117674,110351,123751,141000,97067,129409,154443,0,105477,82577,95689,0
Wynik na dzialalnoÅci bankowej (tys. zl),221261,214648,457984,251916,192719,161472,184551,225414,0,153535,151397,192704,0
Zysk (strata) brutto (tys. zl),2242,26156,261237,75178,30381,15448,41920,47999,0,37524,37357,124562,0
Zysk (strata) netto (tys. zl),63128,61024,276598,47079,54616,43758,118266,86444,0,31527,33481,121631,0
Amortyzacja (tys. zl),13364,11632,7315,10694,15626,11572,11647,12520,0,7861,7648,8817,0
Aktywa (tys. zl),18857506,18871974,19528449,20652761,15064028,15645905,16049900,17034246,7393155,0,0,0,5201351
Kapital wlasny (tys. zl),2054868,2098262,2365567,2411897,1476210,1551389,1893936,1968722,771146,0,0,0,676149
Liczba akcji (tys. szt.),"78401,981","78401,981","78401,981","78401,981","67811,097","67811,097","78401,981","78401,981","67811,097","67811,097","67811,097","67811,097","67811,097"
Wartosc ksiegowa na akcje (zl),"26,209","26,763","30,172","30,763","21,769","22,878","24,157","25,111","11,372","0,000","0,000","0,000","9,971"
Zysk na akcje (zl),"0,805","0,778","3,528","0,600","0,805","0,645","1,508","1,103","0,000","0,465","0,494","1,794","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N
