index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2004,IV Q 2005,II Q 2006
Przychody netto ze sprzedaÅ¼y (tys. zl),148,347,358,342,605,108,318,230,20,85,76,62,0,0,40,35,9499,2620,3,0,11454,10394,11360,10308,11218,10902,11956,12975,12934,12053,12978,12715,13436,11298,11198,12957,0,15392,11301,13861,0,0,0
Zysk (strata) z dzialal. oper. (tys. zl),12,239,227,246,530,80,244,155,-58,1,8,9,-126,-70,-32,-23,-1447,-562,4452,-89,-524,-648,-1031,-1037,-554,134,-16,-442,109,-451,-603,-808,82,-499,-1121,-774,0,-42,90,1031,0,0,0
Zysk (strata) brutto (tys. zl),-1356,85,21,251,488,-111,587,-9500,1130,4063,-16,853,-91746,1423,435,-511,-1564,3977,-122,-6467,-604,-749,-1112,-1195,-587,92,-75,-533,41,-467,-630,-868,-70,-576,-1280,-844,0,-109,225,917,0,0,0
Zysk (strata) netto (tys. zl),-1086,78,20,258,497,-79,521,-7915,903,3191,-18,693,-91209,957,226,-420,-1485,3977,-122,-7004,-688,-749,-1112,-1195,-587,92,-75,-533,-13,-467,-630,-868,-70,-576,-1280,-844,0,-109,225,917,0,0,0
Amortyzacja (tys. zl),2,2,3,2,2,2,2,3,2,2,2,3,0,0,1,1,355,0,113,1,438,410,404,377,460,440,439,446,474,462,464,457,494,484,491,486,0,453,461,473,0,0,0
EBITDA (tys. zl),14,241,230,248,532,82,246,158,-56,3,10,12,-126,-70,-31,-22,-1092,-562,4565,-88,-86,-238,-627,-660,-94,574,423,4,583,11,-139,-351,576,-15,-630,-288,0,411,551,1504,0,0,0
Aktywa (tys. zl),23588,23294,22913,22930,34985,34847,35441,25684,31103,34866,34844,35697,28988,29945,30365,29935,15302,5042,155169,124593,21636,22251,21202,19746,21762,22361,23239,22828,25034,25272,23786,22604,30290,30027,29378,27690,30067,30496,29726,30431,28106,25729,32581
Kapital wlasny (tys. zl),23317,23046,22844,22870,33086,33006,33528,25613,29934,33125,33107,33800,28268,29225,29451,29031,1063,5041,154923,123798,8484,7735,6623,5428,10300,10392,10317,9767,12914,12447,11817,10949,14248,15190,13907,13096,13558,13450,13675,14592,18516,17610,18255
Liczba akcji (tys. szt.),"15015,972","15015,972","15015,972","15015,972","15015,972","15015,972","15015,972","15015,972","15015,972","15015,972","15015,972","15015,972","15015,972","15015,972","15015,972","15015,972","5005,324","5005,324","5005,324","15015,972","5005,324","5005,324","5005,324","5005,324","5005,324","5005,324","5005,324","5005,324","5005,324","5005,324","5005,324","5005,324","4652,500","4652,500","5005,324","5005,324","4652,500","4652,500","4652,500","4652,500","4652,500","4652,500","4652,500"
Zysk na akcje (zl),"-0,072","0,005","0,001","0,017","0,033","-0,005","0,035","-0,527","0,060","0,213","-0,001","0,046","-6,074","0,064","0,015","-0,028","-0,297","0,795","-0,024","-0,466","-0,137","-0,150","-0,222","-0,239","-0,117","0,018","-0,015","-0,106","-0,003","-0,093","-0,126","-0,173","-0,015","-0,124","-0,256","-0,169","0,000","-0,023","0,048","0,197","0,000","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"1,553","1,535","1,521","1,523","2,203","2,198","2,233","1,706","1,993","2,206","2,205","2,251","1,883","1,946","1,961","1,933","0,212","1,007","30,952","8,244","1,695","1,545","1,323","1,084","2,058","2,076","2,061","1,951","2,580","2,487","2,361","2,187","3,062","3,265","2,778","2,616","2,914","2,891","2,939","3,136","3,980","3,785","3,924"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
