index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,III Q 2005
Przychody netto ze sprzedaÅ¼y (tys. zl),0,0,0,31,0,0,65,39,19090,12024,125,0,19201,10670,14646,18664,20425,11694,17032,21122,19565,11088,17020,23354,16306,8615,16747,20878,14609,8549,11924,17247,23283,10845,14757,14702,19697,8197,15405,21256,17701,3636,9884,19440,0,0
Zysk (strata) z dzialal. oper. (tys. zl),-189,-74,-77,-59,-86,-62,8,8,1772,511,-39,-83,408,-1306,-724,-308,867,-1489,-729,674,1854,-1834,904,1650,629,-1904,-270,877,426,-1294,-1258,-211,2928,-15,-107,-163,3199,7,1136,2925,666,-243,960,2701,0,0
Zysk (strata) brutto (tys. zl),200,478,-131,105,-197,63,2332,-4253,1845,500,-27514,3031,311,-1346,-884,-304,724,-1532,-842,484,1819,-1853,898,1371,694,-2063,-335,825,1060,-1125,-1281,-272,3086,170,69,-40,3239,47,1262,3100,601,-276,953,2705,0,0
Zysk (strata) netto (tys. zl),77,476,-176,59,148,51,1896,-3436,1845,492,-27506,2440,311,-1346,-884,-304,692,-1532,-842,484,1819,-1853,898,1371,741,-2063,-335,825,783,-1125,-1281,-272,2674,138,56,-40,2587,38,956,2443,473,-276,824,2211,0,0
Amortyzacja (tys. zl),0,0,0,0,0,0,0,0,-1059,1004,0,0,1168,1043,1008,979,428,1161,1185,1192,804,826,30,440,771,714,821,809,825,770,769,761,627,526,537,779,551,481,498,543,408,2591,472,569,0,0
EBITDA (tys. zl),-189,-74,-77,-59,-86,-62,8,8,713,1515,-39,-83,1576,-263,284,671,1295,-328,456,1866,2658,-1008,934,2090,1400,-1190,551,1686,1251,-524,-489,550,3555,511,430,616,3750,488,1634,3468,1074,2348,1432,3270,0,0
Aktywa (tys. zl),7693,8733,8897,11505,9553,11940,11879,7529,56165,43503,16049,6293,58198,57901,59834,59928,54874,55391,60767,63693,52303,52235,55304,56980,50801,52265,54756,55871,52858,53594,53230,53422,55088,59300,52817,52618,24867,26499,53576,60172,21432,19541,22803,26012,11014,22277
Kapital wlasny (tys. zl),4365,4626,4637,10480,5777,5828,7724,4288,43003,43503,15989,5629,43729,42383,41499,41195,45349,43817,42975,43460,44214,42361,43259,44630,44010,41947,41612,42437,45947,44822,43541,43269,47898,48036,45124,45084,18565,18603,42805,45299,13216,12942,13767,15978,9398,12743
Liczba akcji (tys. szt.),"10769,500","10769,500","10769,500","10769,500","12369,500","10769,500","10769,500","10769,500","12369,500","12369,500","12369,500","12369,500","12369,500","12369,500","12369,500","12369,500","12369,500","12369,500","12369,500","12369,500","12369,500","12369,500","12369,500","12369,500","12369,500","12369,500","12369,500","12369,500","12369,500","12369,500","12369,500","12369,500","12369,500","12369,500","12369,500","12369,500","10369,500","10369,500","12369,500","12369,500","10369,500","8295,600","10369,500","10369,500","10369,500","10369,500"
Zysk na akcje (zl),"0,007","0,044","-0,016","0,005","0,012","0,005","0,176","-0,319","0,149","0,040","-2,224","0,197","0,025","-0,109","-0,071","-0,025","0,056","-0,124","-0,068","0,039","0,147","-0,150","0,073","0,111","0,060","-0,167","-0,027","0,067","0,063","-0,091","-0,104","-0,022","0,216","0,011","0,005","-0,003","0,249","0,004","0,077","0,198","0,046","-0,033","0,079","0,213","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"0,405","0,430","0,431","0,973","0,467","0,541","0,717","0,398","3,477","3,517","1,293","0,455","3,535","3,426","3,355","3,330","3,666","3,542","3,474","3,513","3,574","3,425","3,497","3,608","3,558","3,391","3,364","3,431","3,715","3,624","3,520","3,498","3,872","3,883","3,648","3,645","1,790","1,794","3,461","3,662","1,275","1,560","1,328","1,541","0,906","1,229"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
