index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2001,IV Q 2002,II Q 2003,III Q 2003, Q 0000,IV Q 2000
Przychody netto ze sprzedaÅ¼y (tys. zl),481463,481066,515507,538203,450922,433708,459563,476583,420200,404119,424660,440414,380370,361860,403570,414950,336739,341014,364212,366985,311360,299401,315682,326508,274666,275348,276162,285482,262967,259892,263408,270938,243464,246494,257076,261925,222757,225161,231681,237577,181416,182349,192624,200911,180279,162130,164451,171069,117553,149602,141157,164513,0,0,0,109695,152684,0
Zysk (strata) z dzialal. oper. (tys. zl),7921,6381,12762,16048,9132,9265,11836,19035,1919,8104,14212,21661,3134,10904,11178,17725,8952,8206,14030,19635,17976,10323,16083,18591,7812,11124,14263,22694,2276,8681,14502,17693,-2178,4496,7538,7870,4429,99,6082,5594,3209,3806,3725,4151,18915,5080,4997,8472,-722,4975,-21249,158,0,0,0,9756,19410,0
Zysk (strata) brutto (tys. zl),3543,3247,9531,13770,7499,5785,8127,15894,-796,4306,10118,18110,-408,7021,7472,14005,7212,6407,10744,16143,16671,9686,14720,17586,5336,10725,13673,22343,3528,9349,15243,17378,-2076,4111,8175,41079,4957,962,5381,4828,3525,4113,3876,5245,19990,5412,5733,9054,-542,5723,-20298,-16,0,0,0,9124,18959,0
Zysk (strata) netto (tys. zl),-218,2456,10412,8741,6464,4571,5071,13473,-3933,2376,7568,14043,498,6294,3304,10640,2565,5739,8662,12956,14485,7971,34076,14364,6097,11038,10801,17637,461,4536,10981,11894,1741,1384,4552,37338,5991,462,1278,2803,4099,2920,3641,3777,14326,-4384,-4484,7397,-1887,4627,-19366,-1067,0,0,0,8550,13370,0
Amortyzacja (tys. zl),12960,13052,13314,13513,16493,13022,13251,13301,11048,10937,10818,10680,9843,10241,10330,10628,7876,8554,8985,8991,7909,7599,7784,8146,5243,6383,6449,6312,5340,5274,5246,5251,5511,5217,5818,5578,4945,4902,5009,5108,4042,4293,4396,4450,4713,4595,3462,4112,5333,4273,5868,8519,0,0,0,4592,9071,0
EBITDA (tys. zl),20881,19433,26076,29561,25625,22287,25087,32336,12967,19041,25030,32341,12977,21145,21508,28353,16828,16760,23015,28626,25885,17922,23867,26737,13055,17507,20712,29006,7616,13955,19748,22944,3333,9713,13356,13448,9374,5001,11091,10702,7251,8099,8121,8601,23628,9675,8459,12584,4611,9248,-15381,8677,0,0,0,14348,28481,0
Aktywa (tys. zl),894795,928645,1045186,1027453,836322,862426,891741,911125,783138,797492,814210,845002,718988,758027,793185,788700,660035,636147,671675,672111,585477,614842,650196,658846,560889,511511,512412,530326,513767,501849,488071,503744,476131,473889,471466,522681,392060,420204,442175,455703,351020,359228,354113,365084,336771,338440,338389,345880,393856,373059,373277,355649,194929,235075,241934,250985,351467,159867
Kapital wlasny (tys. zl),296153,296056,293193,298381,292579,296623,282654,295779,262908,264495,272190,286367,268461,270520,258849,269124,333178,254753,246446,258841,301588,308260,318005,333798,267893,277513,270511,286782,275106,251943,250390,261893,233006,234407,238943,274812,230155,229673,227723,231177,222345,225644,219108,222991,201194,206009,210458,217855,255684,220976,195255,192915,55765,89709,94967,103517,206236,55952
Liczba akcji (tys. szt.),"12865,177","12865,177","12865,177","12865,177","12865,177","12865,177","12865,177","12865,177","12865,177","12865,177","12865,177","12865,177","12865,177","12865,177","12865,177","12865,177","12151,462","12151,462","12151,462","12865,177","12151,462","12151,462","12151,462","12151,462","15151,462","15151,462","15151,462","12151,462","15151,462","15151,462","15151,462","15151,462","15141,462","15151,462","15151,462","15151,462","15038,462","15038,462","15038,462","15077,462","15038,462","15038,462","15038,462","15038,462","15038,462","15038,462","15038,462","15038,462","16300,000","16500,000","16500,000","15038,462","10300,000","10300,000","10300,000","10300,000","15038,462","10300,000"
Zysk na akcje (zl),"-0,017","0,191","0,809","0,679","0,502","0,355","0,394","1,047","-0,306","0,185","0,588","1,092","0,039","0,489","0,257","0,827","0,211","0,472","0,713","1,007","1,192","0,656","2,804","1,182","0,402","0,729","0,713","1,451","0,030","0,299","0,725","0,785","0,115","0,091","0,300","2,464","0,398","0,031","0,085","0,186","0,273","0,194","0,242","0,251","0,953","-0,292","-0,298","0,492","-0,116","0,280","-1,174","-0,071","0,000","0,000","0,000","0,830","0,889","0,000"
