index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,II Q 2013,III Q 2013
Przychody netto ze sprzedaÅ¼y (tys. zl),2056,276,364,426,-2865,2,805,-92,90,106,470,15,0,490
Zysk (strata) z dzialal. oper. (tys. zl),-1411,-329,-1033,-1484,-1123,-807,-329,-1721,-1236,-361,848,-333,0,-563
Zysk (strata) brutto (tys. zl),-7245,-1400,-1426,-2547,584,496,-1030,-4818,6329,-1058,837,-683,0,-2201
Zysk (strata) netto (tys. zl),-3334,-2097,-32,-811,-1951,-408,218,-4137,10941,-822,329,-2537,0,0
Amortyzacja (tys. zl),177,116,936,-144,61,37,68,433,3,1,8,16,0,1
EBITDA (tys. zl),-1234,-213,-97,-1628,-1062,-770,-261,-1288,-1233,-360,856,-317,0,-562
Aktywa (tys. zl),130461,128382,123433,139897,89452,100235,106718,127998,64728,83717,83247,96953,65012,67025
Kapital wlasny (tys. zl),11129,13908,9950,25764,25081,25828,20903,1906,29842,24403,24385,25296,36501,35184
Liczba akcji (tys. szt.),"6380,000","6380,000","6379,999","6379,999","4431,080","5231,080","5231,080","5231,080","4431,080","4431,080","4431,080","4431,080","4431,080","4431,080"
Zysk na akcje (zl),"-0,523","-0,329","-0,005","-0,127","-0,440","-0,078","0,042","-0,791","2,469","-0,186","0,074","-0,573","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"1,744","2,180","1,560","4,038","5,660","4,937","3,996","0,364","6,735","5,507","5,503","5,709","8,237","7,940"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N
