index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,II Q 2014,III Q 2014
Przychody netto ze sprzedaÅ¼y (tys. zl),494270,131404,106501,72303,134527,129390,140422,33346,0,0,96376
Zysk (strata) z dzialal. oper. (tys. zl),10890,-9744,-90360,2002,12679,7739,4969,-182,0,0,-3524
Zysk (strata) brutto (tys. zl),8660,-10304,-91946,1405,12142,7024,4617,-1266,0,0,-3525
Zysk (strata) netto (tys. zl),-244,-8527,-87524,-13666,9386,5777,3765,170,0,0,-2932
Amortyzacja (tys. zl),3869,2202,2660,2166,750,3549,3715,3724,0,0,746
EBITDA (tys. zl),14759,-7542,-87700,4168,13429,11288,8684,3542,0,0,-2778
Aktywa (tys. zl),270971,260141,198850,181946,286211,249773,250425,257848,104892,168508,187456
Kapital wlasny (tys. zl),129730,121202,33679,20014,119195,126038,129803,129974,53449,65220,62251
Liczba akcji (tys. szt.),"11558,000","11558,000","11558,000","11558,000","11558,000","11558,000","11558,000","11558,000","11558,000","11558,000","11558,000"
Zysk na akcje (zl),"-0,021","-0,738","-7,573","-1,182","0,812","0,500","0,326","0,015","0,000","0,000","-0,254"
Wartosc ksiegowa na akcje (zl),"11,224","10,486","2,914","1,732","10,313","10,905","11,231","11,245","4,624","5,643","5,386"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N
