index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1998,II Q 1999,IV Q 1999,II Q 2000, Q 0000
Przychody netto ze sprzedaÅ¼y (tys. zl),121749,69954,80625,90588,170718,115866,114736,138733,128619,93625,125686,175975,124462,79137,90264,117484,165795,91619,94252,120318,89897,65276,81761,89739,85118,48980,68075,79219,81949,64379,83271,84024,55997,53135,80915,99801,64106,49584,55792,53295,47687,32102,42403,48429,48726,44397,51059,50063,34846,27412,43590,49359,36466,30238,42676,42530,42066,21411,28737,30501,0,34411,49982,55482,0,0,0,0,48737
Zysk (strata) z dzialal. oper. (tys. zl),2089,4305,3870,2967,-1708,6094,-2232,5132,3582,3619,4267,8807,10964,4366,4756,6588,17151,4837,2909,4611,6053,3181,2617,3022,8616,4427,3959,6095,6752,7424,7679,9587,19550,1871,5533,16778,-136,964,1392,1997,-684,-225,981,1854,123,1524,772,938,90,317,646,1473,308,104,363,302,376,-83,-1573,761,0,603,576,1591,0,0,0,0,-195
Zysk (strata) brutto (tys. zl),1807,4345,4172,2697,-1714,6287,-2289,5228,2784,4151,4283,8788,10930,4787,5144,6724,17450,5304,3243,4813,6291,3262,2696,3120,8693,4647,4266,6382,7730,6079,6849,8295,19361,1554,5140,16036,1676,969,1563,2048,-775,68,1415,1874,-24,1616,1282,1107,280,602,734,1576,69,792,332,642,-269,280,-330,1101,0,862,-105,2932,0,0,0,0,3
Zysk (strata) netto (tys. zl),2342,3059,900,5156,-3028,4114,-1725,3672,972,3386,3126,6299,8653,3726,3991,4728,13718,4201,2306,3603,5741,2682,2276,2468,6315,3582,3381,4656,6098,4922,5610,6500,15438,1097,3979,12842,1240,931,1091,1502,182,-38,1026,1406,-11,920,614,546,301,364,502,1182,491,240,468,237,-277,90,-562,475,0,414,-627,2120,0,0,0,0,12
Amortyzacja (tys. zl),703,644,688,729,1004,690,827,807,829,638,653,665,749,572,585,595,713,507,577,554,935,536,540,605,614,507,513,524,621,475,504,530,571,475,494,525,532,436,475,451,225,381,426,406,409,321,411,613,661,440,507,710,759,655,634,566,913,650,704,679,0,670,850,535,0,0,0,0,2864
EBITDA (tys. zl),2792,4949,4558,3696,-704,6784,-1405,5939,4411,4257,4920,9472,11713,4938,5341,7183,17864,5344,3486,5165,6988,3717,3157,3627,9230,4934,4472,6619,7373,7899,8183,10117,20121,2346,6027,17303,396,1400,1867,2448,-459,156,1407,2260,532,1845,1183,1551,751,757,1153,2183,1067,759,997,868,1289,567,-869,1440,0,1273,1426,2126,0,0,0,0,2669
Aktywa (tys. zl),329307,314470,331423,342720,400492,337157,363091,361552,329861,321655,356897,394485,287456,291548,296659,312634,293029,276883,296701,313683,230929,233854,273073,0,219161,202188,218636,0,206470,230483,229983,0,176475,189782,230732,0,116241,116945,125190,0,101041,94500,106278,0,0,109791,114607,0,81732,96098,103468,96930,81722,84006,92605,84572,86676,76656,76910,77158,86314,85719,98797,100188,64755,65563,72894,85284,91825
Kapital wlasny (tys. zl),204392,207287,206196,210341,196394,200006,198232,201263,188609,192013,193156,199445,177331,181028,183583,188273,159595,163495,165504,168817,137737,140330,142751,0,122622,125904,127030,0,101845,107133,110129,0,79874,80920,82115,0,61875,62819,63062,0,59265,59283,59370,0,0,56683,58838,0,46682,55502,57041,47119,45701,46500,46121,46586,45625,45926,44749,45327,46766,46953,44107,46609,34799,38649,41420,43551,46920
Liczba akcji (tys. szt.),"7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500","7285,500"
Zysk na akcje (zl),"0,321","0,420","0,124","0,708","-0,416","0,565","-0,237","0,504","0,133","0,465","0,429","0,865","1,188","0,511","0,548","0,649","1,883","0,577","0,317","0,495","0,788","0,368","0,312","0,339","0,867","0,492","0,464","0,639","0,837","0,676","0,770","0,892","2,119","0,151","0,546","1,763","0,170","0,128","0,150","0,206","0,025","-0,005","0,141","0,193","-0,002","0,126","0,084","0,075","0,041","0,050","0,069","0,162","0,067","0,033","0,064","0,033","-0,038","0,012","-0,077","0,065","0,000","0,057","-0,086","0,291","0,000","0,000","0,000","0,000","0,002"
