index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,II Q 2011,III Q 2011
Przychody netto ze sprzedaÅ¼y (tys. zl),11488,1980,806,587,36549,26945,22997,5318,56414,24593,27522,8067,50222,27723,43174,26007,53923,29923,21702,32365,0,21291
Zysk (strata) z dzialal. oper. (tys. zl),-2239,1929,-24852,280,-6367,3669,9486,-1620,3737,-1766,-4026,-7816,1115,14,4041,-991,6960,1208,814,1063,0,1534
Zysk (strata) brutto (tys. zl),-4746,1331,-26140,-1022,-4157,2951,9110,-1851,2263,-2817,-5065,-12470,-201,-1522,2649,-2292,5676,59,-503,-486,0,610
Zysk (strata) netto (tys. zl),-3613,1213,-23163,-942,-4130,2748,5532,-10,1318,-2838,-4590,-12202,-602,-1125,1575,-2426,4608,27,-431,-336,0,258
Amortyzacja (tys. zl),248,218,204,191,271,267,938,253,238,232,268,271,142,230,231,239,308,534,-62,238,0,188
EBITDA (tys. zl),-1991,2147,-24648,471,-6096,3936,10424,-1367,3975,-1534,-3758,-7545,1257,244,4272,-752,7268,1742,752,1301,0,1722
Aktywa (tys. zl),108295,111846,94189,94715,136198,121591,132252,119317,179733,177282,172511,137917,201854,196974,184573,188094,0,167534,187015,200227,146463,0
Kapital wlasny (tys. zl),27451,28664,5501,4559,19813,23759,29291,29281,57875,55037,36145,26382,57689,58111,58139,56114,0,62698,59489,58619,57009,0
Liczba akcji (tys. szt.),"7016,000","7016,000","7016,000","7016,000","7016,000","7016,000","7016,000","7016,000","7016,000","7016,000","7016,000","7016,000","7016,000","7016,000","7016,000","7016,000","7016,000","7016,000","7016,000","7016,000","7016,000","7016,000"
Zysk na akcje (zl),"-0,515","0,173","-3,301","-0,134","-0,589","0,392","0,788","-0,001","0,188","-0,404","-0,654","-1,739","-0,086","-0,160","0,225","-0,346","0,657","0,004","-0,061","-0,048","0,000","0,037"
Wartosc ksiegowa na akcje (zl),"3,913","4,086","0,784","0,650","2,824","3,386","4,175","4,173","8,249","7,845","5,152","3,760","8,222","8,283","8,287","7,998","0,000","8,936","8,479","8,355","8,126","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
