index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2002,IV Q 2003,I Q 2004,II Q 2004, Q 0000
Przychody netto ze sprzedaÅ¼y (tys. zl),49658,55227,52042,50811,51633,56012,55252,53262,60031,59771,55368,50412,57743,58058,51636,50166,53113,63206,61723,50331,66649,53083,45006,42877,60092,77251,42826,45682,59041,66486,48014,43816,53853,50361,39300,39987,32766,36242,26553,31121,29002,33973,16999,21575,0,29955,12950,14665,0,0,19469,9307,9307
Zysk (strata) z dzialal. oper. (tys. zl),-3541,1673,-1237,-485,-501,1265,909,-383,-127,1004,-46,-1441,-592,2337,-596,-1605,-8999,3985,2492,-2085,2110,863,-963,-2498,620,3465,-1253,-172,2933,2616,-354,-785,6421,1988,-643,86,3389,1367,-923,-189,3003,2825,-1688,-558,0,2304,-1115,-620,0,0,669,158,158
Zysk (strata) brutto (tys. zl),-4499,1085,-1541,-688,-1309,1076,259,-647,-577,519,-421,-1964,-1438,1713,-1451,-1913,-10424,3402,1750,-2692,1413,432,-1567,-3288,132,3108,-2000,-968,768,2038,-1008,-976,6204,1727,-972,-404,3334,1248,-1118,-424,3009,2704,-1810,-627,0,2169,-1264,-781,0,0,606,93,93
Zysk (strata) netto (tys. zl),-4483,850,-1231,-995,-1091,858,77,-871,-489,486,-394,-1654,-1291,1335,-1141,-1578,-7960,2756,1259,-2108,1030,350,-1485,-3288,102,2500,-1656,-968,421,1651,-719,-976,4919,1544,-972,-404,2746,1011,-917,-424,2407,2185,-1452,-627,0,1756,-1024,-781,0,0,606,75,75
Amortyzacja (tys. zl),1708,1688,1655,1635,1681,1707,1705,1709,1624,1637,1679,1679,1618,1621,1645,1635,1707,1661,1610,1623,1724,1715,1686,1699,1762,1791,1777,1766,2202,1497,1535,1557,1266,1434,1623,1754,687,761,976,1088,368,477,536,631,0,242,262,292,0,0,120,130,2864
EBITDA (tys. zl),-1833,3361,418,1150,1180,2972,2614,1326,1497,2641,1633,238,1026,3958,1049,30,-7292,5646,4102,-462,3834,2578,723,-799,2382,5256,524,1594,5135,4113,1181,772,7687,3422,980,1840,4076,2128,53,899,3371,3302,-1152,73,0,2546,-853,-328,0,0,789,288,3022
Aktywa (tys. zl),134539,132619,127218,122781,150212,149076,141874,134717,149798,145275,141567,146262,151838,143587,142257,143696,167001,153630,155307,146046,155564,147632,146962,145199,182711,153496,151667,142035,172099,157516,156103,155384,109846,102540,115062,132758,79666,69241,79173,85395,59583,35595,67423,52061,45288,25743,32955,32181,12198,23161,13473,18214,18214
Kapital wlasny (tys. zl),21901,22751,21520,20524,26320,27178,27255,26384,28973,29459,29065,27411,30846,32181,31040,29462,30230,32986,34245,32137,42613,42963,41478,38190,41560,44060,42404,41583,41414,43065,42346,41458,40772,42316,41346,40993,36143,37154,36237,35848,13670,15855,34413,33286,3165,4920,3896,3265,892,1419,2024,1985,1985
Liczba akcji (tys. szt.),"13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","13933,334","8500,000","8500,000","11333,334","13933,334","8500,000","8500,000","8500,000","8500,000","8500,000","8500,000","8500,000","8500,000","5000,000"
Zysk na akcje (zl),"-0,322","0,061","-0,088","-0,071","-0,078","0,062","0,006","-0,063","-0,035","0,035","-0,028","-0,119","-0,093","0,096","-0,082","-0,113","-0,571","0,198","0,090","-0,151","0,074","0,025","-0,107","-0,236","0,007","0,179","-0,119","-0,069","0,030","0,118","-0,052","-0,070","0,353","0,111","-0,070","-0,029","0,197","0,073","-0,066","-0,030","0,283","0,257","-0,128","-0,045","0,000","0,207","-0,120","-0,092","0,000","0,000","0,071","0,009","0,015"
Wartosc ksiegowa na akcje (zl),"1,572","1,633","1,544","1,473","1,889","1,951","1,956","1,894","2,079","2,114","2,086","1,967","2,214","2,310","2,228","2,114","2,170","2,367","2,458","2,306","3,058","3,083","2,977","2,741","2,983","3,162","3,043","2,984","2,972","3,091","3,039","2,975","2,926","3,037","2,967","2,942","2,594","2,667","2,601","2,573","1,608","1,865","3,036","2,389","0,372","0,579","0,458","0,384","0,105","0,167","0,238","0,234","0,397"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
