index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,III Q 2008
Przychody netto ze sprzedaÅ¼y (tys. zl),27536,16916,21594,20579,26226,22446,23457,24576,32164,30410,23362,24184,30777,26945,24607,22955,26176,24173,20516,18644,26756,26328,28769,31065,26993,20602,29643,23450,10998,9476,15451,18582,12446
Zysk (strata) z dzialal. oper. (tys. zl),2453,-1670,2206,1807,-1039,1446,738,2544,4445,5760,2362,3126,4428,4542,2536,2508,1825,5051,2621,1659,6063,8247,8421,13998,8644,5549,9629,7247,580,-1536,2820,6095,3820
Zysk (strata) brutto (tys. zl),1740,-1879,2561,1144,-1290,913,679,2126,4278,4812,1720,1915,5167,3879,1803,2263,2104,3030,2009,828,3571,7569,8484,13550,8633,4434,8325,7211,1811,-1668,3210,4996,3699
Zysk (strata) netto (tys. zl),1376,-1857,2255,889,-1304,125,533,1869,3016,3672,1319,936,4229,3109,772,1469,1160,2588,1818,419,2732,5853,6129,11345,6282,3449,6338,5483,1351,-1211,2732,3953,3121
Amortyzacja (tys. zl),652,676,658,649,620,597,654,617,588,632,630,647,628,503,496,587,379,461,348,465,283,304,308,324,274,236,229,251,404,327,179,241,397
EBITDA (tys. zl),3105,-994,2864,2456,-419,2043,1392,3161,5033,6392,2992,3773,5056,5045,3032,3095,2204,5512,2969,2124,6346,8551,8729,14322,8918,5785,9858,7498,984,-1209,2999,6336,4217
Aktywa (tys. zl),353310,367803,341861,443336,324660,331412,325625,244144,352513,488957,432133,517918,793049,525706,654554,498004,630124,583792,529255,475984,408402,631175,839038,0,386005,520539,748808,0,139073,0,206936,0,0
Kapital wlasny (tys. zl),80900,79049,77752,78971,76892,77049,77586,79454,81182,84881,77282,78244,72072,76440,77179,78673,77545,81666,68091,68864,67458,77545,65543,0,47164,51762,58325,0,44365,0,36044,0,0
Liczba akcji (tys. szt.),"29937,836","29937,836","29937,836","29937,836","29937,836","29937,836","29937,836","29937,836","29937,836","29937,836","29937,836","29937,836","29554,801","29937,836","29937,836","29937,836","29554,801","29554,801","29554,801","29554,801","29342,301","29554,801","29554,801","29554,801","28571,410","28571,410","28571,410","28571,410","28571,410","28571,410","28571,410","28571,410","28571,410"
Zysk na akcje (zl),"0,046","-0,062","0,075","0,030","-0,044","0,004","0,018","0,062","0,101","0,123","0,044","0,031","0,143","0,104","0,026","0,049","0,039","0,088","0,062","0,014","0,093","0,198","0,207","0,384","0,220","0,121","0,222","0,192","0,047","-0,042","0,096","0,138","0,109"
Wartosc ksiegowa na akcje (zl),"2,702","2,640","2,597","2,638","2,568","2,574","2,592","2,654","2,712","2,835","2,581","2,614","2,439","2,553","2,578","2,628","2,624","2,763","2,304","2,330","2,299","2,624","2,218","0,000","1,651","1,812","2,041","0,000","1,553","0,000","1,262","0,000","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
