index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,II Q 2008,III Q 2008
Przychody netto ze sprzedaÅ¼y (tys. zl),3544,82,6,25,4108,7587,-7583,2951,5195,8972,5175,3656,3004,5837,1901,2895,3752,2479,2864,3143,7484,2862,2895,2986,8913,2847,3232,3218,10687,4018,6044,4318,0,0,5779
Zysk (strata) z dzialal. oper. (tys. zl),-1064,-554,-674,-584,-764,-549,-490,-1386,5046,3058,-488,-213,1716,2016,6377,174,-698,1590,739,1233,4050,2082,662,3277,344,404,87,5747,-145,-292,-150,-909,0,0,-2910
Zysk (strata) brutto (tys. zl),-4156,-611,-2293,-105,-2464,-429,-2159,-551,904,3054,-509,-124,-1290,2022,2536,321,-5592,888,362,-4517,3117,4122,531,9711,376,563,-211,5710,-1108,-517,-307,-1079,0,0,-2768
Zysk (strata) netto (tys. zl),-3579,-658,-2156,-101,-2222,-408,-2001,-279,-235,2979,-835,303,-463,1906,3027,1275,-5335,890,434,-4589,1685,4162,391,9294,308,559,14,5842,-727,-505,-337,-612,0,0,-2570
Amortyzacja (tys. zl),36,7,7,8,237,230,-218,269,135,134,139,239,75,120,145,129,71,114,194,143,161,193,232,47,0,238,0,186,0,362,0,0,0,0,0
EBITDA (tys. zl),-1028,-547,-667,-576,-527,-319,-708,-1117,5181,3192,-349,26,1791,2136,6522,303,-627,1704,933,1376,4211,2275,894,3324,344,642,87,5933,-145,70,-150,-909,0,0,-2910
Aktywa (tys. zl),35183,35508,35617,34931,43822,45382,38964,38246,50096,49475,46800,44744,49307,54997,51336,53355,52014,50937,54220,48788,46819,48172,47105,0,35696,38126,0,0,32080,26958,0,0,34213,33972,0
Kapital wlasny (tys. zl),26772,28604,26545,26404,33256,32830,31724,29948,33765,35340,34682,34824,33687,35761,39489,40119,38324,37279,39328,34077,29610,31711,37458,0,22532,21691,0,0,22487,21157,0,0,26993,26176,0
Liczba akcji (tys. szt.),"22353,000","22353,000","22353,000","22353,000","22353,000","22353,000","22353,000","22353,000","22353,000","22353,000","22353,000","22353,000","22353,000","22353,000","22353,000","22353,000","22353,000","22353,000","22353,000","22353,000","22353,000","22353,000","22353,000","22353,000","22353,000","22353,000","22353,000","22353,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000","20000,000"
Zysk na akcje (zl),"-0,160","-0,029","-0,096","-0,005","-0,099","-0,018","-0,090","-0,012","-0,011","0,133","-0,037","0,014","-0,021","0,085","0,135","0,057","-0,239","0,040","0,019","-0,205","0,075","0,186","0,017","0,416","0,014","0,025","0,001","0,261","-0,036","-0,025","-0,017","-0,031","0,000","0,000","-0,129"
Wartosc ksiegowa na akcje (zl),"1,198","1,280","1,188","1,181","1,488","1,469","1,419","1,340","1,511","1,581","1,552","1,558","1,507","1,600","1,767","1,795","1,714","1,668","1,759","1,524","1,325","1,419","1,676","0,000","1,008","0,970","0,000","0,000","1,124","1,058","0,000","0,000","1,350","1,309","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
