index,IV Q 2014,II Q 2015,IV Q 2015,II Q 2016,III Q 2013,IV Q 2013,I Q 2014,II Q 2014,II Q 2012,IV Q 2012,I Q 2013,II Q 2013,IV Q 2009,IV Q 2010,IV Q 2011,I Q 2012
Przychody netto ze sprzedaÅ¼y (tys. USD),0,0,0,0,13337,6047,2415,9038,6781,9695,5741,6361,0,0,0,2787
Zysk (strata) z dzialal. oper. (tys. USD),0,0,0,0,4776,-2228,-5773,-667,3204,3553,2046,1844,0,0,0,830
Zysk (strata) brutto (tys. USD),0,0,0,0,4579,-2119,-5781,-653,3138,3561,1917,1959,0,0,0,738
Zysk (strata) netto (tys. USD),0,0,0,0,4737,-1874,-5779,-769,3138,3418,1959,1947,0,0,0,741
Amortyzacja (tys. USD),0,0,0,0,455,515,559,154,379,407,437,443,0,0,0,386
EBITDA (tys. USD),0,0,0,0,5231,-1713,-5214,-513,3583,3960,2483,2287,0,0,0,1216
Aktywa (tys. USD),53028,48748,45992,43779,79314,76744,67273,64578,36210,53674,55398,75649,23602,23260,33927,0
Kapital wlasny (tys. USD),46442,41950,40062,37498,68922,67047,57686,56244,27825,44028,46016,64176,10861,10564,24121,0
Liczba akcji (tys. szt.),"7296,000","7296,000","7296,000","7296,000","7296,000","7296,000","7296,000","7296,000","6500,000","7296,000","7296,000","7296,000","6500,000","6500,000","6500,000","6500,000"
Zysk na akcje (USD),"0,000","0,000","0,000","0,000","0,649","-0,257","-0,792","-0,105","0,483","0,468","0,269","0,267","0,000","0,000","0,000","0,114"
Wartosc ksiegowa na akcje (USD),"6,365","5,750","5,491","5,140","9,447","9,190","7,907","7,709","4,281","6,035","6,307","8,796","1,671","1,625","3,711","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
