index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012
Przychody netto ze sprzedaÅ¼y (tys. zl),-6001,2648,4092,3920,45636,49645,51305,17312,60629,45393,74103,54712,12007,23322,47564,45449,0,13924,14120,9304
Zysk (strata) z dzialal. oper. (tys. zl),-90132,-7342,-10693,-5717,-2772,32027,1854,-52977,2017,5381,5446,3807,1703,3802,14927,1688,0,-419,1224,-4
Zysk (strata) brutto (tys. zl),-75557,-8240,-10850,-6826,-3471,31018,1117,-87667,1137,4920,4741,2405,1114,3328,14280,1165,0,-397,682,-221
Zysk (strata) netto (tys. zl),-107252,-8226,-10849,-6826,-3545,24203,576,-82343,2060,3930,5428,1891,1107,2306,13664,593,0,-397,682,-221
Amortyzacja (tys. zl),2075,971,1118,650,1223,573,747,967,560,723,1126,900,337,369,704,624,0,317,304,308
EBITDA (tys. zl),-88057,-6371,-9575,-5067,-1549,32600,2601,-52010,2577,6104,6572,4707,2040,4171,15631,2312,0,-102,1528,304
Aktywa (tys. zl),50098,47064,38947,32046,242938,256954,270651,189964,191201,188185,210834,221383,72972,97837,154107,175271,40623,41078,45131,43193
Kapital wlasny (tys. zl),-61357,-69583,-80432,-87318,105044,128298,137643,55852,67887,71807,106513,108406,42375,45449,66158,66595,23277,22880,23562,23341
Liczba akcji (tys. szt.),"58609,786","58609,786","58609,786","58609,786","53281,624","53281,624","53281,624","58609,786","43281,624","43281,624","53281,624","53281,624","23351,624","23351,624","23351,624","43281,624","23351,624","23351,624","23351,624","39351,624"
Zysk na akcje (zl),"-1,830","-0,140","-0,185","-0,116","-0,067","0,454","0,011","-1,405","0,048","0,091","0,102","0,035","0,047","0,099","0,585","0,014","0,000","-0,017","0,029","-0,006"
Wartosc ksiegowa na akcje (zl),"-1,047","-1,187","-1,372","-1,490","1,971","2,408","2,583","0,953","1,568","1,659","1,999","2,035","1,815","1,946","2,833","1,539","0,997","0,980","1,009","0,593"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
