index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,I Q 2010,II Q 2010,III Q 2010
Przychody netto ze sprzedaÅ¼y (tys. zl),16875,15752,16616,15447,15430,13598,16366,15708,14918,13461,14405,12963,13801,11985,12568,13791,13366,12859,40195,-13801,1721,11832,12219,15518,5156,2096,2003
Zysk (strata) z dzialal. oper. (tys. zl),921,1398,1585,1564,792,1642,2233,2114,-537,816,1736,821,-10288,521,1260,1093,-2296,-511,-10341,10288,-594,169,-1166,-65,213,-484,-557
Zysk (strata) brutto (tys. zl),-219,1004,1408,1480,-996,1738,2237,1608,269,1085,1632,714,-10724,217,1065,1718,-2650,-563,-11499,10724,3,24624,1249,443,197,-587,-682
Zysk (strata) netto (tys. zl),-31,619,953,1178,-1028,1692,1559,1461,369,1178,1021,707,-7212,207,1718,1749,-1726,-543,-7983,7212,3,24702,1590,1108,197,-844,-425
Amortyzacja (tys. zl),665,789,876,882,1298,670,701,710,1068,1332,1242,1565,1394,1238,1190,1179,3098,1423,3970,-1394,183,922,1567,1778,178,174,172
EBITDA (tys. zl),1586,2187,2461,2446,2090,2312,2934,2824,531,2148,2978,2386,-8894,1759,2450,2272,802,912,-6371,8894,-411,1091,401,1713,391,-310,-385
Aktywa (tys. zl),87218,89302,90030,97327,85175,84989,86928,88401,86742,88376,85361,84659,91861,88469,87459,87517,111149,110840,107317,0,32983,89118,121244,0,31994,33181,0
Kapital wlasny (tys. zl),50692,51222,50932,52080,46735,48345,49678,50998,44970,46094,47131,47749,41252,41465,43287,45089,49700,49876,49829,0,23871,48778,50633,0,25147,27676,0
Liczba akcji (tys. szt.),"4680,496","4680,496","4680,496","4680,496","4680,496","4680,496","4680,496","4680,496","4680,496","4680,496","4680,496","4680,496","4680,496","4680,496","4680,496","4680,496","4680,496","4680,496","4680,496","4680,496","4680,496","4680,496","4680,496","4680,496","4680,496","4680,496","4680,496"
Zysk na akcje (zl),"-0,007","0,132","0,204","0,252","-0,220","0,362","0,333","0,312","0,079","0,252","0,218","0,151","-1,541","0,044","0,367","0,374","-0,369","-0,116","-1,706","1,541","0,001","5,278","0,340","0,237","0,042","-0,180","-0,091"
Wartosc ksiegowa na akcje (zl),"10,830","10,944","10,882","11,127","9,985","10,329","10,614","10,896","9,608","9,848","10,070","10,202","8,814","8,859","9,248","9,633","10,619","10,656","10,646","0,000","5,100","10,422","10,818","0,000","5,373","5,913","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
