index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,I Q 2015,I Q 2015, Q 2015, Q 2015,II Q 2014,II Q 2014,III Q 2014,III Q 2014,II Q 2013,III Q 2013,IV Q 2013,I Q 2014,II Q 2012,III Q 2012,IV Q 2012,I Q 2013,II Q 2011,III Q 2011,IV Q 2011,I Q 2012,II Q 2010,III Q 2010,IV Q 2010,I Q 2011,II Q 2009,III Q 2009,IV Q 2009,I Q 2010,II Q 2008,III Q 2008,IV Q 2008,I Q 2009,IV Q 2007,I Q 2008
Przychody netto ze sprzedaÅ¼y (tys. zl),0,69470,76838,69202,2237,0,859,1195,5662,1343,1130,6792,-1004,2862,3010,1310,610,696,28,1004,1068,2277,2610,2188,-708,10831,-5661,3830,21269,-16228,2929,5950,5390,2877,-35161,3044,0,0
Zysk (strata) z dzialal. oper. (tys. zl),0,4329,849,1621,-1642,0,-2251,-360,-30978,-2890,-1784,-40406,-2421,-6851,-6092,-3279,468,-2244,16,-1232,-4610,10155,-10922,-2007,-1368,4616,-5311,2302,21341,-19173,-2680,26,-3964,-4585,-19610,-1418,0,-508
Zysk (strata) brutto (tys. zl),0,4484,738,1297,-2059,0,-2764,-976,-36686,-4340,-5963,-42648,-10510,5988,-18914,-6542,-6662,955,-4435,-8969,-209,-15466,-5435,15477,-14670,12656,12611,3014,31483,7693,-22673,2272,-27945,18532,-14206,-1485,0,-41849
Zysk (strata) netto (tys. zl),0,4370,555,1240,-1991,0,-2255,-954,-35621,-4405,-5831,-41452,-10271,5749,-18559,-6427,-6400,693,-4435,-8969,-209,-15466,-5435,15477,-14670,6088,12611,3014,31699,7163,-22650,2272,-26057,19085,-16644,-1194,0,-41856
Amortyzacja (tys. zl),0,5,45,110,102,0,0,32,0,0,67,0,0,-2,217,259,0,98,0,0,197,257,252,0,363,0,0,372,381,380,387,377,775,552,-1470,412,0,156
EBITDA (tys. zl),0,4334,894,1731,-1540,0,-2251,-328,-30978,-2890,-1717,-40406,-2421,-6853,-5875,-3020,468,-2146,16,-1232,-4413,10412,-10670,-2007,-1005,4616,-5311,2674,21722,-18793,-2293,403,-3189,-4033,-21080,-1006,0,-352
Aktywa (tys. zl),42844,66795,94083,77507,21631,21631,18833,17627,46894,46894,43256,43256,59050,64786,49261,46236,66706,75711,69008,65564,76410,0,54656,68897,60923,0,73203,87128,80853,0,66819,89160,51486,0,42200,52345,107292,69683
Kapital wlasny (tys. zl),14325,17444,17811,19052,14922,14922,12502,11530,26312,26312,20677,20677,38754,44505,35476,29005,62351,63053,58031,51091,74175,0,53273,67462,52426,0,71370,74077,72609,0,64113,66695,39639,0,42079,42562,107200,69589
Liczba akcji (tys. szt.),"54702,992","54702,992","54702,992","54702,992","54702,992","54702,992","54702,992","54702,992","54702,992","54702,992","54702,992","54702,992","54702,992","54702,992","54702,992","54702,992","54702,992","54702,992","54702,992","54702,992","54702,992","54702,992","54702,992","54702,992","54702,992","54702,992","54702,992","54702,992","54702,992","54702,992","54702,992","54702,992","54702,992","54702,992","54702,992","54702,992","54702,992","54702,992"
Zysk na akcje (zl),"0,000","0,080","0,010","0,023","-0,036","0,000","-0,041","-0,017","-0,651","-0,081","-0,107","-0,758","-0,188","0,105","-0,339","-0,117","-0,117","0,013","-0,081","-0,164","-0,004","-0,283","-0,099","0,283","-0,268","0,111","0,231","0,055","0,579","0,131","-0,414","0,042","-0,476","0,349","-0,304","-0,022","0,000","-0,765"
Wartosc ksiegowa na akcje (zl),"0,262","0,319","0,326","0,348","0,273","0,273","0,229","0,211","0,481","0,481","0,378","0,378","0,708","0,814","0,649","0,530","1,140","1,153","1,061","0,934","1,356","0,000","0,974","1,233","0,958","0,000","1,305","1,354","1,327","0,000","1,172","1,219","0,725","0,000","0,769","0,778","1,960","1,272"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
