index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2008,IV Q 2009,I Q 2010,III Q 2010
Przychody netto ze sprzedaÅ¼y (tys. zl),161996,160675,180401,201185,120386,133233,153557,162448,103352,120117,143611,103806,97881,95921,103003,103335,83423,79929,79404,85778,43857,53162,70692,66754,0,0,33373,45963
Zysk (strata) z dzialal. oper. (tys. zl),59838,70245,61415,90832,42076,60701,65387,65453,34809,51438,77174,37473,39964,33930,42106,42100,23743,28568,31863,36278,8032,18066,30613,23573,0,0,7705,16063
Zysk (strata) brutto (tys. zl),49999,60089,51524,72904,28353,49929,55998,53851,19019,39084,60410,24991,26739,20317,30313,28838,15276,15745,19475,23135,6912,14204,25112,13954,0,0,7330,11411
Zysk (strata) netto (tys. zl),43995,60910,50438,74409,25699,50596,57060,52576,17606,39967,60056,26014,27102,19702,30889,29428,14071,13985,18187,21765,7424,14070,25045,13019,0,0,7158,11177
Amortyzacja (tys. zl),1270,3243,2857,3721,2932,2944,3069,3257,2487,2698,3064,2664,2521,2180,2280,2382,1387,1538,1599,1677,1117,1259,1282,1499,0,0,911,977
EBITDA (tys. zl),61108,73488,64272,94553,45008,63645,68456,68710,37296,54136,80238,40137,42485,36110,44386,44482,25130,30106,33462,37955,9149,19325,31895,25072,0,0,8616,17040
Aktywa (tys. zl),1836115,1773187,2453721,2594720,1516647,1457275,1613063,1624828,1162825,1423020,1411790,1342345,971430,1014131,1085432,1144139,800466,775545,820463,878904,317553,405509,600992,0,211680,207930,259168,0
Kapital wlasny (tys. zl),784245,853690,888921,960299,585017,637848,679649,738088,415426,458679,529134,555690,317476,339404,377742,402699,238195,253128,271091,288503,130257,146014,210072,0,76301,99957,102350,0
Liczba akcji (tys. szt.),"17398,348","17398,348","17515,746","17515,746","16959,095","17110,682","17291,773","17291,773","16928,236","16959,095","16959,095","16959,095","16900,340","16900,340","16900,340","16900,340","16900,340","16900,340","16900,340","16900,340","15900,340","15900,340","16900,340","16900,340","15900,340","15900,340","15900,340","15900,340"
Zysk na akcje (zl),"2,529","3,501","2,880","4,248","1,515","2,957","3,300","3,041","1,040","2,357","3,541","1,534","1,604","1,166","1,828","1,741","0,833","0,827","1,076","1,288","0,467","0,885","1,482","0,770","0,000","0,000","0,450","0,703"
Wartosc ksiegowa na akcje (zl),"45,076","49,067","50,750","54,825","34,496","37,278","39,305","42,684","24,540","27,046","31,201","32,766","18,785","20,083","22,351","23,828","14,094","14,978","16,041","17,071","8,192","9,183","12,430","0,000","4,799","6,286","6,437","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
