index,I Q 2011,II Q 2011,III Q 2011,IV Q 2011,I Q 2010,II Q 2010,III Q 2010,IV Q 2010,I Q 2009,II Q 2009,III Q 2009,IV Q 2009,I Q 2008,II Q 2008,III Q 2008,IV Q 2008,I Q 2007,II Q 2007,III Q 2007,IV Q 2007,I Q 2006,II Q 2006,III Q 2006,IV Q 2006,IV Q 2003,IV Q 2004,III Q 2005,IV Q 2005,IV Q 2002
Przychody netto ze sprzedaÅ¼y (tys. zl),21755,20008,25891,33921,22252,20090,25468,29612,28426,21349,26038,28697,32126,30675,30081,29960,34245,31401,34957,38337,21552,20612,32165,34398,0,0,22147,27336,0
Zysk (strata) z dzialal. oper. (tys. zl),1445,811,3331,4194,539,-748,1556,3564,1395,-1726,1922,1319,2707,1850,2259,-1518,3538,917,2881,2144,3716,1430,4978,411,0,0,4006,4571,0
Zysk (strata) brutto (tys. zl),1258,787,3082,3944,1225,-1595,1944,3363,-4912,-2892,1467,7373,2258,1822,1476,-6062,3487,403,2529,1489,3487,1478,5246,-51,0,0,3813,4601,0
Zysk (strata) netto (tys. zl),979,487,2435,3330,504,-1019,1664,2790,-4196,-2732,1182,6987,1937,1511,1206,-4634,2763,536,2059,1272,2681,1284,4030,211,0,0,3161,3791,0
Amortyzacja (tys. zl),969,1109,987,960,1031,1029,1046,1059,1102,1074,1140,1072,1081,1199,1115,1278,928,902,979,1061,502,547,859,862,0,0,849,907,0
EBITDA (tys. zl),2414,1920,4318,5154,1570,281,2602,4623,2497,-652,3062,2391,3788,3049,3374,-240,4466,1819,3860,3205,4218,1977,5837,1273,0,0,4855,5478,0
Aktywa (tys. zl),100159,99344,0,106310,106799,107564,0,107458,113187,102452,0,111596,119628,117965,0,120115,94044,103195,0,121506,67526,68679,0,88025,28940,49618,0,63778,17628
Kapital wlasny (tys. zl),77579,75579,0,81199,72417,71878,0,76600,57836,57776,0,70693,73120,73645,0,63512,66835,67789,0,71215,57147,58891,0,63795,22892,33734,0,54004,14175
Liczba akcji (tys. szt.),"24875,050","24875,050","24875,050","24875,050","24875,050","24875,050","24875,050","24875,050","24875,050","24875,050","24875,050","24875,050","24700,894","24875,050","24875,050","24875,050","24700,894","24700,894","24700,894","24700,894","24573,200","24573,200","24573,200","24573,200","23323,200","23323,200","24573,200","24573,200","23323,200"
Zysk na akcje (zl),"0,039","0,020","0,098","0,134","0,020","-0,041","0,067","0,112","-0,169","-0,110","0,048","0,281","0,078","0,061","0,048","-0,186","0,112","0,022","0,083","0,051","0,109","0,052","0,164","0,009","0,000","0,000","0,129","0,154","0,000"
Wartosc ksiegowa na akcje (zl),"3,119","3,038","0,000","3,264","2,911","2,890","0,000","3,079","2,325","2,323","0,000","2,842","2,960","2,961","0,000","2,553","2,706","2,744","0,000","2,883","2,326","2,397","0,000","2,596","0,982","1,446","0,000","2,198","0,608"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
