index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2008,IV Q 2009,I Q 2010,III Q 2010,IV Q 2007
Przychody netto ze sprzedaÅ¼y (tys. zl),63080,33142,97568,92117,62129,33045,94132,96296,62709,30060,87754,89779,55897,10093,63468,83688,75880,15336,69223,69016,53337,22533,91888,96816,0,0,0,87384,0
Zysk (strata) z dzialal. oper. (tys. zl),-3763,-10144,4048,3904,-6977,-3497,8002,8271,2752,-2777,9984,9026,2689,-7182,10753,9273,15674,-7783,6063,7433,7364,-8076,15536,24074,0,0,141207,21244,0
Zysk (strata) brutto (tys. zl),-5196,-11599,2539,2466,-7509,-4994,6606,6771,809,-4258,8127,5860,673,-8678,8896,7311,14267,-9354,4028,5682,6674,-9491,13306,21524,0,0,141207,18276,0
Zysk (strata) netto (tys. zl),-10762,-9335,2148,2108,-7549,-3995,5423,5120,-473,-3580,6013,5378,2379,-7182,7360,6428,9524,-7611,2932,5754,4482,-7708,11319,18477,0,0,141207,14265,0
Amortyzacja (tys. zl),7544,5728,7633,7069,6113,5226,7900,6713,5261,5439,6540,6547,7456,5372,5988,6367,4207,4212,4322,4353,3926,4137,4279,4730,0,0,0,4239,0
EBITDA (tys. zl),3781,-4416,11681,10973,-864,1729,15902,14984,8013,2662,16524,15573,10145,-1810,16741,15640,19881,-3571,10385,11786,11290,-3939,19815,28804,0,0,141207,25483,0
Aktywa (tys. zl),401199,397570,416456,405212,402976,425067,435170,425338,380425,379368,399564,396667,365288,351650,384781,385224,390450,373742,400285,391851,375152,358816,368370,0,335207,62,362928,0,286979
Kapital wlasny (tys. zl),205495,196160,198493,200990,212576,217200,220531,224699,212315,206205,214748,220124,206182,199000,206360,212790,222728,215117,198049,203839,227555,184331,194727,0,268256,50,196503,0,241509
Liczba akcji (tys. szt.),"50000,000","50000,000","50000,000","50000,000","50000,000","50000,000","50000,000","50000,000","50000,000","50000,000","50000,000","50000,000","50000,000","50000,000","50000,000","50000,000","50000,000","50000,000","50000,000","50000,000","50000,000","50000,000","50000,000","50000,000","50000,000","50000,000","50000,000","50000,000","50000,000"
Zysk na akcje (zl),"-0,215","-0,187","0,043","0,042","-0,151","-0,080","0,108","0,102","-0,009","-0,072","0,120","0,108","0,048","-0,144","0,147","0,129","0,190","-0,152","0,059","0,115","0,090","-0,154","0,226","0,370","0,000","0,000","2,824","0,285","0,000"
Wartosc ksiegowa na akcje (zl),"4,110","3,923","3,970","4,020","4,252","4,344","4,411","4,494","4,246","4,124","4,295","4,402","4,124","3,980","4,127","4,256","4,455","4,302","3,961","4,077","4,551","3,687","3,895","0,000","5,365","0,001","3,930","0,000","4,830"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
