index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,III Q 2009,I Q 2010,II Q 2010,III Q 2010,II Q 2006,III Q 2006,IV Q 2006,III Q 2008,II Q 2005,III Q 2005,IV Q 2005,I Q 2006,IV Q 2003,II Q 2004,IV Q 2004,I Q 2005, Q 0000, Q 0000
Przychody netto ze sprzedaÅ¼y (tys. zl),58351,69436,75966,42699,46386,68177,71012,42656,44358,70255,70861,48631,39287,59223,69333,37886,61436,54814,61020,34967,20682,23793,49286,29490,3769,6218,5329,6013,5361,7502,22355,5776,2689,4389,11946,3665,0,0,14062,3522,0,14128
Zysk (strata) z dzialal. oper. (tys. zl),-813,5643,9120,-3499,-1522,3013,11386,-7449,-4567,7073,12452,-1086,1685,5838,7936,-666,10563,5155,4708,-775,-2596,2225,595,-3786,-279,354,-1170,1124,2806,735,5466,457,123,1431,1082,10,0,0,2318,201,0,1251
Zysk (strata) brutto (tys. zl),-1911,5079,7311,-3551,-2349,2985,10852,-8168,-4947,6561,11216,-1458,342,5043,6693,-1218,9490,4191,3284,-1759,-5993,2083,35288,-4998,-545,165,-206,707,3636,1761,5269,1091,271,4648,1085,2659,0,0,2130,231,0,999
Zysk (strata) netto (tys. zl),-196,4178,5735,-3090,-1976,2524,7048,-6690,-4056,4847,9362,-1145,2174,3411,4691,-1402,7989,2834,2122,-1470,-5081,1704,35519,-5485,-576,188,-708,629,3328,1468,2135,945,150,2927,909,2343,0,0,1567,122,0,713
Amortyzacja (tys. zl),2121,2657,2745,2812,2186,2196,2422,2700,1869,1976,2062,2227,1876,1821,1919,1947,1523,1804,1818,1858,353,628,1630,1796,0,0,0,341,339,332,267,0,504,247,207,252,0,0,390,251,0,141
EBITDA (tys. zl),1308,8300,11865,-687,664,5209,13808,-4749,-2698,9049,14514,1141,3561,7659,9855,1281,12086,6959,6526,1083,-2243,2853,2225,-1990,-279,354,-1170,1465,3145,1067,5733,457,627,1678,1289,262,0,0,2708,452,0,1392
Aktywa (tys. zl),357410,389116,382531,370479,349872,379714,363526,356017,307449,349281,349458,343204,306554,336082,317267,308354,302777,321180,313691,301108,62637,247274,308272,0,0,0,64338,0,49257,0,68854,0,44249,45224,35209,38348,27302,42818,46152,44010,0,44587
Kapital wlasny (tys. zl),196147,200401,206338,203144,193213,195824,202200,195855,184962,190693,199461,198564,199456,202592,207845,208696,191951,196169,198266,197439,49117,174536,191353,0,0,0,56732,0,33917,0,57536,0,26936,28862,30819,33115,23318,25851,28193,28116,0,25328
Liczba akcji (tys. szt.),"109270,000","109270,000","109270,000","109270,000","109270,000","109270,000","109270,000","109270,000","109270,000","109270,000","109270,000","109270,000","109270,000","109270,000","109270,000","109270,000","109270,000","109270,000","109270,000","109270,000","81770,000","81770,000","109270,000","109270,000","87000,000","87000,000","87000,000","81770,000","29000,000","29000,000","87000,000","87000,000","29000,000","29000,000","29000,000","29000,000","28000,000","28000,000","29000,000","29000,000",,"2900,000"
Zysk na akcje (zl),"-0,002","0,038","0,052","-0,028","-0,018","0,023","0,065","-0,061","-0,037","0,044","0,086","-0,010","0,020","0,031","0,043","-0,013","0,073","0,026","0,019","-0,013","-0,062","0,021","0,325","-0,050","-0,007","0,002","-0,008","0,008","0,115","0,051","0,025","0,011","0,005","0,101","0,031","0,081","0,000","0,000","0,054","0,004",,"0,246"
Wartosc ksiegowa na akcje (zl),"1,795","1,834","1,888","1,859","1,768","1,792","1,850","1,792","1,693","1,745","1,825","1,817","1,825","1,854","1,902","1,910","1,757","1,795","1,814","1,807","0,601","2,134","1,751","0,000","0,000","0,000","0,652","0,000","1,170","0,000","0,661","0,000","0,929","0,995","1,063","1,142","0,833","0,923","0,972","0,970",,"8,734"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
