index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,II Q 2009,III Q 2009
Przychody netto ze sprzedaÅ¼y (tys. zl),6,0,0,0,234,177,2550,0,-95,364,212,20,-10179,472,-371,0,4118,332,7,328,2832,324,1851,4183,78,60,113,80,0,0,0
Zysk (strata) z dzialal. oper. (tys. zl),-12,-2007,-2350,-2171,-1669,-1432,-533,-2103,-1415,-694,-1029,-1179,-2364,-325,-1289,-980,0,-420,-524,-294,0,0,0,0,0,-169,0,0,0,0,0
Zysk (strata) brutto (tys. zl),-177,-2047,-2510,-1969,-1557,-1398,-687,-2259,-1438,-695,-1043,-1161,-1115,-335,-1253,-854,-919,-263,-493,-292,1038,-576,-19,118,-182,-169,-129,-234,0,-58,-138
Zysk (strata) netto (tys. zl),-273,-2121,-2509,-1893,-1531,-1398,-590,-2337,-1463,-703,-1063,-1165,-2123,-338,-1237,-854,-931,-265,-498,-294,1007,-578,-20,118,-113,-169,-130,-237,0,-58,-138
Amortyzacja (tys. zl),1638,1630,1633,1592,292,293,754,1071,287,275,276,293,0,251,262,271,0,223,244,247,0,103,139,0,0,1,0,0,0,0,0
EBITDA (tys. zl),1626,-377,-717,-579,-1377,-1139,221,-1032,-1128,-419,-753,-886,-2364,-74,-1027,-709,0,-197,-280,-47,0,103,139,0,0,-168,0,0,0,0,0
Aktywa (tys. zl),193547,197816,203715,215192,148116,154594,163836,177930,75468,79138,121742,145770,39659,38340,73042,72723,26942,25953,32638,36568,23439,24865,25837,36571,348,205,213,21144,134,235,208
Kapital wlasny (tys. zl),127636,125515,137106,135212,99784,98386,97796,95460,52055,51353,81579,80404,18244,17908,54374,53520,20365,20099,19601,19306,21719,21142,21122,19306,-75,-244,-374,20710,-46,176,38
Liczba akcji (tys. szt.),"11160,000","11160,000","11500,000","11800,000","10800,000","10800,000","10800,000","10800,000","9500,000","9500,000","10290,000","10290,000","6900,000","6900,000","9500,000","9500,000","6900,000","6900,000","6900,000","6900,000","6900,000","6900,000","6900,000","6900,000","6900,000","6900,000","6900,000","6900,000","6900,000","6900,000","6900,000"
Zysk na akcje (zl),"-0,024","-0,190","-0,218","-0,160","-0,142","-0,129","-0,055","-0,216","-0,154","-0,074","-0,103","-0,113","-0,308","-0,049","-0,130","-0,090","-0,135","-0,038","-0,072","-0,043","0,146","-0,084","-0,003","0,017","-0,016","-0,024","-0,019","-0,034","0,000","-0,008","-0,020"
Wartosc ksiegowa na akcje (zl),"11,437","11,247","11,922","11,459","9,239","9,110","9,055","8,839","5,479","5,406","7,928","7,814","2,644","2,595","5,724","5,634","2,951","2,913","2,841","2,798","3,148","3,064","3,061","2,798","-0,011","-0,035","-0,054","3,001","-0,007","0,026","0,006"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
