index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001, Q 0000,IV Q 1998,IV Q 1999,II Q 2000
Przychody netto ze sprzedaÅ¼y (tys. zl),15973,13960,12516,12020,16442,13745,12651,12528,16242,13463,12654,11768,15101,13430,11730,11323,17594,14891,12378,11753,16604,13833,14025,11988,16172,12879,11838,11310,16617,14190,12800,11254,13396,11691,11672,11522,12173,8692,10081,10914,10613,9487,8106,8612,8911,8040,6467,7432,8163,9798,7948,6476,7348,6787,6173,5164,8564,7746,5509,5243,0,7963,7000,5851,8967,0,0,0
Zysk (strata) z dzialal. oper. (tys. zl),3307,2722,1052,1083,3911,2787,1097,1231,3109,2307,1286,966,3262,2870,599,853,2837,2398,1599,607,3668,2661,1521,470,3164,1930,276,249,3198,3803,1558,698,2274,1716,1127,1525,2318,1380,1981,2453,2505,1873,286,1188,1150,1717,-87,870,1074,2853,242,649,1121,1052,-57,-227,983,1496,-1176,-350,0,208,-991,-936,1291,0,0,0
Zysk (strata) brutto (tys. zl),3312,2725,1086,1054,3927,2817,1108,1233,3194,2342,1297,969,3335,2879,617,832,2895,2365,530,615,3809,2620,1328,318,3278,1955,-479,55,3251,3817,1526,689,1948,1715,954,1371,2296,1328,1987,2406,2447,1849,265,1145,1114,1676,-142,890,967,2697,107,596,836,889,-184,-368,676,1241,-1890,-561,0,17,-1196,-1149,1185,0,0,0
Zysk (strata) netto (tys. zl),2765,2276,905,802,3200,2390,836,867,2682,1806,967,711,2819,2254,405,589,2359,1820,364,503,3101,2114,1012,199,2534,1542,-603,-10,2439,2982,1180,564,1528,1264,726,1049,1960,1002,1591,1838,2187,1254,242,985,966,1131,-230,657,685,2013,6,-8,519,717,-253,-378,659,907,-1640,-452,0,-61,-1321,-1117,1076,0,0,0
Amortyzacja (tys. zl),1402,1733,1481,1371,1350,1359,1386,1406,1275,1378,1488,1507,1312,1257,1538,1271,1262,1526,1507,1209,1415,1361,1254,1153,1229,1234,1184,1588,1098,1041,1081,1281,1021,1018,980,1098,831,723,775,745,704,706,716,699,862,792,857,735,715,788,857,829,483,635,673,632,587,586,566,547,0,631,634,604,141,0,0,0
EBITDA (tys. zl),4709,4455,2533,2454,5261,4146,2483,2637,4384,3685,2774,2473,4574,4127,2137,2124,4099,3924,3106,1816,5083,4022,2775,1623,4393,3164,1460,1837,4296,4844,2639,1979,3295,2734,2107,2623,3149,2103,2756,3198,3209,2579,1002,1887,2012,2509,770,1605,1789,3641,1099,1478,1604,1687,616,405,1570,2082,-610,197,0,839,-357,-332,1432,0,0,0
Aktywa (tys. zl),36931,37582,38856,36120,40521,40799,39929,37629,37796,37536,38696,39657,35829,41966,36649,36781,41472,43536,32746,0,40210,39660,38612,0,35554,36880,32369,0,33109,33323,31778,0,29054,28728,28726,0,24706,27895,28316,0,22601,24259,23660,0,17371,17292,16785,0,15518,17240,15545,15358,15183,14721,13994,13385,18231,17976,15849,14871,19416,19592,18290,17156,17222,8524,18092,17372
Kapital wlasny (tys. zl),28628,30904,31809,27379,32665,29388,30224,25863,31194,27787,28754,29465,29986,27518,27923,28512,29202,26300,26664,0,27959,26296,26644,0,28646,30193,24868,0,21972,24797,23755,0,19369,20606,18843,0,18490,22404,22223,0,17328,18583,18501,0,12093,13224,12475,0,10084,12019,10626,11309,9316,10068,9782,9404,9527,10910,9284,8832,11560,11585,10078,8949,12382,6283,9466,12368
Liczba akcji (tys. szt.),"1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1888,719","1691,705","1691,705","1786,019","1786,019","1691,705","1691,705","1691,705","1691,705","1691,705","1691,705","1691,705","1691,705","1676,650","1676,650","1691,705","1691,705","1676,650","1676,650","1676,650","1676,650","1691,705","1676,650","1676,650","1676,650"
Zysk na akcje (zl),"1,464","1,205","0,479","0,425","1,694","1,265","0,443","0,459","1,420","0,956","0,512","0,376","1,493","1,193","0,214","0,312","1,249","0,964","0,193","0,266","1,642","1,119","0,536","0,105","1,342","0,816","-0,319","-0,005","1,291","1,579","0,625","0,299","0,809","0,669","0,384","0,555","1,038","0,531","0,842","0,973","1,158","0,664","0,128","0,522","0,571","0,669","-0,129","0,368","0,405","1,190","0,004","-0,005","0,307","0,424","-0,150","-0,223","0,393","0,541","-0,969","-0,267","0,000","-0,036","-0,788","-0,666","0,636","0,000","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"15,157","16,362","16,842","14,496","17,295","15,560","16,002","13,693","16,516","14,712","15,224","15,601","15,876","14,570","14,784","15,096","15,461","13,925","14,118","0,000","14,803","13,923","14,107","0,000","15,167","15,986","13,167","0,000","11,633","13,129","12,577","0,000","10,255","10,910","9,977","0,000","9,790","11,862","11,766","0,000","9,174","9,839","9,796","0,000","7,148","7,817","6,985","0,000","5,961","7,105","6,281","6,685","5,507","5,951","5,782","5,559","5,682","6,507","5,488","5,221","6,895","6,910","6,011","5,337","7,319","3,747","5,646","7,377"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
