index,III Q 2015,I Q 2016,II Q 2016,III Q 2016,II Q 2015
Przychody netto ze sprzedaÅ¼y (tys. zl),12286,14739,38083,40392,12309
Zysk (strata) z dzialal. oper. (tys. zl),3776,-6129,12306,8880,6202
Zysk (strata) brutto (tys. zl),3423,-6714,13787,6297,6482
Zysk (strata) netto (tys. zl),2761,-5984,10700,4505,5240
Amortyzacja (tys. zl),472,487,753,777,0
EBITDA (tys. zl),4248,-5642,13059,9657,6202
Aktywa (tys. zl),104772,225521,232635,235357,106770
Kapital wlasny (tys. zl),98330,125763,127276,134306,95569
Liczba akcji (tys. szt.),"3455,526","3455,526","3606,526","3606,526","3455,526"
Zysk na akcje (zl),"0,799","-1,732","2,967","1,249","1,516"
Wartosc ksiegowa na akcje (zl),"28,456","36,395","35,291","37,240","27,657"
Raport zbadany przez audytora,N,N,N,N,N
