index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2007,IV Q 2008,II Q 2009
Przychody netto ze sprzedaÅ¼y (tys. zl),7744,11023,9308,10473,7774,12335,9930,11740,9265,12094,10186,11514,9272,9970,10732,11110,9150,11243,11176,11126,7598,9922,9663,12030,5929,7461,7605,10329,0,0,0
Zysk (strata) z dzialal. oper. (tys. zl),270,1880,952,1340,-391,2418,1291,1762,334,1861,1314,2221,921,1495,1478,-1248,1519,2049,1844,1654,1591,2326,1753,1609,917,1845,1844,-2860,0,0,0
Zysk (strata) brutto (tys. zl),296,1896,992,1316,-385,2410,1274,1776,314,1854,1307,2223,892,1482,1454,-1293,1442,2025,1812,1653,1487,2212,1677,1509,880,1810,1799,-2943,0,0,0
Zysk (strata) netto (tys. zl),489,1485,848,1016,-290,1958,1002,1452,258,1504,1014,1763,733,1133,1227,-1111,1156,1548,1552,1341,1243,1725,1416,1199,629,1424,1453,-2398,0,0,0
Amortyzacja (tys. zl),456,427,430,436,519,377,407,425,506,492,500,508,587,481,493,499,541,531,543,557,298,406,412,533,195,209,217,223,0,0,0
EBITDA (tys. zl),726,2307,1382,1776,128,2795,1698,2187,840,2353,1814,2729,1508,1976,1971,-749,2060,2580,2387,2211,1889,2732,2165,2142,1112,2054,2061,-2637,0,0,0
Aktywa (tys. zl),29951,31735,32342,32145,29561,30996,32110,32556,28993,30989,29887,30160,30118,32069,33505,32748,30012,30975,31858,31214,23603,25917,31582,29935,14336,17826,19454,24837,11026,11446,13002
Kapital wlasny (tys. zl),20934,22419,21215,22232,20722,21438,20874,22325,18216,19720,19250,21012,18873,20005,19069,17958,17108,18657,18047,19390,9802,11528,16320,17519,9081,10504,10957,8559,5212,5717,7281
Liczba akcji (tys. szt.),"2700,000","2700,000","2700,000","2700,000","2700,000","2700,000","2700,000","2700,000","2700,000","2700,000","2700,000","2700,000","2700,000","2700,000","2700,000","2700,000","2700,000","2700,000","2700,000","2700,000","2500,000","2700,000","2700,000","2700,000","2500,000","2500,000","2500,000","2500,000","2500,000","2500,000","2500,000"
Zysk na akcje (zl),"0,181","0,550","0,314","0,376","-0,107","0,725","0,371","0,538","0,096","0,557","0,376","0,653","0,271","0,420","0,454","-0,411","0,428","0,573","0,575","0,497","0,497","0,639","0,524","0,444","0,252","0,570","0,581","-0,959","0,000","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"7,753","8,303","7,857","8,234","7,675","7,940","7,731","8,269","6,747","7,304","7,130","7,782","6,990","7,409","7,063","6,651","6,336","6,910","6,684","7,181","3,921","4,270","6,044","6,489","3,632","4,202","4,383","3,424","2,085","2,287","2,912"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
