index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009
Przychody netto ze sprzedaÅ¼y (tys. zl),13259,11245,12755,13924,12846,8966,10528,12687,11474,9312,12372,11511,12424,9462,9295,10231,15842,8834,12650,13012,13683,7442,13972,14287,11424,7956,12485,13246,0,7557,10431,13949
Zysk (strata) z dzialal. oper. (tys. zl),1820,1331,1250,1253,-1521,-139,-931,-58,1481,79,-48,-46,789,696,2,1992,0,-509,2178,2490,0,-1576,0,998,0,948,0,0,0,1120,0,0
Zysk (strata) brutto (tys. zl),885,320,365,473,-2456,-1092,-1865,-1000,1349,-551,-978,-1260,755,643,-22,1967,2036,-1091,1781,2437,3095,-1636,2788,971,2387,740,2156,2028,0,907,1855,4049
Zysk (strata) netto (tys. zl),710,237,276,366,-2146,-932,-1408,-794,971,-572,-735,-1023,323,603,-128,1727,1831,-1199,1774,2170,2532,-1473,2381,749,2361,740,1956,1636,0,907,1853,4039
Amortyzacja (tys. zl),2177,2147,2142,2156,2416,2174,2182,2174,898,1748,1333,3113,1539,992,896,876,2540,1602,1419,1502,0,2497,2413,2471,0,0,0,0,0,0,0,0
EBITDA (tys. zl),3997,3478,3392,3409,895,2035,1251,2116,2379,1827,1285,3067,2328,1688,898,2868,2540,1093,3597,3992,0,921,2413,3469,0,948,0,0,0,1120,0,0
Aktywa (tys. zl),175158,171772,173190,172054,181460,179793,177352,176501,177400,182001,186548,185414,160824,161918,163993,171269,141590,135869,144993,156037,79612,78258,65468,0,44456,43365,65363,64978,45900,45239,43422,44087
Kapital wlasny (tys. zl),63844,64082,64358,81163,66269,65336,63929,63134,70744,70172,69437,68414,67570,68173,68044,69773,64502,63302,65077,67247,62058,60584,52063,0,22342,18959,42769,47948,14720,15524,17252,20581
Liczba akcji (tys. szt.),"2341,385","2341,385","2341,385","3611,385","2341,385","2341,385","2341,385","2341,385","2341,385","2341,385","2341,385","2341,385","2341,385","2341,385","2341,385","2341,385","2341,385","2341,385","2341,385","2341,385","2341,385","2341,385","2341,385","2341,385","198,537","198,537","198,537","2341,385","198,537","198,537","198,537","198,537"
Zysk na akcje (zl),"0,303","0,101","0,118","0,101","-0,917","-0,398","-0,601","-0,339","0,415","-0,244","-0,314","-0,437","0,138","0,258","-0,054","0,738","0,782","-0,512","0,758","0,927","1,081","-0,629","1,017","0,320","11,892","3,727","9,852","0,699","0,000","4,568","9,333","20,344"
Wartosc ksiegowa na akcje (zl),"27,268","27,369","27,487","22,474","28,303","27,905","27,304","26,964","30,214","29,970","29,656","29,220","28,859","29,117","29,061","29,800","27,549","27,036","27,794","28,721","26,505","25,875","22,236","0,000","112,533","95,494","215,421","20,478","74,142","78,192","86,896","103,663"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
