index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002
Przychody netto ze sprzedaÅ¼y (tys. HUF),929601000,699362000,913659000,962333000,1171702000,921840000,1128996000,1122142000,1358255000,1120881000,1232168000,1341856000,1422444000,1293242000,1319993000,1428927000,1489230000,1348171000,1318798000,1431911000,1178869000,1177493000,1298640000,1377871000,991449000,876140000,1053847000,1189853000,852027000,632575000,698573000,921994000,786426000,786103000,920444000,976427000,627916000,515836000,606556000,685133000,753122000,798669000,702169000,762307000,606645000,574370000,545054000,585759000,0,472757000,424077000,452351000,0
Zysk (strata) z dzialal. oper. (tys. HUF),-475572000,58029000,103746000,93647000,-129907000,66551000,109773000,79059000,-41743000,46390000,32741000,90856000,29637000,67425000,12662000,-56972000,11691000,83388000,661000,103010000,62845000,109355000,79630000,52506000,53436000,48112000,46161000,83458000,6188000,67409000,78846000,40983000,92902000,67301000,89093000,36642000,45887000,75100000,91538000,95965000,64730000,155167000,102326000,94754000,57762000,83457000,77425000,69861000,0,61821000,47684000,81643000,0
Zysk (strata) brutto (tys. HUF),-504115000,60149000,97065000,87740000,-161995000,31361000,98197000,71298000,-55521000,26232000,21373000,50006000,19814000,56267000,5674000,-72428000,-30482000,90110000,-10741000,106563000,45030000,140719000,71048000,37111000,8896000,27172000,-29669000,129481000,-33420000,-92080000,201244000,61276000,105174000,73287000,128058000,-5058000,36460000,77759000,57474000,103849000,56449000,129882000,92506000,106863000,67963000,84547000,72043000,64118000,0,66209000,38961000,88917000,0
Zysk (strata) netto (tys. HUF),-437689000,77177000,83543000,68839000,-69336000,29170000,57454000,90731000,5152000,20836000,24043000,28535000,9497000,27810000,18930000,-29991000,-29114000,73862000,498000,67627000,38525000,92663000,53968000,36408000,14019000,19011000,-52600000,111241000,-32871000,-117722000,181348000,12596000,98211000,65043000,114148000,-187000,29830000,62587000,27595000,74010000,53540000,121625000,88615000,97456000,54684000,74352000,65498000,54609000,0,54134000,29218000,74062000,0
Amortyzacja (tys. HUF),623478000,70618000,77762000,73697000,167815000,74177000,84787000,81023000,169831000,67805000,66375000,66289000,100360000,76909000,78295000,214651000,122245000,74006000,74433000,70576000,77154000,67914000,82667000,77014000,64608000,70686000,64417000,67180000,44920000,40223000,45180000,57129000,35608000,34323000,34152000,38513000,36237000,34078000,32036000,38816000,40916000,31627000,32615000,32369000,33692000,26887000,29196000,26501000,0,24583000,24582000,24387000,0
EBITDA (tys. HUF),147906000,128647000,181508000,167344000,37908000,140728000,194560000,160082000,128088000,114195000,99116000,157145000,129997000,144334000,90957000,157679000,133936000,157394000,75094000,173586000,139999000,177269000,162297000,129520000,118044000,118798000,110578000,150638000,51108000,107632000,124026000,98112000,128510000,101624000,123245000,75155000,82124000,109178000,123574000,134781000,105646000,186794000,134941000,127123000,91454000,110344000,106621000,96362000,0,86404000,72266000,106030000,0
Aktywa (tys. HUF),2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,2147483647,0,2147483647,0,2147483647,2147483647,2147483647,0,0,2147483647,2147483647,0,0,2147483647,2147483647,2147483647,0,2147483647,2147483647,2147483647,0,2147483647,2147483647,0,0,2028835000,2147483647,0,0,1634880000,1649483000,0,0,1532735000,1435136000,0,0,959484000
Kapital wlasny (tys. HUF),1456769000,1382217000,1427092000,1472766000,1749745000,1764956000,1860950000,1912827000,1706003000,1754375000,1752056000,1812844000,1699116000,1770122000,1719034000,1694438000,0,1681232000,0,1669105000,1435070000,1467401000,0,0,1294005000,1331077000,0,0,1112981000,1168928000,1271125000,0,792164000,861592000,1039053000,0,1079666000,1139141000,0,0,983279000,1137840000,0,0,734170000,838231000,0,0,523869000,568294000,0,0,405441000
Liczba akcji (tys. szt.),"104519,064","104519,064","104519,064","102428,683","104519,064","104519,064","104519,064","104519,064","104519,064","104519,064","104519,064","104519,064","104519,064","104519,064","104519,064","104519,064","104519,064","104519,064","104519,064","104519,064","104519,064","104519,064","104519,064","104519,064","104519,064","104519,064","104519,064","104519,064","104519,064","104519,064","104519,064","104519,064","109330,377","109330,377","109330,377","109330,377","109330,377","109330,377","109330,377","109330,377","108618,777","108618,777","108618,777","109330,377","108618,777","108618,777","108618,777","108618,777","108618,777","108618,777","108618,777","108618,777","108618,777"
Zysk na akcje (HUF),"-4187,648","738,401","799,309","672,068","-663,381","279,088","549,699","868,081","49,292","199,351","230,035","273,012","90,864","266,076","181,115","-286,943","-278,552","706,684","4,765","647,030","368,593","886,566","516,346","348,338","134,129","181,890","-503,257","1064,313","-314,498","-1126,321","1735,071","120,514","898,296","594,922","1044,065","-1,710","272,843","572,458","252,400","676,939","492,917","1119,742","815,835","891,390","503,449","684,523","603,008","502,758","0,000","498,385","268,996","681,853","0,000"
Wartosc ksiegowa na akcje (HUF),"13937,831","13224,544","13653,892","14378,453","16740,917","16886,450","17804,886","18301,226","16322,410","16785,215","16763,028","17344,625","16256,518","16935,877","16447,086","16211,760","0,000","16085,410","0,000","15969,383","13730,222","14039,554","0,000","0,000","12380,564","12735,256","0,000","0,000","10648,593","11183,874","12161,657","0,000","7245,598","7880,628","9503,791","0,000","9875,261","10419,254","0,000","0,000","9052,569","10475,537","0,000","0,000","6759,144","7717,183","0,000","0,000","4823,006","5232,005","0,000","0,000","3732,697"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
