index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,II Q 2009,I Q 2013,II Q 2013,III Q 2013,II Q 2008,III Q 2008,IV Q 2008,I Q 2009,II Q 2007,III Q 2007,IV Q 2007,I Q 2008,II Q 2006,III Q 2006,IV Q 2006,I Q 2007, Q 0000,I Q 2006
Przychody netto ze sprzedaÅ¼y (tys. zl),75277,52610,57359,46508,61555,43778,51662,42978,49113,35055,41596,36978,45155,30560,32203,33642,55104,68081,75056,58763,30590,37995,55940,56888,22381,20812,34562,27104,0,13921
Zysk (strata) z dzialal. oper. (tys. zl),16222,4298,7401,-2498,15932,3411,11171,501,11384,3380,6337,4049,-41118,-504,4061,2043,4363,3388,-26509,-15695,2264,2821,8644,2273,5329,1705,8267,1421,0,-137
Zysk (strata) brutto (tys. zl),15644,4043,9052,-1125,17139,3514,12613,-969,11048,3627,6719,4775,-65802,1144,4431,1140,4024,2379,-37595,-16507,7853,2542,7865,1751,5171,1277,7842,1868,0,-429
Zysk (strata) netto (tys. zl),12912,3350,8815,-563,13897,2860,10220,20609,10813,6091,6415,3956,-65525,1113,4435,1048,3666,1714,-35758,-16460,6279,2105,6130,1500,4159,1000,6328,1540,0,-342
Amortyzacja (tys. zl),1002,830,868,972,868,791,920,771,878,691,854,804,1591,572,736,668,1460,1776,1967,2021,698,895,989,1330,326,347,444,528,0,300
EBITDA (tys. zl),17224,5128,8269,-1526,16800,4202,12091,1272,12262,4071,7191,4853,-39527,68,4797,2711,5823,5164,-24542,-13674,2962,3716,9633,3603,5655,2052,8711,1949,0,163
Aktywa (tys. zl),194965,186478,201552,193428,139369,137992,178910,169642,103613,114627,115977,118956,125818,0,0,0,187890,0,199596,196548,105787,0,142403,161355,36022,0,55612,98287,0,33074
Kapital wlasny (tys. zl),165768,168215,168151,167588,119460,122320,132539,153149,89101,95121,101607,105563,-19048,0,0,0,97125,0,63266,47275,84003,0,92201,93550,20106,0,27446,77716,0,15947
Liczba akcji (tys. szt.),"30563,089","30563,089","30563,089","30563,089","30563,089","30563,089","30563,089","30563,089","30563,089","30563,089","30563,089","30563,089","13381,273","31010,073","31010,073","31010,073","13347,273","13347,273","13347,273","13381,273","13347,273","13347,273","13347,273","13347,273","10847,270","10847,270","10847,270","13347,273",,"10847,270"
Zysk na akcje (zl),"0,422","0,110","0,288","-0,018","0,455","0,094","0,334","0,674","0,354","0,199","0,210","0,129","-4,897","0,036","0,143","0,034","0,275","0,128","-2,679","-1,230","0,470","0,158","0,459","0,112","0,383","0,092","0,583","0,115",,"-0,032"
Wartosc ksiegowa na akcje (zl),"5,424","5,504","5,502","5,483","3,909","4,002","4,337","5,011","2,915","3,112","3,325","3,454","-1,423","0,000","0,000","0,000","7,277","0,000","4,740","3,533","6,294","0,000","6,908","7,009","1,854","0,000","2,530","5,823",,"1,470"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
