index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1999,I Q 2000,II Q 2000,III Q 2000, Q 0000,I Q 1999,II Q 1999,III Q 1999
Przychody netto ze sprzedaÅ¼y (tys. zl),11701,5442,6440,5894,8878,4659,7476,6318,8463,5364,7079,5483,9720,3935,5665,4129,9304,3224,7381,4017,18918,6745,7078,5179,19666,7312,6864,7800,19614,8189,6982,7761,16390,8794,9960,8435,8807,9033,8122,7918,7192,4039,4142,3896,7933,3146,4627,2570,10531,4081,4033,3564,8977,3837,3882,4321,28270,6868,5770,4021,28866,20732,32234,70978,20595,9762,56176,83103,7933,5753,7660,6311
Zysk (strata) z dzialal. oper. (tys. zl),936,-345,92,-25,520,-733,961,374,-214,-48,542,457,170,-1710,-279,-1153,1342,-1055,622,-726,4085,-783,-1261,-1468,2028,-1948,-606,224,3999,336,-1885,-569,1397,141,612,-159,-3716,2397,-1760,416,560,-941,-362,-397,595,34,375,-520,1878,33,60,251,-1484,-77,-1196,789,-9418,1591,-181,-402,-4668,-2366,-1113,2567,1253,410,-4546,4749,595,1603,1225,1438
Zysk (strata) brutto (tys. zl),858,-384,5,-33,438,-788,907,323,-247,-116,481,355,53,-1822,-381,-1165,1324,-932,522,-779,3910,-883,-1363,-99,2165,-1967,-861,221,3192,-100,-1951,-446,1656,203,731,-248,-3439,2356,-1714,379,532,-806,-373,-382,609,29,352,-509,1848,30,354,347,-3010,89,-1057,1097,-11127,2011,93,-26,-5433,-3157,-1681,2725,1551,985,-5941,3358,609,2031,1602,1746
Zysk (strata) netto (tys. zl),596,-426,-63,-61,659,-761,737,213,444,-37,213,173,-46,-1708,-449,-1210,1340,-884,521,-771,3465,-765,-1298,340,2374,-1836,-871,253,2877,118,-1736,-270,1308,111,603,-367,-3471,1466,-1840,374,557,-796,-379,-338,504,-3,283,-443,1632,26,315,324,-2433,31,-985,1083,-6147,1859,89,31,-2408,-457,-692,886,931,736,-1805,946,504,1362,1079,1181
Amortyzacja (tys. zl),702,710,724,748,897,695,688,689,838,883,893,903,2234,830,825,816,283,334,322,323,378,347,372,355,422,390,442,403,336,361,369,266,391,333,358,354,424,441,363,365,1480,345,479,379,64,52,53,53,45,34,56,91,52,49,56,48,321,59,45,52,451,451,166,360,280,240,696,334,141,116,129,126
EBITDA (tys. zl),1638,365,816,723,1417,-38,1649,1063,624,835,1435,1360,2404,-880,546,-337,1625,-721,944,-403,4463,-436,-889,-1113,2450,-1558,-164,627,4335,697,-1516,-303,1788,474,970,195,-3292,2838,-1397,781,2040,-596,117,-18,659,86,428,-467,1923,67,116,342,-1432,-28,-1140,837,-9097,1650,-136,-350,-4217,-1915,-947,2927,1533,650,-3850,5083,736,1719,1354,1564
Aktywa (tys. zl),42210,39495,39291,39353,40608,39702,39801,39511,41024,38651,39558,38493,37027,34704,33266,33814,38085,36365,37702,35625,54384,52404,48811,0,56628,50607,49875,0,53165,54952,51249,0,45216,45073,44827,46352,43310,43316,41939,42519,42316,42888,41973,0,42816,43398,44795,45998,42556,42657,42570,42680,43125,41273,38983,39102,99716,48988,48495,45866,128447,127680,123614,113205,57635,65431,165060,154210,43592,45738,48590,49542
Kapital wlasny (tys. zl),22936,22510,22282,22193,22182,21421,22158,22371,21416,21402,21394,21859,23085,21277,21340,20130,24907,23811,24046,23162,25647,24989,23690,0,26294,24301,23562,0,22409,26811,24035,0,20251,20364,20964,20597,18966,20449,18592,18967,26369,25358,25194,0,26347,26334,26606,26163,26094,25798,26583,26898,26396,25793,23302,23939,25896,29120,29582,29044,31825,31582,30189,30225,35318,35651,33787,34709,27260,32087,33167,34345
Liczba akcji (tys. szt.),"2913,489","2913,489","2913,489","2800,598","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2913,489","2934,808","2934,808","2934,808","2934,808","3123,333","3123,333","3123,333","2934,808","3163,246","3163,246","3163,246","3123,333","3163,246","3163,246","3163,246","3163,246","3163,246","3163,246","3163,246","3163,246","2851,896","3163,246","3163,246","3163,246"
Zysk na akcje (zl),"0,205","-0,146","-0,022","-0,022","0,226","-0,261","0,253","0,073","0,152","-0,013","0,073","0,059","-0,016","-0,586","-0,154","-0,415","0,460","-0,303","0,179","-0,265","1,189","-0,263","-0,446","0,117","0,815","-0,630","-0,299","0,087","0,987","0,041","-0,596","-0,093","0,449","0,038","0,207","-0,126","-1,191","0,503","-0,632","0,128","0,191","-0,273","-0,130","-0,116","0,173","-0,001","0,097","-0,152","0,556","0,009","0,107","0,110","-0,779","0,010","-0,315","0,369","-1,943","0,588","0,028","0,010","-0,761","-0,144","-0,219","0,280","0,294","0,233","-0,571","0,299","0,177","0,431","0,341","0,373"
