index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2005,IV Q 2006,II Q 2007
Przychody netto ze sprzedaÅ¼y (tys. zl),19919,17164,14572,13466,21029,18167,18526,20375,16037,14869,16727,17603,12851,13251,16987,15010,10348,10345,10360,11051,8768,10158,10289,10943,3064,3113,3709,5498,2364,2237,2167,3022,3132,1679,2125,1894,0,0,0
Zysk (strata) z dzialal. oper. (tys. zl),6592,5191,4116,3053,7268,5175,5561,6656,4052,4061,4919,5013,3903,3498,5622,3981,2124,2336,1823,2714,3040,3086,2861,3109,1806,1428,1916,2642,597,909,930,1497,2367,635,775,416,0,0,0
Zysk (strata) brutto (tys. zl),6596,5196,4099,3056,7271,5177,5543,6658,4021,4062,4906,5018,4018,3574,5707,4053,2547,2417,1931,2812,3259,3161,2795,3202,1316,1421,1717,2625,398,661,750,1154,2379,543,742,236,0,0,0
Zysk (strata) netto (tys. zl),5342,4202,3329,2464,5899,4187,4481,5390,3245,3270,3946,4049,3245,2880,4582,3339,2025,1948,1559,2264,3411,2331,2059,2587,1063,1119,1405,2100,278,537,580,886,1962,362,496,182,0,0,0
Amortyzacja (tys. zl),66,65,59,59,92,86,82,73,110,106,104,98,76,86,96,96,87,80,79,73,78,72,72,71,90,88,60,211,88,85,93,90,23,71,70,88,0,0,0
EBITDA (tys. zl),6658,5256,4175,3112,7360,5261,5643,6729,4162,4167,5023,5111,3979,3584,5718,4077,2211,2416,1902,2787,3118,3158,2933,3180,1896,1516,1976,2853,685,994,1023,1587,2390,706,845,504,0,0,0
Aktywa (tys. zl),813797,761069,733344,695967,741654,728795,812263,885772,526583,528243,574465,633373,398499,448996,0,502815,314647,320075,328531,0,292329,305747,333851,0,62961,68585,102997,177227,43769,44327,53310,60814,45856,41195,41353,43437,396,6175,20474
Kapital wlasny (tys. zl),84055,88257,81944,84408,73206,77393,73323,78713,63223,66525,63544,67625,53400,56280,0,59897,44385,46333,47892,0,36569,37471,40970,0,29106,30225,31630,33738,26036,26573,27153,28039,24713,25075,25752,25934,254,1871,7350
Liczba akcji (tys. szt.),"8384,440","8384,440","8384,440","8384,440","8384,440","8384,440","8384,440","8384,440","8384,440","8384,440","8384,440","8384,440","8384,440","8384,440","8384,440","8384,440","8384,440","8384,440","8384,440","8384,440","8270,200","8270,200","8270,200","8384,440","8188,600","8188,600","8188,600","8188,600","8188,600","8188,600","8188,600","8188,600","8188,600","8188,600","8188,600","8188,600","6558,600","6558,600","6558,600"
Zysk na akcje (zl),"0,637","0,501","0,397","0,294","0,704","0,499","0,534","0,643","0,387","0,390","0,471","0,483","0,387","0,343","0,546","0,398","0,242","0,232","0,186","0,270","0,412","0,282","0,249","0,309","0,130","0,137","0,172","0,256","0,034","0,066","0,071","0,108","0,240","0,044","0,061","0,022","0,000","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"10,025","10,526","9,773","10,067","8,731","9,231","8,745","9,388","7,541","7,934","7,579","8,066","6,369","6,712","0,000","7,144","5,294","5,526","5,712","0,000","4,422","4,531","4,954","0,000","3,554","3,691","3,863","4,120","3,180","3,245","3,316","3,424","3,018","3,062","3,145","3,167","0,039","0,285","1,121"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
