index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,IV Q 2002,I Q 2003,II Q 2003,III Q 2003,IV Q 2001,I Q 2002,II Q 2002,III Q 2002,IV Q 2000,I Q 2001,II Q 2001,III Q 2001,IV Q 1999,I Q 2000,II Q 2000,III Q 2000, Q 0000, Q 0000,IV Q 1998,II Q 1999
Przychody netto ze sprzedaÅ¼y (tys. zl),402697,390494,386874,372920,404100,388718,380340,400426,450758,434371,422161,413407,519532,490690,477492,457076,426718,544279,536472,521073,394154,401189,396280,394616,386246,386979,393698,394465,369056,375665,373679,370281,222494,237470,243483,271159,209718,204392,205580,205559,237416,218380,203422,230537,220527,216694,203316,230710,184772,207182,215884,220340,152236,160873,177246,178209,143442,146559,150862,152851,139008,122915,132213,137961,0,94773,105014,100389,231204,0,0,0
Zysk (strata) z dzialal. oper. (tys. zl),-8526,152,12706,5336,119347,6039,10244,20159,6221,20684,14224,3112,-65211,27272,26440,32826,236193,4123,12776,27348,231337,26050,12893,27562,15218,19562,20477,14379,-14683,-3051,-4976,7069,-44967,-29079,-33230,-22714,-351180,-14910,-8249,-35714,10120,-5843,-9491,25130,5350,24897,-9491,28755,-79300,28184,28190,29139,-74330,-27637,-25115,-683656,-57086,-39049,-26866,-132777,-36835,-35667,-44170,-398997,0,-18204,-35092,-38863,-941,0,0,0
Zysk (strata) brutto (tys. zl),-11044,-2413,11671,2850,104234,4745,10686,16304,1050,16133,9320,-3275,-71750,19860,18507,25003,236464,-9212,3056,17000,234176,29110,16738,34964,12035,17433,22805,14355,-10818,-6934,-8181,4197,-45736,-30780,314575,-18472,-351855,-13122,-7088,-35417,10537,-4479,-9002,24927,-981,27855,-9002,30716,95507,36906,32158,44857,109373,-91085,-17425,-686028,-258474,-248119,-276434,-334794,-24572,-45867,-39612,-496951,0,-98546,-187754,-184108,2640,0,0,0
Zysk (strata) netto (tys. zl),-13894,-10246,23701,16828,160001,1261,6564,8282,10496,10953,8295,-4416,-108911,13144,8584,14066,234264,-9846,21018,10035,221577,-23045,12911,24656,99096,14352,15556,12410,-10096,-6401,-8242,4236,-99902,-55294,314581,-18586,-372950,-37855,-51085,-80642,-11638,-10781,-12828,17651,45475,23113,-12828,22637,95559,36676,31779,44495,109777,-91348,-17254,-686288,-261809,-248838,-277298,-327684,-27106,-45825,-41959,-497460,0,-102947,-189741,-183694,49095,0,0,0
Amortyzacja (tys. zl),110473,106976,102102,97573,106743,105450,102378,102786,109011,105294,105577,106378,119292,111349,109968,109666,81828,120019,122101,121079,76515,75325,75786,75817,75384,73972,74786,75411,72259,72962,74388,75832,62644,62879,68666,66543,70349,69519,70485,71874,62285,64602,67937,69577,57383,60764,61470,63938,55801,47553,55552,54843,66801,71199,56345,73729,-173764,69137,70303,73355,48765,55742,69446,70327,0,36713,44603,49423,116,0,0,0
EBITDA (tys. zl),101947,107128,114808,102909,226090,111489,112622,122945,115232,125978,119801,109490,54081,138621,136408,142492,318021,124142,134877,148427,307852,101375,88679,103379,90602,93534,95263,89790,57576,69911,69412,82901,17677,33800,35436,43829,-280831,54609,62236,36160,72405,58759,58446,94707,62733,85661,51979,92693,-23499,75737,83742,83982,-7529,43562,31230,-609927,-230850,30088,43437,-59422,11930,20075,25276,-328670,0,18509,9511,10560,-825,0,0,0
Aktywa (tys. zl),2689013,2648907,2525448,2491941,2890698,2821723,2571295,2820132,2937636,2909033,2786785,2753541,3232985,3220630,0,2983523,3553148,3483570,3447659,3374046,2568569,2537800,0,2550219,2341569,2298503,0,2361982,2282705,2264467,2216292,2218287,2070651,2062256,2169214,2260204,2155359,2093132,2092063,2016734,0,2588619,0,2528943,2532561,2634474,2610412,2560613,2265795,2882405,2826878,2528297,3541893,3300335,3302693,2600973,3974568,3864983,3818706,3690803,5125994,4745446,4475994,4248788,3957279,3836354,5499794,5395841,2607846,0,2052691,3275495
Kapital wlasny (tys. zl),2036120,2019153,1885824,1900399,2242617,2243484,2041272,2049388,2204504,2217109,2079182,2075947,2296295,2295363,0,2193744,2500368,2486739,2483880,2444660,2297546,2274897,0,2294021,2026177,2042500,0,2075141,1928481,1927899,1915427,1920872,1728269,1687128,1954626,1937321,1944998,1908465,1899408,1824088,0,2304408,0,2317195,2285432,2369582,2400552,2343323,2071117,2136979,2181284,2224501,2772304,2680956,2663819,1975453,-349992,-598830,-876128,-1203812,637327,752156,710197,-249978,667338,564391,849674,660330,2285843,0,-131676,163918
Liczba akcji (tys. szt.),"348233,455","348233,455","348233,455","348348,161","348088,394","348088,394","348099,025","348099,025","347910,774","347910,774","347910,774","347910,774","386169,783","386280,904","386280,904","386280,904","391042,968","381827,064","386169,783","386169,783","389338,353","390374,610","391042,968","391042,968","389277,294","389277,294","389338,353","389338,353","389277,294","389277,294","389277,294","389277,294","389277,294","389277,294","389277,294","389277,294","386062,498","386062,498","386062,498","389277,294","408614,873","412746,925","386062,498","386062,498","362056,309","378660,333","392429,565","394644,655","344393,550","352783,156","359852,863","362000,686","31419,172","344045,212","344045,212","344279,063","188515,032","188515,032","188515,032","31419,172","188515,032","188515,032","188515,032","188515,032","188515,032","188515,032","188515,032","188515,032","366956,325",,"188515,032","188515,032"
Zysk na akcje (zl),"-0,040","-0,029","0,068","0,048","0,460","0,004","0,019","0,024","0,030","0,031","0,024","-0,013","-0,282","0,034","0,022","0,036","0,599","-0,026","0,054","0,026","0,569","-0,059","0,033","0,063","0,255","0,037","0,040","0,032","-0,026","-0,016","-0,021","0,011","-0,257","-0,142","0,808","-0,048","-0,966","-0,098","-0,132","-0,207","-0,028","-0,026","-0,033","0,046","0,126","0,061","-0,033","0,057","0,277","0,104","0,088","0,123","3,494","-0,266","-0,050","-1,993","-1,389","-1,320","-1,471","-10,429","-0,144","-0,243","-0,223","-2,639","0,000","-0,546","-1,007","-0,974","0,134",,"0,000","0,000"
