index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,I Q 2006,II Q 2006,III Q 2006
Przychody netto ze sprzedaÅ¼y (tys. zl),47215,40474,50605,46833,44948,45480,50533,47247,35060,37550,45843,47529,29647,29918,35597,31500,34522,33784,32531,30311,33478,31579,34896,33196,30580,35467,31187,31630,33648,38506,30550,30580,12969,25050,31544,30723,1073,2850,6068,7189,612,985,857
Zysk (strata) z dzialal. oper. (tys. zl),1353,1725,1936,1296,1570,2677,2223,1950,815,1300,1500,2039,-1987,647,1399,1092,608,1080,363,672,889,1044,1463,632,356,1738,882,4535,726,2649,179,989,419,2280,1392,1492,246,384,745,668,217,288,226
Zysk (strata) brutto (tys. zl),547,1326,2307,1245,-39,2705,2058,1981,799,1368,3991,2044,-4536,702,1446,1115,1812,1313,392,1205,2525,1878,1723,1458,6777,2071,993,4463,1118,2364,5584,1117,356,2155,1355,1378,290,436,738,699,217,294,228
Zysk (strata) netto (tys. zl),379,1106,1645,792,-503,2332,807,1790,626,1209,2896,1867,-4047,775,1304,851,1491,1274,493,1367,1946,1878,1308,1298,1552,1793,1091,3582,676,1895,3210,1206,278,1701,1166,1149,208,354,583,556,217,238,194
Amortyzacja (tys. zl),769,736,767,781,542,546,587,555,290,319,358,409,293,301,307,289,218,251,265,292,251,226,241,242,223,218,225,217,294,228,230,169,201,183,207,217,31,45,81,96,13,18,31
EBITDA (tys. zl),2122,2461,2703,2077,2112,3223,2810,2505,1105,1619,1858,2448,-1694,948,1706,1381,826,1331,628,964,1140,1270,1704,874,579,1956,1107,4752,1020,2877,409,1158,620,2463,1599,1709,277,429,826,764,230,306,257
Aktywa (tys. zl),96493,116208,135580,143258,87503,98802,105317,105207,92834,101326,101704,104589,90795,98417,100536,99002,95545,102136,100906,102329,80080,84629,90629,0,76877,80571,81703,0,68580,67696,75067,0,36454,42042,55203,0,6863,8897,12940,0,1596,1900,0
Kapital wlasny (tys. zl),63103,64182,67458,68251,59349,61717,62847,64638,64606,65829,63202,62907,61932,62832,63304,64155,62562,63836,62775,65596,56567,58745,60794,0,48204,49997,51088,0,37387,39282,45694,0,13706,15430,17683,0,6502,6856,7439,0,506,1583,0
Liczba akcji (tys. szt.),"9254,115","9254,115","9254,115","9254,115","12150,000","12150,000","12150,000","12150,000","12150,000","12150,000","12150,000","12150,000","12150,000","12150,000","12150,000","12150,000","12150,000","12150,000","12150,000","12150,000","12150,000","12150,000","12150,000","12150,000","12150,000","12150,000","12150,000","12150,000","11518,333","11518,333","12150,000","12150,000","9720,000","9720,000","9720,000","9720,000","9065,000","9065,000","9065,000","9720,000","8000,000","8000,000","8000,000"
Zysk na akcje (zl),"0,041","0,120","0,178","0,086","-0,041","0,192","0,066","0,147","0,052","0,100","0,238","0,154","-0,333","0,064","0,107","0,070","0,123","0,105","0,041","0,113","0,160","0,155","0,108","0,107","0,128","0,148","0,090","0,295","0,059","0,165","0,264","0,099","0,029","0,175","0,120","0,118","0,023","0,039","0,064","0,057","0,027","0,030","0,024"
Wartosc ksiegowa na akcje (zl),"6,819","6,936","7,290","7,375","4,885","5,080","5,173","5,320","5,317","5,418","5,202","5,178","5,097","5,171","5,210","5,280","5,149","5,254","5,167","5,399","4,656","4,835","5,004","0,000","3,967","4,115","4,205","0,000","3,246","3,410","3,761","0,000","1,410","1,587","1,819","0,000","0,717","0,756","0,821","0,000","0,063","0,198","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
