index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,I Q 2004,II Q 2004,II Q 2004,III Q 2004,I Q 2003,II Q 2003,III Q 2003,IV Q 2003, Q 0000
Przychody netto ze sprzedaÅ¼y (tys. zl),38368,40067,46030,47820,36399,39501,52559,50221,40719,41688,50270,50508,43978,43391,55681,58660,45679,50615,58078,60985,43125,44487,54889,60719,31951,34634,45524,53876,39786,35646,47203,50707,38911,44528,52006,55662,23930,27316,33786,41015,25922,20354,27180,30929,18607,18256,20576,30325,17857,17857,26731,24284,10360,16006,20264,18077,18607
Zysk (strata) z dzialal. oper. (tys. zl),-1671,-103,-933,3431,-4317,-644,2473,737,-4338,901,1269,4212,-652,-1723,1960,5247,3476,2247,3073,6751,-1034,-204,4260,6447,-7130,-138,3521,4404,3886,2974,4026,6800,6451,7150,7626,8945,3421,2853,3574,7975,3379,2061,3657,5923,1461,399,488,5273,3359,3168,5268,4904,-1022,2083,5632,4577,2261
Zysk (strata) brutto (tys. zl),-2083,-690,-1057,2877,-4426,-474,1802,392,-5364,175,503,4310,-1983,-2564,-1,3947,2676,916,1795,5361,-1589,-1605,2975,5350,-6275,-759,3655,3255,4203,2728,2599,5822,3903,5249,6006,8483,2514,2372,2932,7302,2735,1228,2962,5266,1140,425,-181,4640,2694,2429,5552,4989,-3664,1053,3846,2832,1898
Zysk (strata) netto (tys. zl),-1544,-577,-1237,2327,-3449,13,1617,266,-3742,939,806,3946,-1048,-1835,-80,4018,2237,1134,2056,5050,-337,-1322,3522,4537,-4591,-344,3041,2947,3903,2414,2444,4976,3423,4386,4878,7196,2305,1744,2937,6531,1883,845,2323,4236,718,24,-631,3481,2243,2004,4476,3799,-3392,774,3085,2580,1434
Amortyzacja (tys. zl),3510,3376,3442,3547,3322,3327,3481,3539,3380,3303,3303,3327,3749,3515,3483,3450,4766,4570,3240,3801,4634,4629,4254,4671,4860,4564,4564,4604,4892,4730,4201,4616,4630,4763,4637,4814,2775,2768,2792,3434,2624,2705,2735,2737,2177,2247,2926,3123,1908,1973,2057,2172,1958,1991,1979,1959,141
EBITDA (tys. zl),1839,3273,2509,6978,-995,2683,5954,4276,-958,4204,4572,7539,3097,1792,5443,8697,8242,6817,6313,10552,3600,4425,8514,11118,-2270,4426,8085,9008,8778,7704,8227,11416,11081,11913,12263,13759,6196,5621,6366,11409,6003,4766,6392,8660,3638,2646,3414,8396,5267,5141,7325,7076,936,4074,7611,6536,2402
Aktywa (tys. zl),276314,272832,277131,257634,289048,292206,289676,277786,299062,310550,311674,305109,314966,315222,331511,313271,322585,323056,326012,0,316418,313785,319142,0,312349,314703,320733,0,324549,331421,333125,0,300281,308537,320331,0,178679,177275,178616,0,174945,174660,177202,0,171890,168231,169722,0,117014,117014,120567,158574,98973,102970,108844,110580,168054
Kapital wlasny (tys. zl),196329,195753,189823,192153,200669,200677,197607,197873,202176,203112,200169,204115,204447,202037,201886,205911,203381,203420,201604,0,200750,199428,202684,0,198940,198152,200606,0,198700,201079,202111,0,191976,197169,195808,0,118273,120017,122770,0,109548,110481,110677,0,102962,103446,103386,0,54436,54436,58912,97167,37622,40897,43982,46562,98601
Liczba akcji (tys. szt.),"46893,621","46893,621","46893,621","46893,621","46893,621","46893,621","46893,621","46893,621","56114,378","56114,378","56114,378","56114,378","57038,073","57038,073","56114,378","56114,378","57038,073","57038,073","57038,073","57038,073","57038,073","57038,073","57038,073","57038,073","57038,073","57038,073","57038,073","57038,073","57038,073","57038,073","57038,073","57038,073","57038,073","57038,073","57038,073","57038,073","38025,382","38025,382","38025,382","57038,073","36944,082","36944,082","36944,082","36944,082","36944,082","36944,082","36944,082","36944,082","36944,082","29944,082","36944,082","36944,082","36944,082","36944,082","36944,082","36944,082","36944,082"
Zysk na akcje (zl),"-0,033","-0,012","-0,026","0,050","-0,074","0,000","0,034","0,006","-0,067","0,017","0,014","0,070","-0,018","-0,032","-0,001","0,072","0,039","0,020","0,036","0,089","-0,006","-0,023","0,062","0,080","-0,080","-0,006","0,053","0,052","0,068","0,042","0,043","0,087","0,060","0,077","0,086","0,126","0,061","0,046","0,077","0,115","0,051","0,023","0,063","0,115","0,019","0,001","-0,017","0,094","0,061","0,067","0,121","0,103","-0,092","0,021","0,084","0,070","0,039"
