index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,II Q 2011,III Q 2011,IV Q 2011,I Q 2012,II Q 2010,III Q 2010,IV Q 2010,I Q 2011,II Q 2009,III Q 2009,IV Q 2009,I Q 2010,II Q 2008,III Q 2008,IV Q 2008,I Q 2009,II Q 2007,III Q 2007,IV Q 2007,I Q 2008,II Q 2006,III Q 2006,IV Q 2006,I Q 2007,I Q 2006
Przychody netto ze sprzedaÅ¼y (tys. zl),228258,132167,142481,141874,0,169492,166060,167127,122198,137064,262137,152621,129546,118333,166108,118327,109624,115044,142615,126695,218432,119072,174632,125201,146595,116603,185140,139994,17163,147506,136687,107094,6480
Zysk (strata) z dzialal. oper. (tys. zl),4314,1583,2811,325,0,-1019,2049,3301,145,1076,4039,-272,-2678,-1603,238,613,-6940,923,371,-1878,4862,-3099,8305,3375,3867,-622,-4003,349,-166,4008,-52,1384,-4
Zysk (strata) brutto (tys. zl),3721,1627,458,1849,0,1320,75,1634,202,-1360,2073,479,-5290,716,-573,322,-4287,312,-625,-2556,5258,-4394,3877,313,4698,-147,3309,1211,55,4361,1723,569,0
Zysk (strata) netto (tys. zl),3091,1260,418,1491,0,1078,336,1232,154,-1093,1535,384,-5608,739,765,209,-3660,418,-966,-2524,3365,-3273,3220,267,4976,-140,3114,1300,113,3448,1397,571,0
Amortyzacja (tys. zl),197,166,155,179,0,202,203,192,203,186,197,175,277,209,234,235,301,322,416,242,448,401,517,331,286,401,574,352,51,70,423,176,0
EBITDA (tys. zl),4511,1749,2966,504,0,-817,2252,3493,348,1262,4236,-97,-2401,-1394,472,848,-6639,1245,787,-1636,5310,-2698,8822,3706,4153,-221,-3429,701,-115,4078,371,1560,-4
Aktywa (tys. zl),297869,237705,263586,295447,240936,270405,253265,227275,181495,0,178759,178742,181410,0,234594,197557,203118,0,195882,187150,251225,215497,232100,215985,261578,0,264215,224139,0,0,178546,217657,8432
Kapital wlasny (tys. zl),130452,131712,127751,129242,126768,127846,128182,127361,120384,0,120797,121181,113403,0,120021,120230,122406,0,121459,119163,129233,123752,127200,127704,77689,0,125253,123874,0,0,71624,72301,532
Liczba akcji (tys. szt.),"13850,000","13850,000","13850,000","13850,000","13850,000","13850,000","13850,000","13850,000","13850,000","13850,000","13850,000","13850,000","13850,000","13850,000","13850,000","13850,000","13850,000","13850,000","13850,000","13850,000","13850,000","13850,000","13850,000","13850,000","11089,313","13850,000","13850,000","13850,000","11089,313","11089,313","11089,313","11089,313","347,900"
Zysk na akcje (zl),"0,223","0,091","0,030","0,108","0,000","0,078","0,024","0,089","0,011","-0,079","0,111","0,028","-0,405","0,053","0,055","0,015","-0,264","0,030","-0,070","-0,182","0,243","-0,236","0,232","0,019","0,449","-0,010","0,225","0,094","0,010","0,311","0,126","0,051","0,000"
Wartosc ksiegowa na akcje (zl),"9,419","9,510","9,224","9,332","9,153","9,231","9,255","9,196","8,692","0,000","8,722","8,750","8,188","0,000","8,666","8,681","8,838","0,000","8,770","8,604","9,331","8,935","9,184","9,221","7,006","0,000","9,044","8,944","0,000","0,000","6,459","6,520","1,529"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
