index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2003,IV Q 2004,III Q 2005
Przychody netto ze sprzedaÅ¼y (tys. zl),44867,45647,46790,67993,40278,39199,41787,40046,39932,34909,37334,38139,37929,33284,34111,38492,34100,32151,31979,33886,30811,30170,30721,31375,423474,26324,26412,27494,637678,430459,433405,415145,825907,695023,620988,586587,507944,461063,573320,657134,289573,349291,375231,436305,0,0,234685
Zysk (strata) z dzialal. oper. (tys. zl),8119,6500,5535,15711,5017,6990,7492,8781,9117,6074,6570,8134,8659,6137,6336,10192,4921,5797,5924,8017,2458,3689,4480,5735,-114559,102,578,2390,-209125,-87949,-53543,-80844,133742,75304,33192,-12089,125246,87409,108620,101723,-41666,105129,72801,141223,0,0,131340
Zysk (strata) brutto (tys. zl),8129,6526,5551,15682,5046,6997,7513,8788,9153,6098,6570,8140,7795,5549,6298,10247,4970,6087,6162,8935,2455,3652,4536,6178,-116572,-86,460,2306,-287742,-86842,-56516,-84537,114961,64232,42845,-13842,132967,96945,115524,96974,-39901,102173,69346,140250,0,0,131181
Zysk (strata) netto (tys. zl),6115,5099,4652,13910,4376,5470,6330,7804,7402,4881,5423,6916,6502,4580,5079,8631,3796,5122,5236,7337,43,183,4245,5606,-73019,-343,-760,2205,-558110,-96441,-255234,-88376,90672,55784,35674,7424,110600,79333,103444,92846,87381,90979,54291,132929,0,0,60221
Amortyzacja (tys. zl),2176,2463,2641,11390,4064,1836,2095,2024,1780,1960,2095,2225,2421,2108,2092,1783,3250,2901,2666,2392,4506,5629,3605,3240,69876,4294,4963,4165,203221,98677,284215,104029,82238,80685,88701,101784,61923,47172,60525,66869,23023,29489,32274,36169,0,0,19211
EBITDA (tys. zl),10295,8963,8176,27101,9081,8826,9587,10805,10897,8034,8665,10359,11080,8245,8428,11975,8171,8698,8590,10409,6964,9318,8085,8975,-44683,4396,5541,6555,-5904,10728,230672,23185,215980,155989,121893,89695,187169,134581,169145,168592,-18643,134618,105075,177392,0,0,150551
Aktywa (tys. zl),162333,169917,188933,153726,126231,135490,125044,135317,118277,122254,115369,120713,109199,113180,100967,108930,100964,106957,0,0,107696,105773,108192,0,1776015,1778867,0,0,2403574,2234506,1978028,0,2703926,2712456,2797419,0,2309201,2388502,0,0,944942,0,1143360,0,375607,509729,0
Kapital wlasny (tys. zl),115543,121024,103205,117790,103865,109938,100900,108757,97555,102411,92687,99810,87300,91477,81022,89941,77070,83087,0,0,80702,80659,69225,0,1229972,1247566,0,0,1778450,1643278,1402945,0,2273768,2329221,2306616,0,2035895,2111931,0,0,574185,0,696857,0,246890,372491,0
Liczba akcji (tys. szt.),"151791,206","151791,206","151791,206","151791,206","151791,206","151791,206","151791,206","151791,206","151329,505","151329,505","151329,505","151791,206","151329,505","151329,505","151329,505","151329,505","4294,832","4294,832","4294,832","151329,505","3783237,625","3783237,625","3783237,625","4294,832","3775000,000","3775000,000","3775000,000","3783237,625","3775000,000","3775000,000","3775000,000","3775000,000","3775000,000","3775000,000","3775000,000","3775000,000","3775000,000","3775000,000","3775000,000","3775000,000","3775000,000","3775000,000","3775000,000","3775000,000","3775000,000","3775000,000","3775000,000"
Zysk na akcje (zl),"0,040","0,034","0,031","0,092","0,029","0,036","0,042","0,051","0,049","0,032","0,036","0,046","0,043","0,030","0,034","0,057","0,884","1,193","1,219","0,048","0,000","0,000","0,001","1,305","-0,019","0,000","0,000","0,001","-0,148","-0,026","-0,068","-0,023","0,024","0,015","0,009","0,002","0,029","0,021","0,027","0,025","0,023","0,024","0,014","0,035","0,000","0,000","0,016"
Wartosc ksiegowa na akcje (zl),"0,761","0,797","0,680","0,776","0,684","0,724","0,665","0,716","0,645","0,677","0,612","0,658","0,577","0,604","0,535","0,594","17,945","19,346","0,000","0,000","0,021","0,021","0,018","0,000","0,326","0,330","0,000","0,000","0,471","0,435","0,372","0,000","0,602","0,617","0,611","0,000","0,539","0,559","0,000","0,000","0,152","0,000","0,185","0,000","0,065","0,099","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
