index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,III Q 2012,IV Q 2012,I Q 2013,II Q 2013,III Q 2011,IV Q 2011,I Q 2012,II Q 2012,III Q 2010,IV Q 2010,I Q 2011,II Q 2011,III Q 2009,IV Q 2009,I Q 2010,II Q 2010,III Q 2008,IV Q 2008,I Q 2009,II Q 2009,I Q 2007,IV Q 2007,I Q 2008,II Q 2008,IV Q 2004,IV Q 2005,IV Q 2006
Przychody netto ze sprzedaÅ¼y (tys. euro),4053,2811,2216,3543,-9510,3916,3414,2577,21722,8296,8509,67881,45496,244707,23099,48255,43870,40163,32626,29582,65163,100988,33212,40359,54527,64688,51484,111592,112349,74335,54847,77468,58599,85895,47156,66086,0,0,0
Zysk (strata) z dzialal. oper. (tys. euro),-1266,769,11776,463,4964,-1685,-9511,-874,-85435,-18595,-5413,45005,-2011,-11834,3407,7820,14835,6206,7271,-16356,14134,3011,4128,14776,11847,-5717,5020,32750,13479,-430774,-1365,-258982,1283,67760,11961,18563,0,0,0
Zysk (strata) brutto (tys. euro),1416,-3718,14956,1306,-5267,-6036,-12898,-3502,-120888,-47113,-13430,43090,-17489,3308,7521,3083,-27770,-17297,2462,-10482,4330,-21018,-2367,326,-6937,-39100,-20671,258507,-20721,-494364,-59401,-258937,114,28701,-17494,18166,0,0,0
Zysk (strata) netto (tys. euro),377,-3718,12266,1640,-5336,-6164,-10926,-3758,-110301,-53413,-9607,44740,-23912,-7557,7291,-303,-32050,-13703,2834,-11879,4210,-8533,-4374,-3129,-1361,-49347,-15599,253332,-15671,-360775,-45729,-154128,439,19079,-12786,-1328,0,0,0
Amortyzacja (tys. euro),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2157,-311,0,0,3,-16697,2692,5619,0,0,2116,103932,1800,0,3737,44633,0,0,0
EBITDA (tys. euro),-1266,769,11776,463,4964,-1685,-9511,-874,-85435,-18595,-5413,45005,-2011,-11834,3407,7820,14835,6206,7271,-16356,16291,2700,4128,14776,11850,-22414,7712,38369,13479,-430774,751,-155050,3083,67760,15698,63196,0,0,0
Aktywa (tys. euro),378562,376517,383797,376595,374114,386785,377281,376049,1171845,515400,391160,351284,0,1387557,1171800,1365209,0,1698372,1713541,1622360,0,1902305,1831495,1809455,0,2072463,2061554,2010785,0,2464110,2402479,2142876,0,2941451,2932199,3051576,308958,690575,1480354
Kapital wlasny (tys. euro),204402,202024,293836,295970,205510,215793,203544,201487,175909,110500,103891,147755,0,438493,263100,431621,0,259532,274198,334470,0,303056,296993,286754,0,56577,51078,320517,0,304633,246249,97619,0,734200,727647,721356,106751,243197,454232
Liczba akcji (tys. szt.),"3145076,290","3145076,290","1314507,629","1314507,629","3145076,290","3145076,290","3145076,290","3145076,290","46948127,890","46948127,890","46948127,890","46948127,890","40997084,490","40997084,490","44214794,420","44214794,420","6992085,060","6992085,060","6992085,060","14520316,460","5762085,060","5762085,060","5762085,060","5762085,060","4294547,870","4294547,870","4294547,870","5762085,060","4294547,870","4294547,870","4294547,870","4294547,870","4183437,870","4294547,870","4294547,870","4294547,870","4183437,870","4183437,870","4183437,870"
Zysk na akcje (euro),"0,000","-0,001","0,009","0,001","-0,002","-0,002","-0,003","-0,001","-0,002","-0,001","0,000","0,001","-0,001","0,000","0,000","0,000","-0,005","-0,002","0,000","-0,001","0,001","-0,001","-0,001","-0,001","0,000","-0,011","-0,004","0,044","-0,004","-0,084","-0,011","-0,036","0,000","0,004","-0,003","0,000","0,000","0,000","0,000"
Wartosc ksiegowa na akcje (euro),"0,065","0,064","0,224","0,225","0,065","0,069","0,065","0,064","0,004","0,002","0,002","0,003","0,000","0,011","0,006","0,010","0,000","0,037","0,039","0,023","0,000","0,053","0,052","0,050","0,000","0,013","0,012","0,056","0,000","0,071","0,057","0,023","0,000","0,171","0,169","0,168","0,026","0,058","0,109"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
