index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2004,IV Q 2005,III Q 2006
Przychody netto ze sprzedaÅ¼y (tys. zl),124731,114870,126265,125081,125538,121081,125063,137661,115934,100734,110297,121993,117878,101079,103766,100036,104193,94398,102326,97483,96888,89565,89074,100803,67367,72359,73547,89451,59058,45997,37392,47765,94364,81791,62993,59520,42235,48125,57992,82599,0,0,24390
Zysk (strata) z dzialal. oper. (tys. zl),12055,4028,4114,3555,-4056,1341,-3633,6750,-27576,3101,93,823,1646,-1883,1532,164,6881,9635,4549,473,9670,6321,10091,18538,13648,10151,11372,16642,10394,-3073,980,7275,35347,21849,6857,5818,11274,14126,20670,36070,0,0,13164
Zysk (strata) brutto (tys. zl),12194,2860,4396,3025,-2097,-344,-1965,5796,-31706,3225,261,-352,2282,-1048,2887,-1076,7283,7356,6379,-1472,10349,6644,9666,21934,13007,8873,13857,14999,9210,-3011,974,6248,13031,20746,6577,6728,18181,12455,12939,13166,0,0,13486
Zysk (strata) netto (tys. zl),11101,2571,3440,1185,-2363,-365,-1694,4127,-18243,2591,678,-481,1501,-718,2260,-661,5677,5804,5128,-1351,7903,5348,7750,17386,10356,7341,11204,12035,7482,-2418,1020,5555,11150,16860,0,5434,18160,10571,0,10600,0,0,13455
Amortyzacja (tys. zl),2204,2167,2290,2377,2417,2171,2281,2221,2508,1672,1985,1835,2858,2790,868,1591,2504,2664,2712,2670,3359,2373,2397,2425,1861,1837,1891,1893,1951,1809,1755,1824,2220,1799,1734,1711,2203,1512,1532,1711,0,0,0
EBITDA (tys. zl),14259,6195,6404,5932,-1639,3512,-1352,8971,-25068,4773,2078,2658,4504,907,2400,1755,9385,12299,7261,3143,13029,8694,12488,20963,15509,11988,13263,18535,12345,-1264,2735,9099,37567,23648,8591,7529,13477,15638,22202,37781,0,0,13164
Aktywa (tys. zl),346237,364659,372721,389833,373146,392191,415821,348005,355819,356895,365676,377343,342439,351007,352960,365096,329805,327016,326873,328698,286726,291223,293344,0,242196,251295,287078,0,253356,216784,222750,0,205166,206395,233871,0,100930,0,0,0,76543,74944,0
Kapital wlasny (tys. zl),246923,254973,252390,244807,239399,235482,243336,243008,234482,239496,237909,238146,251361,259557,254420,254397,260988,269801,263640,245184,209190,221888,227345,0,175813,202579,221366,0,190781,169319,161759,0,156834,158724,190422,0,52950,0,0,0,10194,21628,0
Liczba akcji (tys. szt.),"21058,174","21058,174","21058,174","21058,174","21058,174","21058,174","21058,174","21058,174","21058,174","21058,174","21058,174","21058,174","21015,148","21015,148","21015,148","21015,148","21015,148","21015,148","21015,148","21015,148","21047,033","21047,033","21047,033","21047,033","21047,033","21047,033","21047,033","21047,033","21047,033","21047,033","21047,033","21047,033","21047,033","21047,033","21047,033","21047,033","18770,562","18770,562","18770,562","18770,562","18770,562","18770,562","18770,562"
Zysk na akcje (zl),"0,527","0,122","0,163","0,056","-0,112","-0,017","-0,080","0,196","-0,866","0,123","0,032","-0,023","0,071","-0,034","0,108","-0,031","0,270","0,276","0,244","-0,064","0,375","0,254","0,368","0,826","0,492","0,349","0,532","0,572","0,355","-0,115","0,048","0,264","0,530","0,801","0,000","0,258","0,967","0,563","0,000","0,565","0,000","0,000","0,717"
Wartosc ksiegowa na akcje (zl),"11,726","12,108","11,985","11,625","11,368","11,182","11,555","11,540","11,135","11,373","11,298","11,309","11,961","12,351","12,107","12,105","12,419","12,838","12,545","11,667","9,939","10,542","10,802","0,000","8,353","9,625","10,518","0,000","9,065","8,045","7,686","0,000","7,452","7,541","9,047","0,000","2,821","0,000","0,000","0,000","0,543","1,152","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
