index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010
Przychody netto ze sprzedaÅ¼y (tys. zl),179837,59212,-10692,29472,72631,62624,56140,17992,69923,74520,63660,68952,84783,73015,59430,77614,84265,81198,74363,75033,47664,49289,43598,51604,0,37496,34778,36729
Zysk (strata) z dzialal. oper. (tys. zl),2547,757,-87,140,2261,1632,695,1207,-2194,5286,2212,2985,4805,2637,427,5072,8215,4669,479,3630,2174,2850,742,2671,0,3638,3414,4339
Zysk (strata) brutto (tys. zl),1620,303,97,93,1738,1203,338,1989,-3064,4517,1643,2446,3556,1603,-410,4395,7170,3565,-801,2381,2409,2705,1731,577,0,3383,2994,4015
Zysk (strata) netto (tys. zl),837,345,-37982,-575,1611,823,257,2541,-218,3734,1611,2485,1985,1536,-104,3611,4690,2772,-127,1893,2090,2198,1340,435,0,2717,2419,3242
Amortyzacja (tys. zl),2877,2575,3372,3200,2992,2942,2689,2733,2971,2942,2806,2882,3086,3006,2964,2978,2471,2783,2982,2932,3971,1527,1591,1518,0,911,928,-1639
EBITDA (tys. zl),5424,3332,3285,3340,5253,4574,3384,3940,777,8228,5018,5867,7891,5643,3391,8050,10686,7452,3461,6562,6145,4377,2333,4189,0,4549,4342,2700
Aktywa (tys. zl),254952,260975,251239,260237,262757,255529,248936,251215,266496,268188,259277,260649,287480,276928,262258,280108,278561,293780,278079,0,183308,180045,194916,0,105304,109167,110655,0
Kapital wlasny (tys. zl),141868,141836,104824,103362,138329,139152,139534,141084,128842,132498,134109,135177,125703,127239,127135,130746,119260,122032,121905,0,110895,113093,114378,0,44489,47205,49625,0
Liczba akcji (tys. szt.),"12748,250","12748,250","12748,250","12748,250","12748,250","12748,250","12748,250","12748,250","12748,250","12748,250","12748,250","12748,250","12748,250","12748,250","12748,250","12748,250","12748,250","12748,250","12748,250","12748,250","12748,250","12748,250","12748,250","12748,250","8498,250","8498,250","8498,250","12748,250"
Zysk na akcje (zl),"0,066","0,027","-2,979","-0,045","0,126","0,065","0,020","0,199","-0,017","0,293","0,126","0,195","0,156","0,120","-0,008","0,283","0,368","0,217","-0,010","0,148","0,164","0,172","0,105","0,034","0,000","0,320","0,285","0,254"
Wartosc ksiegowa na akcje (zl),"11,128","11,126","8,223","8,108","10,851","10,915","10,945","11,067","10,107","10,393","10,520","10,604","9,860","9,981","9,973","10,256","9,355","9,572","9,562","0,000","8,699","8,871","8,972","0,000","5,235","5,555","5,839","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
