index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2013,IV Q 2014,I Q 2015,III Q 2015
Przychody netto ze sprzedaÅ¼y (tys. zl),27970,30059,34566,31441,0,0,24529,28092
Zysk (strata) z dzialal. oper. (tys. zl),-3539,7670,7609,7661,0,0,6154,7769
Zysk (strata) brutto (tys. zl),-3701,7590,7493,7397,0,0,6208,7700
Zysk (strata) netto (tys. zl),-5980,6036,5829,4829,0,0,5022,5560
Amortyzacja (tys. zl),1162,1178,1110,1263,0,0,1150,1072
EBITDA (tys. zl),-2377,8848,8719,8924,0,0,7304,8841
Aktywa (tys. zl),132992,142608,152935,160500,91329,115010,0,0
Kapital wlasny (tys. zl),39421,38322,44983,49454,25908,33638,0,0
Liczba akcji (tys. szt.),"4734,820","4734,820","4734,820","4734,820","4734,820","4734,820","4734,820","4734,820"
Zysk na akcje (zl),"-1,263","1,275","1,231","1,020","0,000","0,000","1,061","1,174"
Wartosc ksiegowa na akcje (zl),"8,326","8,094","9,501","10,445","5,472","7,104","0,000","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N
