index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2011,IV Q 2012,I Q 2013,III Q 2013,IV Q 2010
Przychody netto ze sprzedaÅ¼y (tys. zl),269884,281590,267448,265395,274074,253834,247120,277911,246788,263472,267935,287462,0,0,289093,262852,0
Zysk (strata) z dzialal. oper. (tys. zl),43936,37474,39638,32742,28572,10873,17920,28565,20609,17483,17141,17825,0,0,26722,10309,0
Zysk (strata) brutto (tys. zl),41475,32350,36974,32315,28101,7133,15934,26735,17683,15461,14373,16838,0,0,24682,5432,0
Zysk (strata) netto (tys. zl),39657,29712,35613,30491,27923,4949,14227,25919,15020,14420,13557,15306,0,0,22302,4959,0
Amortyzacja (tys. zl),15077,14519,14604,14719,11410,11983,12104,12605,3996,10670,10964,11134,0,0,13112,12935,0
EBITDA (tys. zl),59013,51993,54242,47461,39982,22856,30024,41170,24605,28153,28105,28959,0,0,39834,23244,0
Aktywa (tys. zl),1268795,1293611,1258453,1300508,1240108,1209427,1213779,1235588,1039804,1029641,1132826,1123879,1180311,982740,0,0,1059458
Kapital wlasny (tys. zl),601819,631537,578114,608688,586431,591527,536313,562218,532390,478144,543403,558709,303583,523280,0,0,291995
Liczba akcji (tys. szt.),"19853,300","19853,300","19853,300","19853,300","19853,300","19853,300","19853,300","19853,300","18265,036","19853,300","19853,300","19853,300","18265,036","18265,036","18265,036","18265,036","18265,036"
Zysk na akcje (zl),"1,997","1,497","1,794","1,536","1,406","0,249","0,717","1,306","0,822","0,726","0,683","0,771","0,000","0,000","1,221","0,272","0,000"
Wartosc ksiegowa na akcje (zl),"30,313","31,810","29,119","30,659","29,538","29,795","27,014","28,319","29,148","24,084","27,371","28,142","16,621","28,649","0,000","0,000","15,987"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
