index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2004,IV Q 2005,II Q 2006,III Q 2006,IV Q 2003
Przychody netto ze sprzedaÅ¼y (tys. zl),143,1,96,76,6,1,0,1,13,1,2,1,-10,57,7,8,-92889,589,-433,1,42266,19218,33549,40252,20594,25477,32307,49907,83379,18682,15111,21353,84950,41189,39977,90863,87522,37985,34493,63959,0,0,28993,60318,0
Zysk (strata) z dzialal. oper. (tys. zl),-6499,-6111,-20179,-5981,-9800,-7366,-8592,-1711,-9408,-9596,-8867,-11100,-15784,-26272,-10280,-10338,4582,-15128,-5796,-17690,-51732,-23045,-7413,-15517,-18509,-14467,-14777,-9528,-53946,-30743,-108218,-47771,-3990,-10800,-10667,-15015,3904,-8206,-8284,-6156,0,0,-3427,995,0
Zysk (strata) brutto (tys. zl),-179508,-26919,-12741,-13975,-145082,-22141,-19401,-226007,-150130,-86206,-24363,-22515,-39509,-22788,-46568,-27972,-65011,-27894,-6131,-17293,-65261,-23576,-18011,-36172,-94145,-57879,-30940,-5018,-267494,-138060,-168564,-40381,11651,6827,2564,-39821,213,-9608,-1183,-4607,0,0,-1229,-18207,0
Zysk (strata) netto (tys. zl),-134057,-22032,-19240,-14758,-147244,-20207,-16355,-119096,-160163,-54118,-17186,-23855,-39167,-23615,-37546,-23041,-72719,-24617,-20608,-18952,-59241,-22466,-16628,-30666,-96806,-57560,-28764,-3048,-268513,-104521,-178591,-40239,6299,2226,2045,-34329,1528,-9558,-3927,-5977,0,0,-1688,-14626,0
Amortyzacja (tys. zl),12,5,5,5,22,11,22,18,91,85,69,42,581,134,127,105,902,890,-568,2249,1160,906,888,856,1565,1077,1048,839,1048,1068,880,871,696,739,731,764,114,578,605,644,0,0,436,828,0
EBITDA (tys. zl),-6487,-6106,-20174,-5976,-9778,-7355,-8570,-1693,-9317,-9511,-8798,-11058,-15203,-26138,-10153,-10233,5484,-14238,-6364,-15441,-50572,-22139,-6525,-14661,-16944,-13390,-13729,-8689,-52898,-29675,-107338,-46900,-3294,-10061,-9936,-14251,4018,-7628,-7679,-5512,0,0,-2991,1823,0
Aktywa (tys. zl),617478,586774,639193,612693,987600,1064279,1038573,785036,1100531,952173,976577,1040327,1334166,1400418,1375789,1297886,1515640,1544723,1642477,1517343,1184959,1156922,1167024,0,997587,1024686,1320611,0,1388314,1261998,1189954,0,1035776,1088078,1053056,0,770170,856088,0,0,66878,65710,0,0,54105
Kapital wlasny (tys. zl),-266171,-292419,-307037,-321873,150502,147051,119085,-101973,406650,261957,272455,271695,658454,666558,651000,591814,763806,812595,855966,796639,522473,528265,560999,0,222618,364202,566568,0,391270,233682,149097,0,360876,376970,334089,0,311683,312328,0,0,20122,30127,0,0,10889
Liczba akcji (tys. szt.),"15121,280","15121,280","15121,280","15121,280","15121,280","15121,280","15121,280","15121,280","15121,280","15121,280","15121,280","15121,280","13230,557","14293,037","15121,280","15121,280","8034,598","8034,598","8034,598","11893,537","3157,354","3768,537","4092,243","5534,603","1345,412","1804,407","1804,407","258,104","396,756","756,776","802,401","1013,588","367,063","367,063","385,217","385,217","330,375","330,375","330,375","367,063","330,375","330,375","330,375","330,375","330,375"
Zysk na akcje (zl),"-8,865","-1,457","-1,272","-0,976","-9,738","-1,336","-1,082","-7,876","-10,592","-3,579","-1,137","-1,578","-2,960","-1,652","-2,483","-1,524","-9,051","-3,064","-2,565","-1,593","-18,763","-5,961","-4,063","-5,541","-71,953","-31,900","-15,941","-11,809","-676,771","-138,114","-222,571","-39,700","17,161","6,064","5,309","-89,116","4,625","-28,931","-11,886","-16,283","0,000","0,000","-5,109","-44,271","0,000"
Wartosc ksiegowa na akcje (zl),"-17,602","-19,338","-20,305","-21,286","9,953","9,725","7,875","-6,744","26,893","17,324","18,018","17,968","49,768","46,635","43,052","39,138","95,065","101,137","106,535","66,981","165,478","140,178","137,088","0,000","165,465","201,840","313,991","0,000","986,173","308,786","185,814","0,000","983,145","1026,990","867,275","0,000","943,422","945,374","0,000","0,000","60,907","91,190","0,000","0,000","32,960"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
