index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004,II Q 2002,I Q 2003,II Q 2003,III Q 2003,II Q 2001,III Q 2001,IV Q 2001,I Q 2002, Q 0000,I Q 2001
Przychody netto ze sprzedaÅ¼y (tys. zl),1285704,215522,242939,237343,373858,96204,93725,89365,386341,396822,380833,371306,379891,354463,341250,380085,480609,362437,328385,361569,409813,402917,396215,445490,358468,305830,314774,359971,384359,294971,263719,316674,409136,375469,341047,375192,361245,364135,348676,361276,281553,253784,257546,297275,165271,230142,217515,268955,159154,173711,145520,149840,880372,125015,115184,153414,765139,776213,597649,559201,165271,491014
Zysk (strata) z dzialal. oper. (tys. zl),123258,2649,13477,7135,36564,8799,9903,7376,39890,30076,40190,36103,24374,14694,21014,33141,44875,16047,19764,14771,23967,21898,23773,45659,2616,-12522,10517,25138,35544,17525,-8021,1022,77108,19092,21717,22532,46654,44511,42502,46874,32211,26312,43237,42922,80624,31266,33176,39094,24962,29380,26697,20903,116218,17365,16118,27688,21756,56581,-27567,19629,17700,13933
Zysk (strata) brutto (tys. zl),113753,5406,-431,4737,32890,8478,9280,6975,32189,25724,36809,32591,9867,7486,13629,27376,28994,2301,2241,3912,8643,3039,-1619,8333,-14520,-16621,-1542,-25250,-47003,-16608,-21848,-18411,61326,5701,2928,7621,42639,40232,36005,33241,34792,25175,44956,43942,81780,34157,34938,39209,25791,31129,26823,23636,99057,17567,17612,27081,-21762,4545,-56162,2655,19023,-34316
Zysk (strata) netto (tys. zl),92303,4276,2834,9436,27353,6952,7520,5362,24938,20320,29603,25980,17804,104261,5859,17483,22945,12661,5205,14145,8290,2087,1627,6550,-4389,-11409,933,-12997,-32464,-13183,-14898,-8028,48206,7872,5815,4032,23923,25443,23260,28349,21528,14218,27881,27475,78920,19064,23913,26570,16857,25059,21282,18802,81603,12194,13472,19297,-16508,-3177,-53531,-635,16013,-32068
Amortyzacja (tys. zl),49301,16695,17312,17210,14413,3570,3448,3580,15394,11803,12191,13628,16930,9237,11208,11110,18958,20108,18828,19209,17339,19286,18718,19373,25609,29851,28042,21012,28195,29515,29299,29328,23447,27551,27364,28001,20166,21600,21307,21397,13307,13661,13362,14465,5969,13194,12983,12735,4268,6169,5273,6313,2562,6619,5912,5509,2562,2562,2562,2562,9071,2562
EBITDA (tys. zl),172559,19344,30789,24345,50977,12369,13351,10956,55284,41879,52381,49731,41304,23931,32222,44251,63833,36155,38592,33980,41306,41184,42491,65032,28225,17329,38559,46150,63739,47040,21278,30350,100555,46643,49081,50533,66820,66111,63809,68271,45518,39973,56599,57387,86593,44460,46159,51829,29230,35549,31970,27216,118780,23984,22030,33197,24318,59143,-25005,22191,26771,16495
Aktywa (tys. zl),1693107,960716,965851,962941,1216993,1216870,1235410,1278634,1118793,1101451,1105931,1127596,1807032,1203211,1215805,1194336,1935970,1929781,1917464,1901725,1852471,1909013,0,0,1872896,2079184,0,0,1840594,1881885,1820083,0,1792558,1817921,1733602,0,1306640,1430948,1665123,0,1015894,1087241,1211006,0,852223,871621,921661,0,349044,403972,691651,0,2098317,343732,321668,335296,2124285,1998869,1957683,1954476,819719,1899364
Kapital wlasny (tys. zl),1190262,277752,262398,271264,756370,796278,820034,840705,652275,672977,702487,728408,527392,649987,654143,673860,495041,508923,503746,516738,432901,442806,0,0,439929,437353,0,0,509492,485014,472281,0,659032,659130,516144,0,599065,625879,591378,0,577675,596086,559670,0,564993,584006,524543,0,279658,325487,284897,0,1120753,281006,241228,260525,453793,450616,1051585,1030233,480379,488830
Liczba akcji (tys. szt.),"49624,000","64701,007","64701,007","64701,007","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","49624,000","54080,000","49624,000","49624,000","49624,000","41280,000","41280,000","41280,000","54080,000","11335,454","41280,000","41280,000","41280,000","7392,686","7392,686","11335,454","11335,454","6203,000","7392,686"
Zysk na akcje (zl),"1,860","0,066","0,044","0,146","0,551","0,140","0,152","0,108","0,503","0,409","0,597","0,524","0,359","2,101","0,118","0,352","0,462","0,255","0,105","0,285","0,167","0,042","0,033","0,132","-0,088","-0,230","0,019","-0,262","-0,654","-0,266","-0,300","-0,162","0,971","0,159","0,117","0,081","0,482","0,513","0,469","0,571","0,434","0,287","0,562","0,554","1,459","0,384","0,482","0,535","0,408","0,607","0,516","0,348","7,199","0,295","0,326","0,467","-2,233","-0,430","-4,722","-0,056","2,581","-4,338"
