index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2002,IV Q 2003,II Q 2004,III Q 2004, Q 0000,IV Q 2001
Przychody netto ze sprzedaÅ¼y (tys. zl),9769000,10980000,6369000,5701000,11487000,12495000,7895000,6305000,9101000,9535000,6846000,6436000,8666000,10255000,6505000,6203000,6972860,8947000,5817000,5300000,6637588,7045008,4478354,4507778,5656422,6632831,4129085,3881657,5519996,6378894,3874694,3421517,5076995,5330438,3929163,3653520,4239413,5048535,3391967,3134637,4015344,5098575,3086194,2773471,3200716,3783788,2394082,2366774,0,0,0,1981755,3200716,0
Zysk (strata) z dzialal. oper. (tys. zl),54000,1721000,73000,519000,759000,1662000,947000,627000,94000,1558000,611000,915000,2519000,1427000,747000,881000,466137,344000,-322000,-1000,1344715,1178947,-106152,333068,1545695,1226889,-25218,340303,-602872,-457206,-222032,508402,-903589,947446,293642,195821,370458,919231,411685,385274,373919,802147,149991,146519,223385,1050108,-133636,107329,0,0,0,325511,223385,0
Zysk (strata) brutto (tys. zl),-17000,1769000,-36000,507000,757000,1590000,961000,480000,8000,1527000,536000,806000,2453000,1280000,661000,804000,400683,373000,-478000,28000,1351527,1242598,-2592,214311,1556688,1236145,-19143,368265,-586940,-433744,-142917,503521,-862196,978355,392422,227967,324538,997575,440738,442637,349430,817010,167001,185145,154547,838502,-115218,132037,0,0,0,270082,379608,0
Zysk (strata) netto (tys. zl),-21000,1386000,-115000,358000,688000,1243000,621000,291000,-161000,1181000,338000,616000,2115000,1073000,352000,654000,433409,332000,-284000,79000,1117816,1023200,-19726,319117,1311484,995568,-3698,344055,-310035,-398844,-94604,417203,-500929,778807,280270,179009,462654,787869,326261,301831,282320,627675,103721,132650,328775,544137,-17917,71209,0,0,0,172304,328775,0
Amortyzacja (tys. zl),717000,672000,665000,619000,600000,664000,723000,686000,710000,623000,675000,604000,562000,549000,613000,591000,404009,455000,549000,503000,413734,389689,387207,393095,386822,365899,379302,365777,367240,369544,392945,346901,352810,350449,370974,336281,355731,328604,373732,375127,295379,318613,330039,326223,396882,387348,388124,331004,0,0,0,375371,1,0
EBITDA (tys. zl),771000,2393000,738000,1138000,1359000,2326000,1670000,1313000,804000,2181000,1286000,1519000,3081000,1976000,1360000,1472000,870146,799000,227000,502000,1758449,1568636,281055,726163,1932517,1592788,354084,706080,-235632,-87662,170913,855303,-550779,1297895,664616,532102,726189,1247835,785417,760401,669298,1120760,480030,472742,620267,1437456,254488,438333,0,0,0,700882,223386,0
Aktywa (tys. zl),49825000,50960000,50197000,48823000,48926000,49509000,48428000,48739000,48384000,46788000,47197000,48642000,47929000,48639000,46931000,46909000,38824000,42291566,42180713,43213648,33642407,34926582,34337952,36939520,31074364,31578734,31984391,0,29745277,30330861,29291341,0,28401901,29042755,29087867,0,30676707,31482004,28935826,0,30363665,31301861,30679257,0,28419518,29206999,28329747,0,17217076,17548642,28310454,0,28419518,17711331
Kapital wlasny (tys. zl),30736000,32098000,31250000,31162000,30164000,31525000,31052000,31011000,28447000,29491000,28874000,29681000,27193000,28406000,27978000,28532000,25211000,24592824,24391355,24341655,23506046,24736942,23882275,24355754,21424851,22373838,22032976,0,20706895,20373148,19743142,0,21013076,21779017,20918683,0,21145689,21986505,21182598,0,20760337,21394657,20404458,0,17740461,18286764,17767292,0,7196090,7727909,17251423,0,17740461,6815581
Liczba akcji (tys. szt.),"5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5900000,000","5000000,000","5000000,000","5000000,000","5000000,000","5000000,000","5000000,000","5000000,000","5000000,000","5000000,000","5000000,000"
Zysk na akcje (zl),"-0,004","0,235","-0,019","0,061","0,117","0,211","0,105","0,049","-0,027","0,200","0,057","0,104","0,358","0,182","0,060","0,111","0,073","0,056","-0,048","0,013","0,189","0,173","-0,003","0,054","0,222","0,169","-0,001","0,058","-0,053","-0,068","-0,016","0,071","-0,085","0,132","0,048","0,030","0,078","0,134","0,055","0,051","0,048","0,106","0,018","0,022","0,066","0,109","-0,004","0,014","0,000","0,000","0,000","0,034","0,066","0,000"
Wartosc ksiegowa na akcje (zl),"5,209","5,440","5,297","5,282","5,113","5,343","5,263","5,256","4,822","4,998","4,894","5,031","4,609","4,815","4,742","4,836","4,273","4,168","4,134","4,126","3,984","4,193","4,048","4,128","3,631","3,792","3,734","0,000","3,510","3,453","3,346","0,000","3,562","3,691","3,546","0,000","3,584","3,727","3,590","0,000","3,519","3,626","3,458","0,000","3,548","3,657","3,553","0,000","1,439","1,546","3,450","0,000","3,548","1,363"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
