index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,I Q 2006,II Q 2006,III Q 2006
Przychody netto ze sprzedaÅ¼y (tys. zl),703543,686530,605060,548540,658785,745548,693098,599500,500140,631533,617158,504967,571899,725439,728379,510401,884038,726310,923367,759640,573499,614511,675131,591881,405432,419808,502541,526788,218538,518034,355351,207791,480644,707049,779201,698833,449421,461394,424391,457800,401460,452230,370446
Zysk (strata) z dzialal. oper. (tys. zl),-248320,84497,7669,-1443,14144,70726,64921,18105,-25450,21660,37173,7819,-1765,39585,31875,5494,69891,61846,37856,29911,29960,76136,59088,52596,-62244,-7776,-23118,5230,-236164,-86732,-121958,-138469,79277,150160,138153,111663,-286274,40679,26160,41481,14558,3875,-12984
Zysk (strata) brutto (tys. zl),-250980,84899,7348,-809,10504,63382,66921,20229,-22753,21218,36858,6028,-728,41334,30150,5866,76057,60932,26569,34938,25233,69380,49386,49974,-51450,-2336,-21803,3474,-370236,-169490,-81734,-105762,92072,155312,147067,109105,-285996,42422,29826,44038,15003,1817,-11596
Zysk (strata) netto (tys. zl),-88109,67521,17217,2364,9122,51941,54680,16111,-14947,16918,30523,6981,566,32154,23419,6842,150129,49548,25434,28627,47403,67407,48041,46323,-99675,-2372,-19690,1491,-313039,-174543,-53628,-95027,100263,130687,122239,88972,-294506,41761,23673,38267,13845,-1359,-13969
Amortyzacja (tys. zl),21352,22121,22072,22576,24812,23742,18221,20965,22261,26315,19588,21986,22089,21732,20927,18748,21214,20748,20046,20213,17969,19464,18904,19003,20995,19496,18571,18314,17640,20731,19264,20507,14622,15309,16571,16573,13734,11244,11379,12827,12529,12697,15503
EBITDA (tys. zl),-226968,106618,29741,21133,38956,94468,83142,39070,-3189,47975,56761,29805,20324,61317,52802,24242,91105,82594,57902,50124,47929,95600,77992,71599,-41249,11720,-4547,23544,-218524,-66001,-102694,-117962,93899,165469,154724,128236,-272540,51923,37539,54308,27087,16572,2519
Aktywa (tys. zl),1889777,2250738,2222028,2303347,2078712,2081676,2043565,2053357,1976955,1986275,1949288,1961955,1570918,1596786,1556650,1818143,1540343,1585470,1566060,1510708,1309284,1317889,1291924,1407886,1257661,1287785,1320662,1253444,1866556,1708893,1462392,1370882,1358986,1563648,1714445,1937482,1212848,1200286,1212345,1264238,0,0,0
Kapital wlasny (tys. zl),1003371,1201436,1222798,1222140,1012426,1059948,1073802,1092427,971830,987355,994171,1001936,977333,1009487,982950,989792,873158,922706,948139,976767,560548,627955,675996,722319,533114,530741,511052,512543,955987,781444,727816,632789,927241,1059179,1180053,1269026,723280,749088,761823,799989,0,0,0
Liczba akcji (tys. szt.),"75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000","75000,000"
Zysk na akcje (zl),"-1,175","0,900","0,230","0,032","0,122","0,693","0,729","0,215","-0,199","0,226","0,407","0,093","0,008","0,429","0,312","0,091","2,002","0,661","0,339","0,382","0,632","0,899","0,641","0,618","-1,329","-0,032","-0,263","0,020","-4,174","-2,327","-0,715","-1,267","1,337","1,742","1,630","1,186","-3,927","0,557","0,316","0,510","0,185","-0,018","-0,186"
Wartosc ksiegowa na akcje (zl),"13,378","16,019","16,304","16,295","13,499","14,133","14,317","14,566","12,958","13,165","13,256","13,359","13,031","13,460","13,106","13,197","11,642","12,303","12,642","13,024","7,474","8,373","9,013","9,631","7,108","7,077","6,814","6,834","12,746","10,419","9,704","8,437","12,363","14,122","15,734","16,920","9,644","9,988","10,158","10,667","0,000","0,000","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
