index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008
Przychody netto ze sprzedaÅ¼y (tys. zl),10777,8675,7848,9528,9486,8788,8767,8819,8397,8860,10832,8506,10225,6897,8619,8867,10498,9740,9353,10094,4489,5700,7986,8151,4159,3356,3803,4231,3186,2541,2759,2932,0,1352,2024,2679
Zysk (strata) z dzialal. oper. (tys. zl),3978,4030,1682,3954,1481,3497,4162,-2413,2252,3977,3490,3664,5795,2088,3550,4395,4004,4779,4641,5432,1377,2408,3421,3632,1728,1444,1470,1640,1279,1093,1208,1244,0,481,965,1273
Zysk (strata) brutto (tys. zl),3167,2416,-177,1768,-380,1680,2202,-4225,169,1817,1190,1911,3565,195,1829,2208,2309,2894,2823,3567,1062,1902,2393,2344,1585,1299,1312,1400,1337,1027,1036,1118,0,408,906,1242
Zysk (strata) netto (tys. zl),1889,1258,465,1106,-828,1063,1516,-3896,-487,1344,576,1275,2578,967,1327,1701,1248,1927,2084,2608,923,1042,2109,1800,1194,1061,1048,1096,1082,859,828,950,0,406,747,1021
Amortyzacja (tys. zl),219,221,244,257,208,216,220,215,238,224,221,218,237,247,251,247,257,240,257,252,161,211,229,253,82,114,135,148,28,39,46,53,0,24,16,15
EBITDA (tys. zl),4197,4251,1926,4211,1689,3713,4382,-2198,2490,4201,3711,3882,6032,2335,3801,4642,4261,5019,4898,5684,1538,2619,3650,3885,1810,1558,1605,1788,1307,1132,1254,1297,0,505,981,1288
Aktywa (tys. zl),186299,192736,208967,227402,175159,172659,182886,178169,188856,195707,186926,175975,158949,158906,178439,187926,143692,137596,146321,160323,74154,103425,118109,0,28928,30703,32185,0,17395,20201,19618,0,5350,13693,13696,0
Kapital wlasny (tys. zl),46670,47928,48967,50074,50578,51640,49504,45598,51560,52945,49815,51767,52068,53035,50352,51904,46281,48209,47202,49809,23823,42526,43291,0,15736,20909,21805,0,11905,12765,13592,0,2456,9662,9802,0
Liczba akcji (tys. szt.),"3680,000","3680,000","3680,000","3680,000","3680,000","3680,000","3680,000","3680,000","3680,000","3680,000","3680,000","3680,000","3680,000","3680,000","3680,000","3680,000","3680,000","3680,000","3680,000","3680,000","2760,000","3680,000","3680,000","3680,000","2400,000","2760,000","2760,000","2760,000","2400,000","2400,000","2400,000","2400,000","2400,000","2400,000","2400,000","2400,000"
Zysk na akcje (zl),"0,513","0,342","0,126","0,301","-0,225","0,289","0,412","-1,059","-0,132","0,365","0,157","0,346","0,701","0,263","0,361","0,462","0,339","0,524","0,566","0,709","0,334","0,283","0,573","0,489","0,498","0,384","0,380","0,397","0,451","0,358","0,345","0,396","0,000","0,169","0,311","0,425"
Wartosc ksiegowa na akcje (zl),"12,682","13,024","13,306","13,607","13,744","14,033","13,452","12,391","14,011","14,387","13,537","14,067","14,149","14,412","13,683","14,104","12,576","13,100","12,827","13,535","8,632","11,556","11,764","0,000","6,557","7,576","7,900","0,000","4,960","5,319","5,663","0,000","1,023","4,026","4,084","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
