index,IV Q 2014,II Q 2015,IV Q 2015,II Q 2016,II Q 2011,II Q 2012,II Q 2013,II Q 2014
Przychody netto ze sprzedaÅ¼y (tys. zl),0,0,0,0,0,0,0,0
Zysk (strata) z dzialal. oper. (tys. zl),0,0,0,0,0,0,0,0
Zysk (strata) brutto (tys. zl),0,0,0,0,0,0,0,0
Zysk (strata) netto (tys. zl),0,0,0,0,0,0,0,0
Amortyzacja (tys. zl),0,0,0,0,0,0,0,0
EBITDA (tys. zl),0,0,0,0,0,0,0,0
Aktywa (tys. zl),12967,10432,18623,18957,19360,24339,13814,22369
Kapital wlasny (tys. zl),11094,9399,17624,17816,19236,24276,13013,21332
Liczba akcji (tys. szt.),"148352,432","148352,432","148352,432","148352,432","148352,432","148352,432","148352,432","148352,432"
Zysk na akcje (zl),"0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"0,075","0,063","0,119","0,120","0,130","0,164","0,088","0,144"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N
