index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,III Q 2009
Przychody netto ze sprzedaÅ¼y (tys. zl),960217,951504,809275,712205,0,1070411,848128,935279,922788,983376,879938,846164,973000,1105107,930215,839760,996206,1115096,1016068,877633,644838,897630,887632,820961,513528,600353,562822,452220,384881
Zysk (strata) z dzialal. oper. (tys. zl),129058,181230,68220,22730,0,188964,103004,76046,20784,111057,79644,965,91331,190054,110489,18631,175745,291974,84047,37222,19579,239531,135701,112282,-23355,42687,39666,-49947,-49063
Zysk (strata) brutto (tys. zl),137604,184845,78430,24489,0,189769,109311,78459,23839,115108,87104,3245,104529,190833,117343,20050,178073,294748,93031,41085,23641,244414,143022,121003,-15359,48355,51085,-46759,-42158
Zysk (strata) netto (tys. zl),116344,161289,66246,15916,0,175008,95006,64553,19367,98125,72771,2328,87415,163232,105169,17605,136556,244664,119926,34336,17108,197827,120156,99489,-14989,38576,41241,-38508,-33009
Amortyzacja (tys. zl),43244,45897,46660,46470,0,38533,41256,42168,36558,37666,38681,-187960,29849,34038,31478,36283,30335,31057,25263,29761,20920,26547,18913,27829,17840,19645,13732,19585,17098
EBITDA (tys. zl),172302,227127,114880,69200,0,227497,144260,118214,57342,148723,118325,-186995,121180,224092,141967,54914,206080,323031,109310,66983,40499,266078,154614,140111,-5515,62332,53398,-30362,-31965
Aktywa (tys. zl),3856346,4075310,3860782,3844962,3543173,3694257,3679454,3743970,3528224,3435585,3420674,3457314,3377661,3274743,3442522,3409212,2828396,3047626,3217652,3254389,2049985,2283001,2498924,2584388,0,0,2054896,1972983,0
Kapital wlasny (tys. zl),3033244,3194533,3060050,3075966,2714110,2889118,2853238,2917791,2495792,2594269,2662002,2664330,2387263,2550596,2656072,2673529,2090403,2335104,2444948,2478691,1612640,1810467,1913397,2023808,0,0,1653155,1614344,0
Liczba akcji (tys. szt.),"19115,000","19115,000","19115,000","19115,000","19115,000","19115,000","19115,000","19115,000","19115,000","19115,000","19115,000","19115,000","19115,000","19115,000","19115,000","19115,000","19115,000","19115,000","19115,000","19115,000","19115,000","19115,000","19115,000","19115,000","19115,000","19115,000","19115,000","19115,000","19115,000"
Zysk na akcje (zl),"6,087","8,438","3,466","0,833","0,000","9,156","4,970","3,377","1,013","5,133","3,807","0,122","4,573","8,539","5,502","0,921","7,144","12,800","6,274","1,796","0,895","10,349","6,286","5,205","-0,784","2,018","2,158","-2,015","-1,727"
Wartosc ksiegowa na akcje (zl),"158,684","167,122","160,086","160,919","141,988","151,144","149,267","152,644","130,567","135,719","139,262","139,384","124,890","133,434","138,952","139,865","109,359","122,161","127,907","129,673","84,365","94,714","100,099","105,875","0,000","0,000","86,485","84,454","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
