index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2006,IV Q 2007
Skladka na udziale wlasnym (tys. zl),4267201,4316926,4668492,4798839,4286373,4307040,4436873,4373757,4008529,3989741,4042858,4110398,4055879,4107727,4069513,4063000,3836039,3868858,3997878,4082625,3631880,3572134,3697565,3784790,3597730,3444564,3558354,3578215,0,3614264,3615074,3658146,0,0
Przychody z lokat (tys. zl),329174,1031328,473350,1246832,465597,1024342,61631,324130,653866,542647,827817,810846,1135334,428867,540230,891592,553755,872798,651106,1045491,591855,474059,605000,-38988,890146,909805,352335,923779,0,416719,1086857,1075279,0,0
Wynik techniczny ubezpieczen majatkowych i osobowych (tys. zl),450316,146906,430305,16930,164095,348504,539374,398191,139563,548791,450215,400602,-617423,640682,606357,577694,340059,286134,496742,417506,294203,450103,371289,443423,-46341,227380,120522,57844,0,1132807,526559,128298,0,0
Zysk (strata) brutto (tys. zl),659539,688221,333069,910045,472347,1154022,464964,660860,663077,979483,1196425,1044963,525814,1054341,1055069,1346607,614637,1028914,1093837,1390143,710040,961856,934732,396350,614660,982148,459293,877950,0,1433347,1437801,1080003,0,0
Zysk (strata) netto (tys. zl),509860,486598,166171,648991,403897,941332,380261,510902,528206,760446,959905,843483,415510,837908,837186,1090196,486927,822291,894642,1122738,565062,791799,762164,304534,562098,807415,362424,704330,0,1144648,1164201,891998,0,0
Aktywa (tys. zl),105429009,108295077,112945227,112913923,67572761,71741982,66079734,67500857,62787304,65044581,63821781,67717196,55909560,58760432,62598497,61863049,52129282,55328867,54267604,56800666,50670557,53640564,57301278,54234820,53176209,52577500,47575661,49240420,59359041,58834318,58950458,61247148,51329198,54682353
Kapital wlasny (tys. zl),12923719,13394529,11771199,12376723,13166336,14083247,11852240,12365623,13111290,13887303,11916799,12778233,14190131,14873401,13208982,12601068,12783162,13702003,12660569,13719534,12799800,13646489,12146354,12334897,11266746,12053128,11338653,12191856,20052222,21018108,22355817,23393206,14325656,17835943
Liczba akcji (tys. zl),"863523,000","863523,000","863523,000","863523,000","863523,000","863523,000","863523,000","863523,000","863523,000","863523,000","863523,000","863523,000","863523,000","863523,000","863523,000","863523,000","863523,000","863523,000","863523,000","863523,000","863523,000","863523,000","863523,000","863523,000","863523,000","863523,000","863523,000","863523,000","863523,000","863523,000","863523,000","863523,000","863523,000","863523,000"
Zysk na akcje (tys. zl),"0,590","0,564","0,192","0,752","0,468","1,090","0,440","0,592","0,612","0,881","1,112","0,977","0,481","0,970","0,970","1,262","0,564","0,952","1,036","1,300","0,654","0,917","0,883","0,353","0,651","0,935","0,420","0,816","0,000","1,326","1,348","1,033","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"14,966","15,511","13,632","14,333","15,247","16,309","13,725","14,320","15,183","16,082","13,800","14,798","16,433","17,224","15,297","14,593","14,803","15,868","14,662","15,888","14,823","15,803","14,066","14,284","13,047","13,958","13,131","14,119","23,221","24,340","25,889","27,090","16,590","20,655"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
