index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,II Q 2008,III Q 2008
Przychody netto ze sprzedaÅ¼y (tys. zl),33611,20753,22277,22529,23022,19500,21536,20930,64770,31588,27256,22066,16412,14192,17872,25259,11495,10305,10852,10661,44570,15024,17473,12666,3818,3924,6887,8824,720,501,770,1273,0,368
Zysk (strata) z dzialal. oper. (tys. zl),14788,6761,6858,7465,8051,6612,7640,7610,28618,11419,9930,8115,5758,4088,5750,8101,3278,3100,3211,3332,11786,4400,5366,4308,0,-16,0,1698,-1083,-838,-721,-520,0,-946
Zysk (strata) brutto (tys. zl),14969,7002,7084,7629,8278,6975,7930,7787,28901,11827,10310,8355,6077,4438,6077,8329,3596,3558,3605,3594,12201,4639,5576,4433,356,75,1222,1805,-921,-738,-601,-416,0,-771
Zysk (strata) netto (tys. zl),12095,5669,5741,6181,6706,5642,6420,6330,23404,9575,8347,6757,4933,3588,4916,6868,2882,2871,2915,2884,10799,4025,4302,3540,377,75,1222,1805,-967,-743,-609,-413,0,-784
Amortyzacja (tys. zl),80,103,72,67,80,96,86,71,80,72,80,84,172,134,132,85,204,208,215,180,0,139,160,194,0,64,61,108,0,0,0,0,0,0
EBITDA (tys. zl),14868,6864,6930,7532,8131,6708,7726,7681,28698,11491,10010,8199,5930,4222,5882,8186,3482,3308,3426,3512,11786,4539,5526,4502,0,48,61,1806,-1083,-838,-721,-520,0,-946
Aktywa (tys. zl),62181,62665,67276,73197,58024,60852,67770,73597,80605,72346,42853,48952,36130,36776,31155,39333,34449,35714,25286,27218,29867,29265,27119,29745,10439,11184,12581,14365,10657,9705,9062,8733,12070,11454
Kapital wlasny (tys. zl),47891,53560,59301,65481,48079,53721,60142,66472,54409,63984,34617,41375,28422,32010,24137,31004,29028,31899,20605,23489,19249,23274,22603,26144,8593,8667,9734,11539,9983,9240,8631,8217,3894,10949
Liczba akcji (tys. szt.),"63391,573","63391,573","63391,573","63391,573","66617,246","66617,246","66617,246","66617,246","71047,246","71047,246","71047,246","66617,246","71047,246","71047,246","71047,246","71047,246","71047,246","71047,246","71047,246","71047,246","71047,246","71047,246","71047,246","71047,246","70000,000","70000,000","70000,000","71047,246","70000,000","70000,000","70000,000","70000,000","70000,000","70000,000"
Zysk na akcje (zl),"0,191","0,089","0,091","0,098","0,101","0,085","0,096","0,095","0,329","0,135","0,117","0,101","0,069","0,051","0,069","0,097","0,041","0,040","0,041","0,041","0,152","0,057","0,061","0,050","0,005","0,001","0,017","0,025","-0,014","-0,011","-0,009","-0,006","0,000","-0,011"
Wartosc ksiegowa na akcje (zl),"0,755","0,845","0,935","1,033","0,722","0,806","0,903","0,998","0,766","0,901","0,487","0,621","0,400","0,451","0,340","0,436","0,409","0,449","0,290","0,331","0,271","0,328","0,318","0,368","0,123","0,124","0,139","0,162","0,143","0,132","0,123","0,117","0,056","0,156"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
