index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007
Przychody netto ze sprzedaÅ¼y (tys. zl),160322,187884,267185,546448,152607,173504,251692,531560,120989,130935,225514,447408,85297,95454,180354,379852,72854,77643,142118,302473,52001,53529,97467,215113,45324,43278,65257,158116,46382,44888,55443,139724,28734,34985,55126,133379,11790,15402,33831,83600
Zysk (strata) z dzialal. oper. (tys. zl),220,3146,2716,31474,-4147,1426,7466,33417,-3237,2215,7497,33347,-3325,855,5045,13340,-4109,-3583,5805,5054,-4829,684,3410,3751,-5217,651,1889,7410,-14809,-1794,3107,2893,-2194,1063,1086,2998,2904,384,539,4115
Zysk (strata) brutto (tys. zl),556,3082,2461,31120,-4160,1355,7175,33213,-2474,2114,7565,33871,-3087,706,4859,13402,-4112,-3690,5817,4893,-4346,666,3739,3393,-6587,648,1875,7542,-13927,-1812,2987,2778,-1454,1172,1275,3132,2928,418,583,4043
Zysk (strata) netto (tys. zl),312,2486,1952,25336,-3125,1016,5816,27145,-2909,1636,6377,27363,-2717,387,4163,10936,-3457,-3683,4730,4488,-3501,376,2625,2839,-1720,372,1438,5985,-12746,-1815,2467,2210,-1445,1066,1103,1955,2408,317,419,3064
Amortyzacja (tys. zl),678,480,662,497,310,322,384,416,294,287,295,304,161,276,283,281,77,378,189,595,157,296,281,278,104,193,129,257,190,151,139,149,140,138,145,137,0,86,105,123
EBITDA (tys. zl),898,3626,3378,31971,-3837,1748,7850,33833,-2943,2502,7792,33651,-3164,1131,5328,13621,-4032,-3205,5994,5649,-4672,980,3691,4029,-5113,844,2018,7667,-14619,-1643,3246,3042,-2054,1201,1231,3135,2904,470,644,4238
Aktywa (tys. zl),245634,232512,314108,234543,213359,209574,292777,229671,154261,170191,264829,220595,103372,124777,195564,145763,93069,114155,0,109936,87449,100773,131111,0,56881,67875,91950,0,58588,58207,81605,0,46022,49338,80461,0,14518,0,0,0
Kapital wlasny (tys. zl),100611,96966,71428,92213,78540,78525,54842,81209,49031,51214,53313,80493,35749,36271,41412,50741,37607,33924,0,43142,36094,36348,39025,0,17054,17426,18551,0,17438,16329,18273,0,24635,25809,26972,0,5564,0,0,0
Liczba akcji (tys. szt.),"14552,000","14552,000","14552,000","14552,000","14552,000","14552,000","14552,000","14552,000","14552,000","14552,000","14552,000","14552,000","14552,000","14552,000","14552,000","14552,000","14552,000","14552,000","14552,000","14552,000","12052,000","14552,000","14552,000","14552,000","12052,000","12052,000","12052,000","12052,000","12000,000","12052,000","12052,000","12052,000","12000,000","12000,000","12000,000","12000,000","10000,000","10000,000","10000,000","10000,000"
Zysk na akcje (zl),"0,021","0,171","0,134","1,741","-0,215","0,070","0,400","1,865","-0,200","0,112","0,438","1,880","-0,187","0,027","0,286","0,752","-0,238","-0,253","0,325","0,308","-0,290","0,026","0,180","0,195","-0,143","0,031","0,119","0,497","-1,062","-0,151","0,205","0,183","-0,120","0,089","0,092","0,163","0,241","0,032","0,042","0,306"
Wartosc ksiegowa na akcje (zl),"6,914","6,663","4,908","6,337","5,397","5,396","3,769","5,581","3,369","3,519","3,664","5,531","2,457","2,493","2,846","3,487","2,584","2,331","0,000","2,965","2,995","2,498","2,682","0,000","1,415","1,446","1,539","0,000","1,453","1,355","1,516","0,000","2,053","2,151","2,248","0,000","0,556","0,000","0,000","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
