index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,I Q 2004,II Q 2004,III Q 2004,III Q 2004, Q 0000,IV Q 2001,IV Q 2002,IV Q 2003, Q 0000, Q 0000
Przychody netto ze sprzedaÅ¼y (tys. zl),149140,175540,191453,184791,138419,162233,178366,182976,140151,156569,174140,170351,131278,135605,168845,175115,148819,162120,171526,173021,131313,150572,175880,186894,118474,117480,150776,160062,139156,125699,140278,145264,134549,155329,163175,173059,119407,115514,123786,167685,72602,82381,107606,117481,39252,41135,57059,70522,30344,43495,45937,45774,45774,0,0,0,0,39395
Zysk (strata) z dzialal. oper. (tys. zl),1800,16435,18435,17160,-130,6316,13925,17513,1220,6709,5635,12605,-4475,3349,11522,13954,4268,11097,12609,10334,209,8310,15981,21702,-9113,-1255,8200,11063,2088,4619,4376,11166,-8528,13738,3795,13352,11523,14787,17744,14061,10617,7403,15132,16542,5371,3439,8190,12029,3659,10117,8098,11063,11063,0,0,0,0,4520
Zysk (strata) brutto (tys. zl),-678,13326,15773,14822,-327,4087,11595,14084,-2336,4118,1608,9488,-7660,316,6746,11168,-2379,10400,7534,6050,-3866,3995,11486,17898,-9871,-4508,6553,4937,-11898,1869,874,3138,-22860,5711,-5702,8485,10409,12583,13826,12243,9429,6830,15059,16456,3709,4064,8335,12380,3069,9807,7525,10490,10490,0,0,0,0,2759
Zysk (strata) netto (tys. zl),-1079,9980,11941,10714,6649,2574,8815,10556,-2818,1576,-1096,6856,-6280,-608,4592,8217,44307,7691,5068,3824,-3450,2458,8522,12429,-8972,-5254,3475,2840,-12432,-202,71,217,-20632,3357,-8427,4345,8428,10558,9630,7542,5307,5040,12883,13491,3250,3471,7415,11426,2974,7406,4984,7949,7949,0,0,0,0,1974
Amortyzacja (tys. zl),6437,6146,6448,6593,6419,6304,6326,6410,6411,6246,6302,6466,6578,6371,6294,6466,7189,7100,6714,6573,6010,7877,7479,7389,5650,6231,6212,6203,6854,6263,6427,5953,5896,5811,5405,6515,4266,3348,3679,5621,3390,3964,3895,3235,861,2746,2534,2933,789,1092,1489,1489,141,0,0,0,735,141
EBITDA (tys. zl),8237,22581,24883,23753,6289,12620,20251,23923,7631,12955,11937,19071,2103,9720,17816,20420,11457,18197,19323,16907,6219,16187,23460,29091,-3463,4976,14412,17266,8942,10882,10803,17119,-2632,19549,9200,19867,15789,18135,21423,19682,14007,11367,19027,19777,6232,6185,10724,14962,4448,11209,9587,12552,11204,0,0,0,735,4661
Aktywa (tys. zl),794299,835498,871060,846944,787309,802903,819711,819917,750583,771026,807705,795440,727005,754014,784023,789698,750678,749109,792483,787643,649180,656581,680086,0,654229,655179,702178,0,755047,762659,725948,0,716749,746245,744006,0,452520,524070,716147,0,347081,376936,416079,0,222726,226292,230469,0,85829,118685,0,134627,134627,69006,95878,84090,0,218621
Kapital wlasny (tys. zl),368853,375723,380382,385628,354924,357525,358439,368571,347614,348950,337950,346331,337137,337614,346679,351600,353056,352787,351484,351480,270204,274247,281857,0,275961,264031,277247,0,300236,313908,306621,0,295522,299272,290012,0,206361,307392,307432,0,174651,179422,194958,0,148214,153478,159744,0,41700,54875,0,62243,62243,13296,21820,39256,0,139942
Liczba akcji (tys. szt.),"32560,000","32560,000","32560,000","32560,000","32560,000","32560,000","32560,000","32560,000","32560,000","32560,000","32560,000","32560,000","32560,000","32560,000","32560,000","32560,000","32560,000","32560,000","32560,000","32560,000","32560,000","32560,000","32560,000","32560,000","32560,000","32560,000","32560,000","32560,000","32560,000","32560,000","32560,000","32560,000","32289,300","32560,000","32560,000","32560,000","30520,600","32020,600","32020,600","32020,600","30335,200","30335,200","30335,200","30335,200","30000,000","30000,000","30000,000","30000,000","23000,000","23000,000","23000,000","23000,000","23000,000","23000,000","23000,000","23000,000","0,000","30000,000"
Zysk na akcje (zl),"-0,033","0,307","0,367","0,329","0,204","0,079","0,271","0,324","-0,087","0,048","-0,034","0,211","-0,193","-0,019","0,141","0,252","1,361","0,236","0,156","0,117","-0,106","0,075","0,262","0,382","-0,276","-0,161","0,107","0,087","-0,382","-0,006","0,002","0,007","-0,639","0,103","-0,259","0,133","0,276","0,330","0,301","0,236","0,175","0,166","0,425","0,445","0,108","0,116","0,247","0,381","0,129","0,322","0,217","0,346","0,346","0,000","0,000","0,000",,"0,066"
