index,IV Q 1998,II Q 1999,IV Q 1999,II Q 2000,II Q 1998
Przychody netto ze sprzedaÅ¼y (tys. zl),0,0,0,0,0
Zysk (strata) z dzialal. oper. (tys. zl),0,0,0,0,0
Zysk (strata) brutto (tys. zl),0,0,0,0,0
Zysk (strata) netto (tys. zl),0,0,0,0,0
Amortyzacja (tys. zl),0,0,0,0,0
EBITDA (tys. zl),0,0,0,0,0
Aktywa (tys. zl),39463,43067,42659,44857,49517
Kapital wlasny (tys. zl),27233,24671,25929,27574,26185
Liczba akcji (tys. szt.),"3000,000","3000,000","3000,000","3000,000","3000,000"
Zysk na akcje (zl),"0,000","0,000","0,000","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"9,078","8,224","8,643","9,191","8,728"
Raport zbadany przez audytora,N,N,N,N,N
