index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2007,IV Q 2008,II Q 2009,III Q 2009
Przychody netto ze sprzedaÅ¼y (tys. zl),145512,122569,74860,104195,125065,75720,64868,194275,118767,137718,102917,43625,83928,159134,119261,90921,72569,85621,122009,111333,93026,34827,27794,25280,21323,75278,65790,50695,0,0,27687,21583
Zysk (strata) z dzialal. oper. (tys. zl),21735,19827,22292,23244,31841,13016,3309,20986,16614,13849,9058,5712,-7241,23281,11356,9398,2716,14376,23308,24628,13241,2129,4174,1671,19,13187,12435,8014,0,0,4149,609
Zysk (strata) brutto (tys. zl),19451,16912,19006,21350,30105,10100,1270,18757,14387,11117,6462,4358,-9664,19584,9047,6417,-3909,11625,20383,21359,13121,1803,4245,-777,1011,14952,11725,7750,0,0,1917,3618
Zysk (strata) netto (tys. zl),18842,14829,22129,19865,21611,16650,1195,43057,8566,8119,11653,2701,-13875,9362,3321,4847,22255,7252,10564,16092,9526,944,268,-1148,-132,9095,8451,4623,0,0,1116,2180
Amortyzacja (tys. zl),463,671,517,581,366,369,495,433,307,338,337,327,437,275,251,252,223,243,286,258,249,186,214,266,206,203,198,42,0,0,174,182
EBITDA (tys. zl),22198,20498,22809,23825,32207,13385,3804,21419,16921,14187,9395,6039,-6804,23556,11607,9650,2939,14619,23594,24886,13490,2315,4388,1937,225,13390,12633,8056,0,0,4323,791
Aktywa (tys. zl),1478617,1502378,1547237,1732302,1141208,1225387,1260280,1415712,1080422,1029236,1019626,1111019,1210835,1189521,1199698,1191123,1216465,1206856,0,1208908,1046466,1098067,1153817,1204425,1054566,0,935026,0,210028,1016629,0,0
Kapital wlasny (tys. zl),497033,511595,480999,501381,446574,462412,436144,477928,418529,427723,418409,422233,411213,420851,403716,410833,414821,422667,0,423761,407069,408281,391208,391160,257390,0,314936,0,43738,251114,0,0
Liczba akcji (tys. szt.),"263092,000","263092,000","263092,000","263092,000","262092,000","263092,000","263092,000","263092,000","260521,999","262092,000","262092,000","262092,000","257935,500","258481,000","258481,000","260521,999","257390,000","257390,000","257935,500","257935,500","257390,000","257390,000","257390,000","257390,000","198390,000","198390,000","198390,000","198390,000","198390,000","198390,000","198390,000","198390,000"
Zysk na akcje (zl),"0,072","0,056","0,084","0,076","0,082","0,063","0,005","0,164","0,033","0,031","0,044","0,010","-0,054","0,036","0,013","0,019","0,086","0,028","0,041","0,062","0,037","0,004","0,001","-0,004","-0,001","0,046","0,043","0,023","0,000","0,000","0,006","0,011"
Wartosc ksiegowa na akcje (zl),"1,889","1,945","1,828","1,906","1,704","1,758","1,658","1,817","1,607","1,632","1,596","1,611","1,594","1,628","1,562","1,577","1,612","1,642","0,000","1,643","1,582","1,586","1,520","1,520","1,297","0,000","1,587","0,000","0,220","1,266","0,000","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
