index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,II Q 2006
Przychody netto ze sprzedaÅ¼y (tys. euro),118775,41862,69366,91337,10661,40396,53818,68383,39060,65915,47079,29500,125320,54147,56534,57284,35412,7266,34603,31570,68318,34129,5805,21328,38358,23895,25650,123402,13573,15156,26914,35881,88819,12688,10240,40846,15501,9963,2704,28102,0,0
Zysk (strata) z dzialal. oper. (tys. euro),20006,-3960,8307,14020,-17879,-2354,7659,1111,772,5609,1353,-4897,29449,8879,4989,4096,4375,-2919,2085,-2336,7624,1645,-3869,-1327,11718,1436,1189,22873,223,3317,4822,7990,40630,2043,1208,14849,17559,1580,-2021,10543,0,0
Zysk (strata) brutto (tys. euro),18134,-5532,6730,12105,-18814,-3456,6147,-495,1170,5205,775,-5850,29500,8687,3853,4056,5563,-1932,2835,-2132,8326,2192,-2404,80,10903,1675,1577,23527,594,3323,4398,7364,40894,2251,1400,15276,17549,1684,-2127,10446,0,0
Zysk (strata) netto (tys. euro),17285,-4242,4965,10102,-15773,-2744,5184,-375,1109,4166,47,-3871,31356,8990,3989,4560,5911,-1084,2993,-1610,9745,2787,-2224,352,8723,1333,1261,22752,590,2558,3557,6196,33067,1545,942,12064,15002,1270,-1496,6466,0,0
Amortyzacja (tys. euro),180,178,256,240,175,173,174,179,134,152,149,162,178,158,193,142,189,197,188,182,107,107,150,176,1,103,96,146,128,123,125,130,0,0,0,0,0,0,0,0,0,0
EBITDA (tys. euro),20186,-3782,8563,14260,-17704,-2181,7833,1290,906,5761,1502,-4735,29627,9037,5182,4238,4564,-2722,2273,-2154,7731,1752,-3719,-1151,11719,1539,1285,23019,351,3440,4947,8120,40630,2043,1208,14849,17559,1580,-2021,10543,0,0
Aktywa (tys. euro),874844,875068,895081,884785,841477,854731,919324,908111,745036,747827,783292,792721,786519,765117,783228,765462,765961,798346,814697,0,675030,649235,0,0,743391,731340,730415,0,657021,670787,0,0,598524,606345,613897,0,305531,337534,352034,0,117882,191012
Kapital wlasny (tys. euro),457698,453456,458421,446734,449242,446498,451682,451307,464673,468839,468886,465015,455858,464961,460897,465521,424203,423119,426112,0,417377,420164,0,0,382218,383568,384840,0,289483,292061,0,0,271973,274822,276563,0,106036,107306,92050,0,4806,15742
Liczba akcji (tys. szt.),"226966,667","226966,667","226966,667","226966,667","226966,667","226966,667","226966,667","226966,667","226966,667","226966,667","226966,667","226966,667","226966,667","226966,667","226966,667","226966,667","226966,667","226966,667","226966,667","226966,667","226966,667","226966,667","226966,667","226966,667","226966,667","226966,667","226966,667","226966,667","226966,667","226966,667","226966,667","226966,667","226666,667","226666,667","226966,667","226966,667","200000,000","200000,000","200000,000","200000,000","200000,000","200000,000"
Zysk na akcje (euro),"0,076","-0,019","0,022","0,045","-0,069","-0,012","0,023","-0,002","0,005","0,018","0,000","-0,017","0,138","0,040","0,018","0,020","0,026","-0,005","0,013","-0,007","0,043","0,012","-0,010","0,002","0,038","0,006","0,006","0,100","0,003","0,011","0,016","0,027","0,146","0,007","0,004","0,053","0,075","0,006","-0,007","0,032","0,000","0,000"
Wartosc ksiegowa na akcje (euro),"2,017","1,998","2,020","1,968","1,979","1,967","1,990","1,988","2,047","2,066","2,066","2,049","2,008","2,049","2,031","2,051","1,869","1,864","1,877","0,000","1,839","1,851","0,000","0,000","1,684","1,690","1,696","0,000","1,275","1,287","0,000","0,000","1,200","1,212","1,219","0,000","0,530","0,537","0,460","0,000","0,024","0,079"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
