index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,II Q 2010,III Q 2010
Przychody netto ze sprzedaÅ¼y (tys. zl),4535,284,1320,1377,507,179,844,181,918,1350,2459,709,526,320,1599,610,1477,969,1350,699,4171,7847,1273,2202,0,4649
Zysk (strata) z dzialal. oper. (tys. zl),-1728,-449,-123,358,-4798,-742,-869,-925,-1186,-140,435,-164,-6324,-1576,-663,-939,-2862,-2979,-3893,-3380,-715,2036,-4189,-2384,0,1262
Zysk (strata) brutto (tys. zl),-1489,-630,826,333,-5900,-2398,-4728,-889,-1535,-11627,601,-6022,-18135,-14078,-2616,-10163,-6225,8287,3167,-8722,3514,809,-8597,-15024,0,8661
Zysk (strata) netto (tys. zl),-1306,-630,492,333,-5157,-2398,-4480,-889,-1627,-11627,517,-6022,-18219,-13626,-3076,-10163,-5900,8072,3178,-8853,3531,285,-8233,-15082,0,8197
Amortyzacja (tys. zl),1,4,6,7,1,1,2,6,57,5,2,2,68,53,52,43,67,68,67,67,44,53,73,67,0,19
EBITDA (tys. zl),-1727,-445,-117,365,-4797,-741,-867,-919,-1129,-135,437,-162,-6256,-1523,-611,-896,-2795,-2911,-3826,-3313,-671,2089,-4116,-2317,0,1281
Aktywa (tys. zl),30856,33810,31073,31451,54203,51122,44541,32409,78702,71465,65342,59360,134506,90448,94204,81412,138371,154104,156013,0,130715,0,166660,0,99219,0
Kapital wlasny (tys. zl),16647,16017,13311,13169,25719,23321,18841,17954,48006,36381,36897,30876,66346,52720,59798,49633,73752,81872,84482,0,90512,0,83242,0,78784,0
Liczba akcji (tys. szt.),"3820,500","3820,500","3820,500","3820,500","3820,500","3820,500","3820,500","3820,500","3820,170","3820,500","3820,500","3820,500","1846,837","1846,837","3820,170","3820,170","1330,170","1330,170","1330,170","1330,170","1330,170","1330,170","1330,170","1330,170","1330,170","1330,170"
Zysk na akcje (zl),"-0,342","-0,165","0,129","0,087","-1,350","-0,628","-1,173","-0,233","-0,426","-3,043","0,135","-1,576","-9,865","-7,378","-0,805","-2,660","-4,436","6,068","2,389","-6,656","2,655","0,214","-6,189","-11,338","0,000","6,162"
Wartosc ksiegowa na akcje (zl),"4,357","4,192","3,484","3,447","6,732","6,104","4,932","4,699","12,566","9,523","9,658","8,082","35,924","28,546","15,653","12,992","55,446","61,550","63,512","0,000","68,045","0,000","62,580","0,000","59,229","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
