index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,II Q 2010,III Q 2010
Przychody netto ze sprzedaÅ¼y (tys. zl),10731,7655,10848,10231,7085,7424,11867,8238,4548,6170,5764,6021,3583,3175,3605,3215,2370,1657,1573,1917,1199,1591,1763,1792,1036,1088
Zysk (strata) z dzialal. oper. (tys. zl),1844,784,2314,879,275,946,2358,1165,-199,1211,328,766,405,239,282,153,0,0,0,172,0,0,0,0,0,0
Zysk (strata) brutto (tys. zl),1505,759,2227,884,208,775,2005,994,87,1213,290,675,368,179,283,153,211,32,153,175,65,424,425,155,25,120
Zysk (strata) netto (tys. zl),1002,521,1554,513,-9,517,1514,781,-48,822,84,392,273,140,218,146,170,22,150,90,27,325,344,107,4,89
Amortyzacja (tys. zl),184,204,176,208,115,107,115,139,96,102,91,98,76,97,85,83,74,78,70,75,17,20,69,78,2,5
EBITDA (tys. zl),2028,988,2490,1087,390,1053,2473,1304,-103,1313,419,864,481,336,367,236,74,78,70,247,17,20,69,78,2,5
Aktywa (tys. zl),25423,24547,26639,27123,19784,19444,12451,22171,6760,7687,7894,18399,5058,4969,0,5211,3972,3140,3226,4135,1247,2607,2757,3026,1011,1065
Kapital wlasny (tys. zl),18388,18601,19967,20448,14298,14891,7186,17267,3751,4655,4553,14042,3191,3496,0,3732,2698,2720,2870,2918,868,1193,2419,2526,785,874
Liczba akcji (tys. szt.),"2215,500","2247,241","2247,241","2291,551","2215,500","2215,500","2215,500","2215,500","2215,500","2215,500","2215,500","2215,500","2215,500","2215,500","2215,500","2215,500","2215,500","2215,500","2215,500","2215,500","2000,000","2000,000","2215,500","2215,500","2000,000","2000,000"
Zysk na akcje (zl),"0,452","0,232","0,692","0,224","-0,004","0,233","0,683","0,353","-0,022","0,371","0,038","0,177","0,123","0,063","0,098","0,066","0,077","0,010","0,068","0,041","0,014","0,163","0,155","0,048","0,002","0,045"
Wartosc ksiegowa na akcje (zl),"8,300","8,277","8,885","8,923","6,454","6,721","3,243","7,794","1,693","2,101","2,055","6,338","1,440","1,578","0,000","1,684","1,218","1,228","1,295","1,317","0,434","0,597","1,092","1,140","0,393","0,437"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
