index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006
Przychody netto ze sprzedaÅ¼y (tys. zl),4232,3400,3604,3250,-52506,7203,6007,5543,33919,27914,33576,30081,21971,21162,21502,35653,11510,17539,19924,20686,3641,3849,4177,8801,0,0,1000,2828,10,18,0,0,0,125,81,57,0
Zysk (strata) z dzialal. oper. (tys. zl),-3287,-1351,-1965,-4011,-37975,364,-1007,-1436,14972,11590,16104,12228,11634,7917,8410,20162,4757,7027,8244,5656,-2409,-191,-1406,1332,-759,-1541,-2495,-2331,-1172,-1075,-715,-2176,0,-505,-306,-416,0
Zysk (strata) brutto (tys. zl),-14427,-3134,-3138,-5020,-83298,-2811,-801,-47882,-72269,4528,12584,10530,4865,5692,5421,17012,-7650,4944,3809,-80945,-3259,-1610,-3328,-1106,-5566,-4328,-7479,-3448,-6073,-914,-912,-4804,0,-319,-429,170,0
Zysk (strata) netto (tys. zl),-14604,-35515,-3994,-4971,-41295,-4268,49,-30281,-79740,1657,5344,3793,-917,2082,829,8147,-11282,117,-880,-85089,-3306,-2430,-3831,-3332,-6496,-4135,-7587,-3593,-6082,-914,-912,-3874,0,-319,-215,170,0
Amortyzacja (tys. zl),4943,1901,1386,1185,5455,4820,4408,4576,8944,8297,7854,8141,5768,5087,5064,8687,3908,5317,5790,8963,452,1414,1371,898,42,34,686,1570,17,15,11,49,0,14,15,8,0
EBITDA (tys. zl),1656,550,-579,-2826,-32520,5184,3401,3140,23916,19887,23958,20369,17402,13004,13474,28849,8665,12344,14034,14619,-1957,1223,-35,2230,-717,-1507,-1809,-761,-1155,-1060,-704,-2127,0,-491,-291,-408,0
Aktywa (tys. zl),185187,136486,128473,124000,259467,255023,242637,192212,312473,290822,297341,307062,187709,182466,370168,390322,220275,232836,255113,0,197325,197670,0,0,85236,93949,201263,0,22371,20597,22136,0,26546,0,0,0,16868
Kapital wlasny (tys. zl),29979,27057,23070,18120,86748,75509,77691,47299,138175,127689,132322,132263,92054,94363,208290,216693,150874,152275,151703,0,157726,156417,0,0,62886,62830,157312,0,20416,19736,18874,0,23188,0,0,0,15966
Liczba akcji (tys. szt.),"78629,941","78629,941","78629,941","78629,941","78629,941","78629,941","78629,941","78629,941","78611,437","78629,941","78629,941","78629,941","481756,729","481756,729","78611,437","78611,437","420804,367","420804,367","421257,700","481756,729","401503,330","402303,330","402303,330","420804,367","200491,549","200491,549","391885,549","401503,330","200491,549","200491,549","200491,549","200491,549","200491,549","200491,549","200491,549","200491,549","200491,549"
Zysk na akcje (zl),"-0,186","-0,452","-0,051","-0,063","-0,525","-0,054","0,001","-0,385","-1,014","0,021","0,068","0,048","-0,002","0,004","0,011","0,104","-0,027","0,000","-0,002","-0,177","-0,008","-0,006","-0,010","-0,008","-0,032","-0,021","-0,019","-0,009","-0,030","-0,005","-0,005","-0,019","0,000","-0,002","-0,001","0,001","0,000"
Wartosc ksiegowa na akcje (zl),"0,381","0,344","0,293","0,230","1,103","0,960","0,988","0,602","1,758","1,624","1,683","1,682","0,191","0,196","2,650","2,757","0,359","0,362","0,360","0,000","0,393","0,389","0,000","0,000","0,314","0,313","0,401","0,000","0,102","0,098","0,094","0,000","0,116","0,000","0,000","0,000","0,080"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
