index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,I Q 2014,II Q 2014,II Q 2014,III Q 2014,I Q 2013,II Q 2013,III Q 2013,IV Q 2013,I Q 2012,II Q 2012,III Q 2012,IV Q 2012,I Q 2011,II Q 2011,III Q 2011,IV Q 2011,I Q 2010,II Q 2010,III Q 2010,IV Q 2010,I Q 2009,II Q 2009,III Q 2009,IV Q 2009,I Q 2008,II Q 2008,III Q 2008,IV Q 2008,IV Q 2006,II Q 2007,IV Q 2007
Przychody netto ze sprzedaÅ¼y (tys. zl),6320,4488,3277,6304,17181,0,58179,13753,0,0,0,171698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19683,0,0,10169
Zysk (strata) z dzialal. oper. (tys. zl),3123,-890,-913,-658,-4565,-1519,10562,183,906,-7819,-16643,-28745,1587,-2499,-4077,-1066,-9992,-7208,-4662,-18727,3419,11313,7863,-64842,4295,-3568,5960,-38036,-1427,26799,3760,13944,-833,-6348,-94466,-89289,-1169,-2049,117908
Zysk (strata) brutto (tys. zl),2591,15361,-1646,-3450,-10486,841,10617,2953,367,-2618,-31308,-47669,3030,-16282,-2767,-4604,-18892,-9956,-6829,-29693,-270,6721,1839,724,10616,-8332,5455,29131,-2376,22684,-165,19541,-7864,-20060,-95045,-96179,63300,78013,14901
Zysk (strata) netto (tys. zl),3460,15165,795,-3680,-9458,568,11608,3874,698,-2462,-21753,-48366,5637,-15149,691,-2655,-14334,-8628,-6629,-29606,1429,3742,2029,-4445,9345,26099,3170,11595,-2617,22110,-2341,19601,-7992,-20147,-95106,-92458,61967,78013,15012
Amortyzacja (tys. zl),189,115,114,112,525,440,623,169,2386,78,9960,701,1915,1568,1916,2097,1832,1891,1530,1636,1814,1806,2097,1911,1532,1364,1671,1878,1252,2074,2299,3227,779,1009,905,1997,0,0,442
EBITDA (tys. zl),3312,-775,-799,-546,-4040,-1079,11185,352,3292,-7741,-6683,-28044,3502,-931,-2161,1031,-8160,-5317,-3132,-17091,5233,13119,9960,-62931,5827,-2204,7631,-36158,-175,28873,6059,17171,-54,-5339,-93561,-87292,-1169,-2049,118350
Aktywa (tys. zl),465646,474029,499681,523542,532474,531364,468066,458857,714743,585402,585402,552686,689108,675122,729082,732290,723166,699363,695761,737553,667096,656828,0,681500,555913,579565,0,652358,634397,0,0,638485,0,0,0,632682,0,0,267344
Kapital wlasny (tys. zl),317606,335612,340357,336690,306338,306906,318219,317088,375648,363691,363691,315796,397119,380864,377073,374892,420286,415461,407576,390866,429504,433223,0,428022,338285,408070,0,428075,125560,0,0,328940,0,0,0,128177,0,0,249709
Liczba akcji (tys. szt.),"111333,650","111333,650","111333,650","111333,650","120328,705","120328,705","120328,705","120328,705","120328,705","120328,705","120328,705","120328,705","120328,705","120328,705","120328,705","120328,705","120328,705","120328,705","120328,705","120328,705","120328,705","120328,705","120328,705","120328,705","120328,705","120328,705","120328,705","120328,705","80737,307","79151,281","79151,281","120328,705","47433,064","47433,064","78084,812","80737,307","47433,064","47433,064","47433,064"
Zysk na akcje (zl),"0,031","0,136","0,007","-0,033","-0,079","0,005","0,096","0,032","0,006","-0,020","-0,181","-0,402","0,047","-0,126","0,006","-0,022","-0,119","-0,072","-0,055","-0,246","0,012","0,031","0,017","-0,037","0,078","0,217","0,026","0,096","-0,032","0,279","-0,030","0,163","-0,168","-0,425","-1,218","-1,145","1,306","1,645","0,316"
Wartosc ksiegowa na akcje (zl),"2,853","3,014","3,057","3,024","2,546","2,551","2,645","2,635","3,122","3,022","3,022","2,624","3,300","3,165","3,134","3,116","3,493","3,453","3,387","3,248","3,569","3,600","0,000","3,557","2,811","3,391","0,000","3,558","1,555","0,000","0,000","2,734","0,000","0,000","0,000","1,588","0,000","0,000","5,264"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
