index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2008,IV Q 2009
Przychody netto ze sprzedaÅ¼y (tys. zl),35652,31177,37478,33306,35235,34465,34318,35852,38423,34879,34116,38013,36021,35101,34997,39655,59768,39575,32693,36504,59798,37535,46587,47022,0,0
Zysk (strata) z dzialal. oper. (tys. zl),-583,-2742,1162,-1442,2543,-2570,-520,-1152,2518,454,1529,2259,-578,-2498,2076,1570,25973,9459,6562,3230,22320,7848,16253,15909,0,0
Zysk (strata) brutto (tys. zl),-570,-2789,1169,-1392,2594,-2549,-520,-1145,2588,592,1606,2262,-479,-2374,2147,1739,26077,9588,6598,3307,23499,7313,15763,15685,0,0
Zysk (strata) netto (tys. zl),-647,-2288,890,-1132,1843,-2015,-480,-945,2070,370,1214,1774,-466,-2023,1662,1306,21267,7706,5250,2608,18785,5811,12701,12577,0,0
Amortyzacja (tys. zl),931,941,959,915,1014,1007,999,948,1056,1082,1040,1003,1165,1125,1121,1082,1265,0,0,1127,1159,1217,1179,1181,0,0
EBITDA (tys. zl),348,-1801,2121,-527,3557,-1563,479,-204,3574,1536,2569,3262,587,-1373,3197,2652,27238,9459,6562,4357,23479,9065,17432,17090,0,0
Aktywa (tys. zl),150814,148623,150059,146306,155174,150917,151665,149871,147895,147975,151056,152781,151537,148890,150103,145469,160977,146715,149641,151596,111518,111674,125799,0,74748,102765
Kapital wlasny (tys. zl),138230,135943,136833,135701,142318,140303,139822,138878,138316,138686,138700,140474,141603,139579,134942,136247,146005,134211,139461,142069,63659,71460,84423,0,63920,50807
Liczba akcji (tys. szt.),"30000,000","30000,000","30000,000","30000,000","30000,000","30000,000","30000,000","30000,000","30000,000","30000,000","30000,000","30000,000","30000,000","30000,000","30000,000","30000,000","30000,000","30000,000","30000,000","30000,000","30000,000","30000,000","30000,000","30000,000","30000,000","30000,000"
Zysk na akcje (zl),"-0,022","-0,076","0,030","-0,038","0,061","-0,067","-0,016","-0,032","0,069","0,012","0,040","0,059","-0,016","-0,067","0,055","0,044","0,709","0,257","0,175","0,087","0,626","0,194","0,423","0,419","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"4,608","4,531","4,561","4,523","4,744","4,677","4,661","4,629","4,611","4,623","4,623","4,682","4,720","4,653","4,498","4,542","4,867","4,474","4,649","4,736","2,122","2,382","2,814","0,000","2,131","1,694"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
