index,III Q 2015,IV Q 2015,I Q 2016,II Q 2016,III Q 2014,IV Q 2014,I Q 2015,II Q 2015,III Q 2013,IV Q 2013,I Q 2014,II Q 2014,III Q 2012,IV Q 2012,I Q 2013,II Q 2013,III Q 2011,IV Q 2011,I Q 2012,II Q 2012,III Q 2010,IV Q 2010,I Q 2011,II Q 2011,III Q 2009,IV Q 2009,I Q 2010,II Q 2010,III Q 2004,IV Q 2004,I Q 2005,II Q 2005,III Q 2003,IV Q 2003,I Q 2004,II Q 2004,III Q 2002,IV Q 2002,I Q 2003,II Q 2003,III Q 2001,IV Q 2001,I Q 2002,II Q 2002,III Q 2000,IV Q 2000,I Q 2001,II Q 2001,IV Q 1999,I Q 2000,I Q 2000,II Q 2000, Q 0000, Q 0000,II Q 1999,III Q 1999
Przychody netto ze sprzedaÅ¼y (tys. zl),29791,31070,41562,45558,25036,22619,25029,27167,26586,21637,24298,24291,29276,22361,22439,25759,25208,21101,24005,27587,12452,20007,19296,22883,10509,10207,11906,12482,12863,10453,10354,11854,10379,9864,10754,12177,7949,8271,7727,10241,6894,8880,8036,8583,7975,4963,6880,7466,10047,10191,10191,7666,9864,0,0,8764
Zysk (strata) z dzialal. oper. (tys. zl),-174,1543,-411,4916,1583,35,1056,2183,1702,336,1824,2826,3919,793,835,2399,2205,1335,971,1870,623,1482,666,1449,510,357,910,534,655,-649,610,799,1180,-133,608,681,507,-318,116,541,318,264,954,671,-512,-666,300,220,1245,1269,1269,320,-133,0,0,1510
Zysk (strata) brutto (tys. zl),-509,847,-1442,4000,983,-481,950,1766,1353,150,1465,2573,3407,178,412,1861,1037,1054,850,1442,636,1232,602,1193,676,227,1083,395,592,-383,310,762,1171,-228,638,642,515,-248,103,310,93,198,955,475,-484,-1023,214,421,1190,1166,1166,54,-228,0,0,1436
Zysk (strata) netto (tys. zl),-809,624,-1696,3618,648,-766,688,1591,1008,-179,1244,2025,2785,-117,299,1450,680,4939,606,979,562,807,479,789,601,266,851,323,537,-316,310,762,1031,-52,506,629,311,-394,-3,308,40,44,570,329,-259,-1059,128,228,972,816,816,69,-52,0,0,1021
Amortyzacja (tys. zl),1771,2193,2352,2371,1768,1818,1734,1847,1574,1591,1585,1661,0,1460,1452,1600,1270,1317,0,0,789,1243,1386,978,0,790,792,788,686,746,727,822,561,671,654,720,633,287,681,458,603,611,882,551,811,804,628,584,705,5746,870,727,2013,0,0,636
EBITDA (tys. zl),1597,3736,1941,7287,3351,1853,2790,4030,3276,1927,3409,4487,3919,2253,2287,3999,3475,2652,971,1870,1412,2725,2052,2427,510,1147,1702,1322,1341,97,1337,1621,1741,538,1262,1401,1140,-31,797,999,921,875,1836,1222,299,138,928,804,1950,7015,2139,1047,1880,0,0,2146
Aktywa (tys. zl),111572,163289,177734,187660,115406,118937,110300,117481,103247,114098,111703,113701,97988,95929,94739,100064,89354,95420,94256,95144,72016,74248,78922,84012,42753,43897,44756,45815,29661,28558,32617,32369,26510,27219,27765,28339,26445,25284,25471,26488,26926,26073,26272,25448,30329,27080,28001,26264,30281,30674,30674,30512,27220,0,24152,26530
Kapital wlasny (tys. zl),56010,56634,54938,58556,56508,55742,56430,58021,52770,52591,53835,55860,50130,50013,50312,51694,46400,45868,46475,47454,37917,38724,39147,46549,33723,33989,34840,37355,17762,17088,17721,18679,16021,15973,16480,17228,15314,15112,15134,14968,15712,15169,15784,15016,15496,14725,15446,15672,16564,17381,17381,15895,15973,0,14595,15616
Liczba akcji (tys. szt.),"4615,070","4615,070","4615,070","4615,070","4615,070","4615,070","4615,070","4615,070","4615,070","4615,070","4615,070","4615,070","4615,070","4615,070","4615,070","4615,070","4615,070","4615,070","4615,070","4615,070","4195,520","4195,520","4195,520","4615,070","4195,520","4195,520","4195,520","4195,520","4195,520","4195,520","4195,520","4195,520","4195,520","4195,520","4195,520","4195,520","4195,520","4195,520","4195,520","4195,520","4195,520","4195,520","4195,520","4195,520","4195,520","4195,520","4195,520","4195,520","4195,520","839,104","4195,520","4195,520","839,104",,"4195,520","4195,520"
Zysk na akcje (zl),"-0,175","0,135","-0,367","0,784","0,140","-0,166","0,149","0,345","0,218","-0,039","0,270","0,439","0,603","-0,025","0,065","0,314","0,147","1,070","0,131","0,212","0,134","0,192","0,114","0,171","0,143","0,063","0,203","0,077","0,128","-0,075","0,074","0,182","0,246","-0,012","0,121","0,150","0,074","-0,094","-0,001","0,073","0,010","0,010","0,136","0,078","-0,062","-0,252","0,031","0,054","0,232","0,972","0,194","0,016","-0,062",,"0,000","0,243"
Wartosc ksiegowa na akcje (zl),"12,136","12,272","11,904","12,688","12,244","12,078","12,227","12,572","11,434","11,395","11,665","12,104","10,862","10,837","10,902","11,201","10,054","9,939","10,070","10,282","9,037","9,230","9,331","10,086","8,038","8,101","8,304","8,904","4,234","4,073","4,224","4,452","3,819","3,807","3,928","4,106","3,650","3,602","3,607","3,568","3,745","3,616","3,762","3,579","3,693","3,510","3,682","3,735","3,948","20,714","4,143","3,789","19,036",,"3,479","3,722"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
